region,category,parameter,mode,powertrain,year,unit,value
Europe,Historical,EV sales,Cars,PHEV,2010,Vehicles,110.0
Europe,Historical,EV sales,Cars,PHEV,2011,Vehicles,410.0
Europe,Historical,EV sales,Vans,PHEV,2012,Vehicles,11.0
Europe,Historical,EV sales,Cars,PHEV,2012,Vehicles,9200.0
Europe,Historical,EV sales,Cars,PHEV,2013,Vehicles,26000.0
Europe,Historical,EV sales,Vans,PHEV,2013,Vehicles,5.0
Europe,Historical,EV sales,Buses,PHEV,2014,Vehicles,2.0
Europe,Historical,EV sales,Vans,PHEV,2014,Vehicles,6.0
Europe,Historical,EV sales,Cars,PHEV,2014,Vehicles,34000.0
Europe,Historical,EV sales,Cars,PHEV,2015,Vehicles,100000.0
Europe,Historical,EV sales,Vans,PHEV,2015,Vehicles,200.0
Europe,Historical,EV sales,Buses,PHEV,2015,Vehicles,5.0
Europe,Historical,EV sales,Buses,PHEV,2016,Vehicles,280.0
Europe,Historical,EV sales,Vans,PHEV,2016,Vehicles,160.0
Europe,Historical,EV sales,Cars,PHEV,2016,Vehicles,120000.0
Europe,Historical,EV sales,Trucks,PHEV,2017,Vehicles,2.0
Europe,Historical,EV sales,Cars,PHEV,2017,Vehicles,160000.0
Europe,Historical,EV sales,Vans,PHEV,2017,Vehicles,120.0
Europe,Historical,EV sales,Buses,PHEV,2017,Vehicles,52.0
Europe,Historical,EV sales,Buses,PHEV,2018,Vehicles,140.0
Europe,Historical,EV sales,Vans,PHEV,2018,Vehicles,190.0
Europe,Historical,EV sales,Cars,PHEV,2018,Vehicles,190000.0
Europe,Historical,EV sales,Trucks,PHEV,2018,Vehicles,1.0
Europe,Historical,EV sales,Trucks,PHEV,2019,Vehicles,1.0
Europe,Historical,EV sales,Cars,PHEV,2019,Vehicles,210000.0
Europe,Historical,EV sales,Vans,PHEV,2019,Vehicles,260.0
Europe,Historical,EV sales,Buses,PHEV,2019,Vehicles,94.0
Europe,Historical,EV sales,Buses,PHEV,2020,Vehicles,130.0
Europe,Historical,EV sales,Vans,PHEV,2020,Vehicles,1100.0
Europe,Historical,EV sales,Cars,PHEV,2020,Vehicles,640000.0
Europe,Historical,EV sales,Trucks,PHEV,2020,Vehicles,4.0
Europe,Projection-STEPS,EV sales,Vans,PHEV,2020,Vehicles,1100.0
Europe,Projection-STEPS,EV sales,Buses,PHEV,2020,Vehicles,130.0
Europe,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,640000.0
Europe,Projection-STEPS,EV sales,Trucks,PHEV,2020,Vehicles,4.0
Europe,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,640000.0
Europe,Projection-APS,EV sales,Trucks,PHEV,2020,Vehicles,4.0
Europe,Projection-APS,EV sales,Buses,PHEV,2020,Vehicles,130.0
Europe,Projection-APS,EV sales,Vans,PHEV,2020,Vehicles,1100.0
Europe,Projection-APS,EV sales,Vans,PHEV,2021,Vehicles,3500.0
Europe,Projection-APS,EV sales,Buses,PHEV,2021,Vehicles,140.0
Europe,Projection-APS,EV sales,Trucks,PHEV,2021,Vehicles,26.0
Europe,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,1100000.0
Europe,Projection-STEPS,EV sales,Trucks,PHEV,2021,Vehicles,26.0
Europe,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,1100000.0
Europe,Projection-STEPS,EV sales,Buses,PHEV,2021,Vehicles,140.0
Europe,Projection-STEPS,EV sales,Vans,PHEV,2021,Vehicles,3500.0
Europe,Historical,EV sales,Trucks,PHEV,2021,Vehicles,26.0
Europe,Historical,EV sales,Cars,PHEV,2021,Vehicles,1100000.0
Europe,Historical,EV sales,Vans,PHEV,2021,Vehicles,3500.0
Europe,Historical,EV sales,Buses,PHEV,2021,Vehicles,140.0
Europe,Historical,EV sales,Buses,PHEV,2022,Vehicles,73.0
Europe,Historical,EV sales,Vans,PHEV,2022,Vehicles,3300.0
Europe,Historical,EV sales,Cars,PHEV,2022,Vehicles,1100000.0
Europe,Historical,EV sales,Trucks,PHEV,2022,Vehicles,24.0
Europe,Projection-STEPS,EV sales,Vans,PHEV,2022,Vehicles,3300.0
Europe,Projection-STEPS,EV sales,Buses,PHEV,2022,Vehicles,73.0
Europe,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,1100000.0
Europe,Projection-STEPS,EV sales,Trucks,PHEV,2022,Vehicles,24.0
Europe,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,1100000.0
