region,category,parameter,mode,powertrain,year,unit,value
Greece,Historical,EV sales,Cars,PHEV,2015,Vehicles,22.0
Greece,Historical,EV sales,Cars,PHEV,2016,Vehicles,56.0
Greece,Historical,EV sales,Cars,PHEV,2017,Vehicles,140.0
Greece,Historical,EV sales,Cars,PHEV,2018,Vehicles,210.0
Greece,Historical,EV sales,Cars,PHEV,2019,Vehicles,290.0
Greece,Historical,EV sales,Cars,PHEV,2020,Vehicles,1500.0
Greece,Historical,EV sales,Cars,PHEV,2021,Vehicles,4800.0
Greece,Historical,EV sales,Cars,PHEV,2022,Vehicles,5500.0
Greece,Historical,EV sales,Cars,PHEV,2023,Vehicles,10000.0
Greece,Historical,EV sales,Cars,BEV,2013,Vehicles,3.0
Greece,Historical,EV sales,Cars,BEV,2014,Vehicles,39.0
Greece,Historical,EV sales,Cars,BEV,2015,Vehicles,35.0
Greece,Historical,EV sales,Cars,BEV,2016,Vehicles,41.0
Greece,Historical,EV sales,Cars,BEV,2017,Vehicles,50.0
Greece,Historical,EV sales,Cars,BEV,2018,Vehicles,88.0
Greece,Historical,EV sales,Cars,BEV,2019,Vehicles,190.0
Greece,Historical,EV sales,Cars,BEV,2020,Vehicles,680.0
Greece,Historical,EV sales,Cars,BEV,2021,Vehicles,2200.0
Greece,Historical,EV sales,Cars,BEV,2022,Vehicles,2800.0
Greece,Historical,EV sales,Cars,BEV,2023,Vehicles,7000.0
