region,category,parameter,mode,powertrain,year,unit,value
Austria,Historical,EV sales share,Cars,EV,2013,percent,0.200000002980232
Austria,Historical,EV sales share,Cars,EV,2014,percent,0.569999992847443
Austria,Historical,EV sales share,Cars,EV,2015,percent,0.899999976158142
Austria,Historical,EV sales share,Cars,EV,2016,percent,1.5
Austria,Historical,EV sales share,Cars,EV,2017,percent,2.0
Austria,Historical,EV sales share,Cars,EV,2018,percent,2.59999990463257
Austria,Historical,EV sales share,Cars,EV,2019,percent,3.5
Austria,Historical,EV sales share,Cars,EV,2020,percent,9.5
Austria,Historical,EV sales share,Cars,EV,2021,percent,20.0
Austria,Historical,EV sales share,Cars,EV,2022,percent,22.0
Austria,Historical,EV sales share,Cars,EV,2023,percent,26.0
