region,category,parameter,mode,powertrain,year,unit,value
China,Historical,EV sales,Cars,PHEV,2010,Vehicles,340.0
China,Historical,EV sales,Cars,PHEV,2011,Vehicles,320.0
China,Historical,EV sales,Buses,PHEV,2011,Vehicles,160.0
China,Historical,EV sales,Buses,PHEV,2012,Vehicles,510.0
China,Historical,EV sales,Cars,PHEV,2012,Vehicles,260.0
China,Historical,EV sales,Cars,PHEV,2013,Vehicles,730.0
China,Historical,EV sales,Buses,PHEV,2013,Vehicles,1800.0
China,Historical,EV sales,Buses,PHEV,2014,Vehicles,6000.0
China,Historical,EV sales,Cars,PHEV,2014,Vehicles,24000.0
China,Historical,EV sales,Cars,PHEV,2015,Vehicles,61000.0
China,Historical,EV sales,Buses,PHEV,2015,Vehicles,13000.0
China,Historical,EV sales,Buses,PHEV,2016,Vehicles,7600.0
China,Historical,EV sales,Cars,PHEV,2016,Vehicles,79000.0
China,Historical,EV sales,Cars,PHEV,2017,Vehicles,110000.0
China,Historical,EV sales,Buses,PHEV,2017,Vehicles,240.0
China,Historical,EV sales,Buses,PHEV,2018,Vehicles,1200.0
China,Historical,EV sales,Cars,PHEV,2018,Vehicles,270000.0
China,Historical,EV sales,Trucks,PHEV,2019,Vehicles,31.0
China,Historical,EV sales,Cars,PHEV,2019,Vehicles,230000.0
China,Historical,EV sales,Buses,PHEV,2019,Vehicles,1300.0
China,Historical,EV sales,Vans,PHEV,2019,Vehicles,27.0
China,Projection-APS,EV sales,Trucks,PHEV,2020,Vehicles,27.0
China,Historical,EV sales,Vans,PHEV,2020,Vehicles,1.0
China,Historical,EV sales,Buses,PHEV,2020,Vehicles,1800.0
China,Historical,EV sales,Cars,PHEV,2020,Vehicles,220000.0
China,Historical,EV sales,Trucks,PHEV,2020,Vehicles,27.0
China,Projection-APS,EV sales,Buses,PHEV,2020,Vehicles,1800.0
China,Projection-APS,EV sales,Vans,PHEV,2020,Vehicles,1.0
China,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,220000.0
China,Projection-STEPS,EV sales,Buses,PHEV,2020,Vehicles,1800.0
China,Projection-STEPS,EV sales,Vans,PHEV,2020,Vehicles,1.0
China,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,220000.0
China,Projection-STEPS,EV sales,Trucks,PHEV,2020,Vehicles,27.0
China,Projection-STEPS,EV sales,Trucks,PHEV,2021,Vehicles,520.0
China,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,550000.0
China,Projection-STEPS,EV sales,Vans,PHEV,2021,Vehicles,160.0
China,Projection-STEPS,EV sales,Buses,PHEV,2021,Vehicles,860.0
China,Projection-APS,EV sales,Vans,PHEV,2021,Vehicles,160.0
China,Projection-APS,EV sales,Buses,PHEV,2021,Vehicles,860.0
China,Historical,EV sales,Trucks,PHEV,2021,Vehicles,520.0
China,Historical,EV sales,Cars,PHEV,2021,Vehicles,550000.0
China,Historical,EV sales,Buses,PHEV,2021,Vehicles,860.0
China,Historical,EV sales,Vans,PHEV,2021,Vehicles,160.0
China,Projection-APS,EV sales,Trucks,PHEV,2021,Vehicles,520.0
China,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,550000.0
China,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,1500000.0
China,Projection-APS,EV sales,Trucks,PHEV,2022,Vehicles,260.0
China,Historical,EV sales,Vans,PHEV,2022,Vehicles,1500.0
China,Historical,EV sales,Buses,PHEV,2022,Vehicles,1100.0
China,Historical,EV sales,Cars,PHEV,2022,Vehicles,1500000.0
China,Historical,EV sales,Trucks,PHEV,2022,Vehicles,260.0
China,Projection-APS,EV sales,Buses,PHEV,2022,Vehicles,1100.0
China,Projection-APS,EV sales,Vans,PHEV,2022,Vehicles,1500.0
China,Projection-STEPS,EV sales,Buses,PHEV,2022,Vehicles,1100.0
China,Projection-STEPS,EV sales,Vans,PHEV,2022,Vehicles,1500.0
China,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,1500000.0
China,Projection-STEPS,EV sales,Trucks,PHEV,2022,Vehicles,260.0
China,Projection-STEPS,EV sales,Trucks,PHEV,2023,Vehicles,320.0
China,Projection-STEPS,EV sales,Cars,PHEV,2023,Vehicles,2700000.0
China,Projection-STEPS,EV sales,Buses,PHEV,2023,Vehicles,1300.0
China,Projection-APS,EV sales,Buses,PHEV,2023,Vehicles,1300.0
China,Historical,EV sales,Trucks,PHEV,2023,Vehicles,320.0
China,Historical,EV sales,Cars,PHEV,2023,Vehicles,2700000.0
China,Historical,EV sales,Buses,PHEV,2023,Vehicles,1300.0
China,Projection-APS,EV sales,Trucks,PHEV,2023,Vehicles,320.0
China,Projection-APS,EV sales,Cars,PHEV,2023,Vehicles,2700000.0
China,Projection-STEPS,EV sales,Buses,PHEV,2025,Vehicles,280.0
China,Projection-STEPS,EV sales,Trucks,PHEV,2025,Vehicles,2800.0
China,Projection-STEPS,EV sales,Vans,PHEV,2025,Vehicles,20000.0
China,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,3400000.0
China,Projection-APS,EV sales,Buses,PHEV,2025,Vehicles,280.0
China,Projection-APS,EV sales,Trucks,PHEV,2025,Vehicles,2700.0
China,Projection-APS,EV sales,Vans,PHEV,2025,Vehicles,18000.0
China,Projection-APS,EV sales,Cars,PHEV,2025,Vehicles,2600000.0
China,Projection-APS,EV sales,Buses,PHEV,2030,Vehicles,590.0
China,Projection-APS,EV sales,Trucks,PHEV,2030,Vehicles,8300.0
China,Projection-APS,EV sales,Vans,PHEV,2030,Vehicles,36000.0
China,Projection-APS,EV sales,Cars,PHEV,2030,Vehicles,2500000.0
China,Projection-STEPS,EV sales,Buses,PHEV,2030,Vehicles,590.0
China,Projection-STEPS,EV sales,Trucks,PHEV,2030,Vehicles,8600.0
China,Projection-STEPS,EV sales,Vans,PHEV,2030,Vehicles,38000.0
China,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,2900000.0
China,Projection-STEPS,EV sales,Buses,PHEV,2035,Vehicles,1600.0
China,Projection-STEPS,EV sales,Trucks,PHEV,2035,Vehicles,16000.0
China,Projection-STEPS,EV sales,Vans,PHEV,2035,Vehicles,64000.0
China,Projection-STEPS,EV sales,Cars,PHEV,2035,Vehicles,2100000.0
China,Projection-APS,EV sales,Buses,PHEV,2035,Vehicles,1600.0
China,Projection-APS,EV sales,Trucks,PHEV,2035,Vehicles,16000.0
China,Projection-APS,EV sales,Vans,PHEV,2035,Vehicles,59000.0
China,Projection-APS,EV sales,Cars,PHEV,2035,Vehicles,1800000.0
China,Historical,EV sales,Buses,FCEV,2017,Vehicles,380.0
China,Historical,EV sales,Buses,FCEV,2018,Vehicles,890.0
China,Historical,EV sales,Trucks,FCEV,2018,Vehicles,400.0
China,Historical,EV sales,Trucks,FCEV,2019,Vehicles,2000.0
