region,category,parameter,mode,powertrain,year,unit,value
United Arab Emirates,Historical,EV sales,Cars,PHEV,2018,Vehicles,60.0
United Arab Emirates,Historical,EV sales,Cars,PHEV,2019,Vehicles,61.0
United Arab Emirates,Historical,EV sales,Cars,PHEV,2020,Vehicles,61.0
United Arab Emirates,Historical,EV sales,Cars,PHEV,2021,Vehicles,2000.0
United Arab Emirates,Historical,EV sales,Cars,PHEV,2022,Vehicles,3900.0
United Arab Emirates,Historical,EV sales,Cars,PHEV,2023,Vehicles,5900.0
United Arab Emirates,Historical,EV sales,Cars,BEV,2018,Vehicles,59.0
United Arab Emirates,Historical,EV sales,Cars,BEV,2019,Vehicles,33.0
United Arab Emirates,Historical,EV sales,Cars,BEV,2020,Vehicles,630.0
United Arab Emirates,Historical,EV sales,Cars,BEV,2021,Vehicles,2100.0
United Arab Emirates,Historical,EV sales,Cars,BEV,2022,Vehicles,15000.0
United Arab Emirates,Historical,EV sales,Cars,BEV,2023,Vehicles,23000.0
