region,category,parameter,mode,powertrain,year,unit,value
Spain,Historical,EV sales share,Cars,EV,2010,percent,0.007699999958277
Spain,Historical,EV sales share,Cars,EV,2011,percent,0.0489999987185
Spain,Historical,EV sales share,Vans,EV,2011,percent,0.023000000044704
Spain,Historical,EV sales share,Vans,EV,2012,percent,0.270000010728836
Spain,Historical,EV sales share,Cars,EV,2012,percent,0.07599999755621
Spain,Historical,EV sales share,Cars,EV,2013,percent,0.119999997317791
Spain,Historical,EV sales share,Vans,EV,2013,percent,0.083999998867512
Spain,Historical,EV sales share,Vans,EV,2014,percent,0.310000002384186
Spain,Historical,EV sales share,Buses,EV,2014,percent,0.409999996423721
Spain,Historical,EV sales share,Cars,EV,2014,percent,0.200000002980232
Spain,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232
Spain,Historical,EV sales share,Buses,EV,2015,percent,0.059000000357628
Spain,Historical,EV sales share,Vans,EV,2015,percent,0.370000004768372
Spain,Historical,EV sales share,Vans,EV,2016,percent,0.469999998807907
Spain,Historical,EV sales share,Buses,EV,2016,percent,0.649999976158142
Spain,Historical,EV sales share,Cars,EV,2016,percent,0.310000002384186
Spain,Historical,EV sales share,Trucks,EV,2016,percent,0.052000001072884
Spain,Historical,EV sales share,Trucks,EV,2017,percent,0.008100000210106
Spain,Historical,EV sales share,Cars,EV,2017,percent,0.600000023841858
Spain,Historical,EV sales share,Buses,EV,2017,percent,0.300000011920929
Spain,Historical,EV sales share,Vans,EV,2017,percent,0.509999990463257
Spain,Historical,EV sales share,Vans,EV,2018,percent,0.959999978542328
Spain,Historical,EV sales share,Buses,EV,2018,percent,0.910000026226044
Spain,Historical,EV sales share,Cars,EV,2018,percent,0.879999995231628
Spain,Historical,EV sales share,Trucks,EV,2019,percent,0.028000000864267
Spain,Historical,EV sales share,Cars,EV,2019,percent,1.39999997615814
Spain,Historical,EV sales share,Buses,EV,2019,percent,2.70000004768372
Spain,Historical,EV sales share,Vans,EV,2019,percent,1.10000002384186
Spain,Historical,EV sales share,Vans,EV,2020,percent,1.5
Spain,Historical,EV sales share,Buses,EV,2020,percent,2.0
Spain,Historical,EV sales share,Cars,EV,2020,percent,4.90000009536743
Spain,Historical,EV sales share,Trucks,EV,2020,percent,0.041000001132488
Spain,Historical,EV sales share,Trucks,EV,2021,percent,0.109999999403954
Spain,Historical,EV sales share,Cars,EV,2021,percent,7.80000019073486
Spain,Historical,EV sales share,Buses,EV,2021,percent,6.09999990463257
Spain,Historical,EV sales share,Vans,EV,2021,percent,1.60000002384186
Spain,Historical,EV sales share,Vans,EV,2022,percent,3.09999990463257
Spain,Historical,EV sales share,Buses,EV,2022,percent,9.19999980926514
Spain,Historical,EV sales share,Cars,EV,2022,percent,8.89999961853027
Spain,Historical,EV sales share,Trucks,EV,2022,percent,0.889999985694885
Spain,Historical,EV sales share,Trucks,EV,2023,percent,1.5
Spain,Historical,EV sales share,Cars,EV,2023,percent,12.0
Spain,Historical,EV sales share,Buses,EV,2023,percent,13.0
Spain,Historical,EV sales share,Vans,EV,2023,percent,7.19999980926514
