region,category,parameter,mode,powertrain,year,unit,value
Italy,Historical,EV sales,Vans,PHEV,2012,Vehicles,3.0
Italy,Historical,EV sales,Vans,PHEV,2013,Vehicles,1.0
Italy,Historical,EV sales,Cars,PHEV,2013,Vehicles,180.0
Italy,Historical,EV sales,Cars,PHEV,2014,Vehicles,340.0
Italy,Historical,EV sales,Cars,PHEV,2015,Vehicles,740.0
Italy,Historical,EV sales,Cars,PHEV,2016,Vehicles,1300.0
Italy,Historical,EV sales,Vans,PHEV,2017,Vehicles,2.0
Italy,Historical,EV sales,Cars,PHEV,2017,Vehicles,2900.0
Italy,Historical,EV sales,Cars,PHEV,2018,Vehicles,4700.0
Italy,Historical,EV sales,Cars,PHEV,2019,Vehicles,6500.0
Italy,Historical,EV sales,Cars,PHEV,2020,Vehicles,27000.0
Italy,Historical,EV sales,Vans,PHEV,2020,Vehicles,53.0
Italy,Historical,EV sales,Vans,PHEV,2021,Vehicles,380.0
Italy,Historical,EV sales,Cars,PHEV,2021,Vehicles,71000.0
Italy,Historical,EV sales,Cars,PHEV,2022,Vehicles,65000.0
Italy,Historical,EV sales,Vans,PHEV,2022,Vehicles,610.0
Italy,Historical,EV sales,Vans,PHEV,2023,Vehicles,1000.0
Italy,Historical,EV sales,Cars,PHEV,2023,Vehicles,70000.0
Italy,Historical,EV sales,Cars,FCEV,2014,Vehicles,10.0
Italy,Historical,EV sales,Cars,FCEV,2015,Vehicles,1.0
Italy,Historical,EV sales,Cars,FCEV,2018,Vehicles,1.0
Italy,Historical,EV sales,Cars,FCEV,2019,Vehicles,17.0
Italy,Historical,EV sales,Cars,FCEV,2020,Vehicles,7.0
Italy,Historical,EV sales,Cars,FCEV,2021,Vehicles,10.0
Italy,Historical,EV sales,Cars,FCEV,2022,Vehicles,11.0
Italy,Historical,EV sales,Buses,FCEV,2023,Vehicles,14.0
Italy,Historical,EV sales,Cars,FCEV,2023,Vehicles,2.0
Italy,Historical,EV sales,Vans,BEV,2010,Vehicles,210.0
Italy,Historical,EV sales,Cars,BEV,2010,Vehicles,40.0
Italy,Historical,EV sales,Cars,BEV,2011,Vehicles,110.0
Italy,Historical,EV sales,Vans,BEV,2011,Vehicles,84.0
Italy,Historical,EV sales,Vans,BEV,2012,Vehicles,360.0
Italy,Historical,EV sales,Cars,BEV,2012,Vehicles,460.0
Italy,Historical,EV sales,Cars,BEV,2013,Vehicles,860.0
Italy,Historical,EV sales,Vans,BEV,2013,Vehicles,180.0
Italy,Historical,EV sales,Vans,BEV,2014,Vehicles,270.0
Italy,Historical,EV sales,Cars,BEV,2014,Vehicles,1000.0
Italy,Historical,EV sales,Cars,BEV,2015,Vehicles,1500.0
Italy,Historical,EV sales,Vans,BEV,2015,Vehicles,420.0
Italy,Historical,EV sales,Vans,BEV,2016,Vehicles,780.0
Italy,Historical,EV sales,Cars,BEV,2016,Vehicles,1400.0
Italy,Historical,EV sales,Buses,BEV,2016,Vehicles,38.0
Italy,Historical,EV sales,Buses,BEV,2017,Vehicles,29.0
Italy,Historical,EV sales,Cars,BEV,2017,Vehicles,2000.0
Italy,Historical,EV sales,Vans,BEV,2017,Vehicles,500.0
Italy,Historical,EV sales,Vans,BEV,2018,Vehicles,640.0
Italy,Historical,EV sales,Cars,BEV,2018,Vehicles,5000.0
Italy,Historical,EV sales,Buses,BEV,2018,Vehicles,60.0
Italy,Historical,EV sales,Buses,BEV,2019,Vehicles,65.0
Italy,Historical,EV sales,Cars,BEV,2019,Vehicles,11000.0
Italy,Historical,EV sales,Vans,BEV,2019,Vehicles,1000.0
Italy,Historical,EV sales,Vans,BEV,2020,Vehicles,1200.0
Italy,Historical,EV sales,Cars,BEV,2020,Vehicles,33000.0
Italy,Historical,EV sales,Buses,BEV,2020,Vehicles,97.0
Italy,Historical,EV sales,Buses,BEV,2021,Vehicles,180.0
Italy,Historical,EV sales,Cars,BEV,2021,Vehicles,67000.0
Italy,Historical,EV sales,Vans,BEV,2021,Vehicles,3100.0
Italy,Historical,EV sales,Vans,BEV,2022,Vehicles,4100.0
Italy,Historical,EV sales,Cars,BEV,2022,Vehicles,49000.0
Italy,Historical,EV sales,Buses,BEV,2022,Vehicles,120.0
Italy,Historical,EV sales,Buses,BEV,2023,Vehicles,410.0
Italy,Historical,EV sales,Cars,BEV,2023,Vehicles,66000.0
Italy,Historical,EV sales,Vans,BEV,2023,Vehicles,7200.0
