region,category,parameter,mode,powertrain,year,unit,value
Finland,Historical,EV sales,Cars,PHEV,2012,Vehicles,130.0
Finland,Historical,EV sales,Cars,PHEV,2013,Vehicles,170.0
Finland,Historical,EV sales,Cars,PHEV,2014,Vehicles,260.0
Finland,Historical,EV sales,Cars,PHEV,2015,Vehicles,420.0
Finland,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200.0
Finland,Historical,EV sales,Cars,PHEV,2017,Vehicles,2600.0
Finland,Historical,EV sales,Cars,PHEV,2018,Vehicles,4900.0
Finland,Historical,EV sales,Cars,PHEV,2019,Vehicles,6000.0
Finland,Historical,EV sales,Cars,PHEV,2020,Vehicles,13000.0
Finland,Historical,EV sales,Vans,PHEV,2020,Vehicles,39.0
Finland,Historical,EV sales,Vans,PHEV,2021,Vehicles,38.0
Finland,Historical,EV sales,Cars,PHEV,2021,Vehicles,20000.0
Finland,Historical,EV sales,Cars,PHEV,2022,Vehicles,16000.0
Finland,Historical,EV sales,Vans,PHEV,2022,Vehicles,27.0
Finland,Historical,EV sales,Vans,PHEV,2023,Vehicles,14.0
Finland,Historical,EV sales,Cars,PHEV,2023,Vehicles,18000.0
Finland,Historical,EV sales,Cars,FCEV,2021,Vehicles,1.0
Finland,Historical,EV sales,Cars,BEV,2011,Vehicles,30.0
Finland,Historical,EV sales,Cars,BEV,2012,Vehicles,51.0
Finland,Historical,EV sales,Cars,BEV,2013,Vehicles,50.0
Finland,Historical,EV sales,Cars,BEV,2014,Vehicles,180.0
Finland,Historical,EV sales,Cars,BEV,2015,Vehicles,240.0
Finland,Historical,EV sales,Cars,BEV,2016,Vehicles,220.0
Finland,Historical,EV sales,Vans,BEV,2017,Vehicles,49.0
Finland,Historical,EV sales,Buses,BEV,2017,Vehicles,2.0
Finland,Historical,EV sales,Trucks,BEV,2017,Vehicles,2.0
Finland,Historical,EV sales,Cars,BEV,2017,Vehicles,500.0
Finland,Historical,EV sales,Cars,BEV,2018,Vehicles,780.0
Finland,Historical,EV sales,Buses,BEV,2018,Vehicles,1.0
Finland,Historical,EV sales,Vans,BEV,2018,Vehicles,55.0
Finland,Historical,EV sales,Vans,BEV,2019,Vehicles,60.0
Finland,Historical,EV sales,Buses,BEV,2019,Vehicles,40.0
Finland,Historical,EV sales,Trucks,BEV,2019,Vehicles,2.0
Finland,Historical,EV sales,Cars,BEV,2019,Vehicles,1900.0
Finland,Historical,EV sales,Cars,BEV,2020,Vehicles,4200.0
Finland,Historical,EV sales,Trucks,BEV,2020,Vehicles,5.0
Finland,Historical,EV sales,Buses,BEV,2020,Vehicles,25.0
Finland,Historical,EV sales,Vans,BEV,2020,Vehicles,170.0
Finland,Historical,EV sales,Vans,BEV,2021,Vehicles,340.0
Finland,Historical,EV sales,Buses,BEV,2021,Vehicles,190.0
Finland,Historical,EV sales,Trucks,BEV,2021,Vehicles,3.0
Finland,Historical,EV sales,Cars,BEV,2021,Vehicles,10000.0
Finland,Historical,EV sales,Cars,BEV,2022,Vehicles,15000.0
Finland,Historical,EV sales,Trucks,BEV,2022,Vehicles,19.0
Finland,Historical,EV sales,Buses,BEV,2022,Vehicles,280.0
Finland,Historical,EV sales,Vans,BEV,2022,Vehicles,680.0
Finland,Historical,EV sales,Vans,BEV,2023,Vehicles,1600.0
Finland,Historical,EV sales,Buses,BEV,2023,Vehicles,110.0
Finland,Historical,EV sales,Trucks,BEV,2023,Vehicles,76.0
Finland,Historical,EV sales,Cars,BEV,2023,Vehicles,30000.0
