region,category,parameter,mode,powertrain,year,unit,value
Portugal,Historical,EV stock,Cars,PHEV,2013,Vehicles,37.0
Portugal,Historical,EV stock,Cars,PHEV,2014,Vehicles,46.0
Portugal,Historical,EV stock,Cars,PHEV,2015,Vehicles,530.0
Portugal,Historical,EV stock,Cars,PHEV,2016,Vehicles,1600.0
Portugal,Historical,EV stock,Cars,PHEV,2017,Vehicles,4100.0
Portugal,Historical,EV stock,Cars,PHEV,2018,Vehicles,8000.0
Portugal,Historical,EV stock,Buses,PHEV,2019,Vehicles,10.0
Portugal,Historical,EV stock,Cars,PHEV,2019,Vehicles,14000.0
Portugal,Historical,EV stock,Cars,PHEV,2020,Vehicles,26000.0
Portugal,Historical,EV stock,Buses,PHEV,2020,Vehicles,10.0
Portugal,Historical,EV stock,Vans,PHEV,2021,Vehicles,7.0
Portugal,Historical,EV stock,Buses,PHEV,2021,Vehicles,12.0
Portugal,Historical,EV stock,Cars,PHEV,2021,Vehicles,41000.0
Portugal,Historical,EV stock,Cars,PHEV,2022,Vehicles,57000.0
Portugal,Historical,EV stock,Buses,PHEV,2022,Vehicles,12.0
Portugal,Historical,EV stock,Vans,PHEV,2022,Vehicles,9.0
Portugal,Historical,EV stock,Vans,PHEV,2023,Vehicles,9.0
Portugal,Historical,EV stock,Buses,PHEV,2023,Vehicles,16.0
Portugal,Historical,EV stock,Cars,PHEV,2023,Vehicles,84000.0
Portugal,Historical,EV stock,Buses,FCEV,2021,Vehicles,2.0
Portugal,Historical,EV stock,Cars,FCEV,2021,Vehicles,3.0
Portugal,Historical,EV stock,Cars,FCEV,2022,Vehicles,3.0
Portugal,Historical,EV stock,Buses,FCEV,2022,Vehicles,3.0
Portugal,Historical,EV stock,Buses,FCEV,2023,Vehicles,1.0
Portugal,Historical,EV stock,Cars,FCEV,2023,Vehicles,3.0
Portugal,Historical,EV stock,Cars,BEV,2010,Vehicles,720.0
Portugal,Historical,EV stock,Cars,BEV,2011,Vehicles,910.0
Portugal,Historical,EV stock,Cars,BEV,2012,Vehicles,960.0
Portugal,Historical,EV stock,Cars,BEV,2013,Vehicles,1100.0
Portugal,Historical,EV stock,Cars,BEV,2014,Vehicles,1300.0
Portugal,Historical,EV stock,Cars,BEV,2015,Vehicles,2000.0
Portugal,Historical,EV stock,Cars,BEV,2016,Vehicles,2800.0
Portugal,Historical,EV stock,Cars,BEV,2017,Vehicles,4700.0
Portugal,Historical,EV stock,Vans,BEV,2017,Vehicles,76.0
Portugal,Historical,EV stock,Buses,BEV,2017,Vehicles,23.0
Portugal,Historical,EV stock,Buses,BEV,2018,Vehicles,33.0
Portugal,Historical,EV stock,Vans,BEV,2018,Vehicles,330.0
Portugal,Historical,EV stock,Cars,BEV,2018,Vehicles,8700.0
Portugal,Historical,EV stock,Cars,BEV,2019,Vehicles,16000.0
Portugal,Historical,EV stock,Vans,BEV,2019,Vehicles,540.0
Portugal,Historical,EV stock,Buses,BEV,2019,Vehicles,50.0
Portugal,Historical,EV stock,Buses,BEV,2020,Vehicles,60.0
Portugal,Historical,EV stock,Vans,BEV,2020,Vehicles,1900.0
Portugal,Historical,EV stock,Cars,BEV,2020,Vehicles,23000.0
Portugal,Historical,EV stock,Cars,BEV,2021,Vehicles,37000.0
Portugal,Historical,EV stock,Vans,BEV,2021,Vehicles,2300.0
Portugal,Historical,EV stock,Buses,BEV,2021,Vehicles,100.0
Portugal,Historical,EV stock,Buses,BEV,2022,Vehicles,250.0
Portugal,Historical,EV stock,Vans,BEV,2022,Vehicles,3300.0
Portugal,Historical,EV stock,Cars,BEV,2022,Vehicles,54000.0
Portugal,Historical,EV stock,Cars,BEV,2023,Vehicles,91000.0
Portugal,Historical,EV stock,Vans,BEV,2023,Vehicles,4800.0
Portugal,Historical,EV stock,Buses,BEV,2023,Vehicles,570.0
