region,category,parameter,mode,powertrain,year,unit,value
EU27,Historical,EV sales,Cars,PHEV,2010,Vehicles,91.0
EU27,Historical,EV sales,Cars,PHEV,2011,Vehicles,360.0
EU27,Historical,EV sales,Cars,PHEV,2012,Vehicles,7500.0
EU27,Historical,EV sales,Vans,PHEV,2012,Vehicles,11.0
EU27,Historical,EV sales,Vans,PHEV,2013,Vehicles,5.0
EU27,Historical,EV sales,Cars,PHEV,2013,Vehicles,24000.0
EU27,Historical,EV sales,Cars,PHEV,2014,Vehicles,24000.0
EU27,Historical,EV sales,Vans,PHEV,2014,Vehicles,2.0
EU27,Historical,EV sales,Buses,PHEV,2014,Vehicles,2.0
EU27,Historical,EV sales,Buses,PHEV,2015,Vehicles,5.0
EU27,Historical,EV sales,Vans,PHEV,2015,Vehicles,110.0
EU27,Historical,EV sales,Cars,PHEV,2015,Vehicles,70000.0
EU27,Historical,EV sales,Cars,PHEV,2016,Vehicles,65000.0
EU27,Historical,EV sales,Vans,PHEV,2016,Vehicles,81.0
EU27,Historical,EV sales,Buses,PHEV,2016,Vehicles,150.0
EU27,Historical,EV sales,Buses,PHEV,2017,Vehicles,34.0
EU27,Historical,EV sales,Vans,PHEV,2017,Vehicles,27.0
EU27,Historical,EV sales,Cars,PHEV,2017,Vehicles,89000.0
EU27,Historical,EV sales,Trucks,PHEV,2017,Vehicles,2.0
EU27,Historical,EV sales,Trucks,PHEV,2018,Vehicles,1.0
EU27,Historical,EV sales,Cars,PHEV,2018,Vehicles,110000.0
EU27,Historical,EV sales,Vans,PHEV,2018,Vehicles,42.0
EU27,Historical,EV sales,Buses,PHEV,2018,Vehicles,54.0
EU27,Historical,EV sales,Vans,PHEV,2019,Vehicles,41.0
EU27,Historical,EV sales,Buses,PHEV,2019,Vehicles,51.0
EU27,Historical,EV sales,Cars,PHEV,2019,Vehicles,140000.0
EU27,Historical,EV sales,Trucks,PHEV,2019,Vehicles,1.0
EU27,Historical,EV sales,Trucks,PHEV,2020,Vehicles,3.0
EU27,Historical,EV sales,Buses,PHEV,2020,Vehicles,67.0
EU27,Historical,EV sales,Vans,PHEV,2020,Vehicles,530.0
EU27,Historical,EV sales,Cars,PHEV,2020,Vehicles,510000.0
EU27,Historical,EV sales,Cars,PHEV,2021,Vehicles,880000.0
EU27,Historical,EV sales,Vans,PHEV,2021,Vehicles,2100.0
EU27,Historical,EV sales,Buses,PHEV,2021,Vehicles,140.0
EU27,Historical,EV sales,Trucks,PHEV,2021,Vehicles,26.0
EU27,Historical,EV sales,Trucks,PHEV,2022,Vehicles,24.0
EU27,Historical,EV sales,Buses,PHEV,2022,Vehicles,72.0
EU27,Historical,EV sales,Vans,PHEV,2022,Vehicles,2600.0
EU27,Historical,EV sales,Cars,PHEV,2022,Vehicles,900000.0
EU27,Historical,EV sales,Cars,PHEV,2023,Vehicles,850000.0
EU27,Historical,EV sales,Vans,PHEV,2023,Vehicles,2200.0
EU27,Historical,EV sales,Buses,PHEV,2023,Vehicles,160.0
EU27,Historical,EV sales,Trucks,PHEV,2023,Vehicles,38.0
EU27,Historical,EV sales,Cars,FCEV,2010,Vehicles,16.0
EU27,Historical,EV sales,Vans,FCEV,2010,Vehicles,2.0
EU27,Historical,EV sales,Cars,FCEV,2011,Vehicles,38.0
EU27,Historical,EV sales,Cars,FCEV,2012,Vehicles,29.0
EU27,Historical,EV sales,Vans,FCEV,2013,Vehicles,1.0
EU27,Historical,EV sales,Cars,FCEV,2013,Vehicles,42.0
EU27,Historical,EV sales,Cars,FCEV,2014,Vehicles,28.0
EU27,Historical,EV sales,Vans,FCEV,2014,Vehicles,4.0
EU27,Historical,EV sales,Buses,FCEV,2014,Vehicles,1.0
EU27,Historical,EV sales,Vans,FCEV,2015,Vehicles,53.0
EU27,Historical,EV sales,Cars,FCEV,2015,Vehicles,160.0
EU27,Historical,EV sales,Cars,FCEV,2016,Vehicles,130.0
