region,category,parameter,mode,powertrain,year,unit,value
Rest of the world,Historical,Electricity demand,Buses,EV,2010,GWh,6.40000009536743
Rest of the world,Historical,Electricity demand,Trucks,EV,2010,GWh,1000.0
Rest of the world,Historical,Electricity demand,Cars,EV,2010,GWh,0.119999997317791
Rest of the world,Historical,Electricity demand,Buses,EV,2011,GWh,5.59999990463257
Rest of the world,Historical,Electricity demand,Trucks,EV,2011,GWh,140.0
Rest of the world,Historical,Electricity demand,Cars,EV,2011,GWh,890.0
Rest of the world,Historical,Electricity demand,Buses,EV,2012,GWh,3.79999995231628
Rest of the world,Historical,Electricity demand,Trucks,EV,2012,GWh,60.0
Rest of the world,Historical,Electricity demand,Vans,EV,2012,GWh,19.0
Rest of the world,Historical,Electricity demand,Cars,EV,2012,GWh,980.0
Rest of the world,Historical,Electricity demand,Buses,EV,2013,GWh,3.09999990463257
Rest of the world,Historical,Electricity demand,Trucks,EV,2013,GWh,47.0
Rest of the world,Historical,Electricity demand,Vans,EV,2013,GWh,49.0
Rest of the world,Historical,Electricity demand,Cars,EV,2013,GWh,1100.0
Rest of the world,Historical,Electricity demand,Buses,EV,2014,GWh,1.89999997615814
Rest of the world,Historical,Electricity demand,Trucks,EV,2014,GWh,30.0
Rest of the world,Historical,Electricity demand,Vans,EV,2014,GWh,370.0
Rest of the world,Historical,Electricity demand,Cars,EV,2014,GWh,1400.0
Rest of the world,Historical,Electricity demand,Buses,EV,2015,GWh,4.19999980926514
Rest of the world,Historical,Electricity demand,Trucks,EV,2015,GWh,20.0
Rest of the world,Historical,Electricity demand,Vans,EV,2015,GWh,480.0
Rest of the world,Historical,Electricity demand,Cars,EV,2015,GWh,1400.0
Rest of the world,Historical,Electricity demand,Buses,EV,2016,GWh,11.0
Rest of the world,Historical,Electricity demand,Trucks,EV,2016,GWh,9.0
Rest of the world,Historical,Electricity demand,Vans,EV,2016,GWh,380.0
Rest of the world,Historical,Electricity demand,Cars,EV,2016,GWh,1400.0
Rest of the world,Historical,Electricity demand,Buses,EV,2017,GWh,34.0
Rest of the world,Historical,Electricity demand,Trucks,EV,2017,GWh,4.69999980926514
Rest of the world,Historical,Electricity demand,Vans,EV,2017,GWh,100.0
Rest of the world,Historical,Electricity demand,Cars,EV,2017,GWh,1400.0
Rest of the world,Historical,Electricity demand,Buses,EV,2018,GWh,370.0
Rest of the world,Historical,Electricity demand,Trucks,EV,2018,GWh,4.0
Rest of the world,Historical,Electricity demand,Vans,EV,2018,GWh,68.0
Rest of the world,Historical,Electricity demand,Cars,EV,2018,GWh,1400.0
Rest of the world,Historical,Electricity demand,Buses,EV,2019,GWh,680.0
Rest of the world,Historical,Electricity demand,Trucks,EV,2019,GWh,2.79999995231628
Rest of the world,Historical,Electricity demand,Vans,EV,2019,GWh,67.0
Rest of the world,Historical,Electricity demand,Cars,EV,2019,GWh,1700.0
Rest of the world,Historical,Electricity demand,Buses,EV,2020,GWh,720.0
Rest of the world,Historical,Electricity demand,Trucks,EV,2020,GWh,2.70000004768372
Rest of the world,Historical,Electricity demand,Vans,EV,2020,GWh,150.0
Rest of the world,Historical,Electricity demand,Cars,EV,2020,GWh,1700.0
Rest of the world,Projection-STEPS,Electricity demand,Buses,EV,2020,GWh,720.0
Rest of the world,Projection-STEPS,Electricity demand,Trucks,EV,2020,GWh,2.70000004768372
Rest of the world,Projection-STEPS,Electricity demand,Vans,EV,2020,GWh,150.0
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,1700.0
Rest of the world,Projection-APS,Electricity demand,Buses,EV,2020,GWh,720.0
Rest of the world,Projection-APS,Electricity demand,Trucks,EV,2020,GWh,2.70000004768372
Rest of the world,Projection-APS,Electricity demand,Vans,EV,2020,GWh,150.0
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2020,GWh,1700.0
Rest of the world,Projection-APS,Electricity demand,Buses,EV,2021,GWh,680.0
Rest of the world,Projection-APS,Electricity demand,Trucks,EV,2021,GWh,19.0
Rest of the world,Projection-APS,Electricity demand,Vans,EV,2021,GWh,270.0
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2021,GWh,1900.0
Rest of the world,Historical,Electricity demand,Buses,EV,2021,GWh,680.0
Rest of the world,Historical,Electricity demand,Trucks,EV,2021,GWh,19.0
Rest of the world,Historical,Electricity demand,Vans,EV,2021,GWh,270.0
Rest of the world,Historical,Electricity demand,Cars,EV,2021,GWh,1900.0
Rest of the world,Projection-STEPS,Electricity demand,Buses,EV,2021,GWh,680.0
Rest of the world,Projection-STEPS,Electricity demand,Trucks,EV,2021,GWh,19.0
Rest of the world,Projection-STEPS,Electricity demand,Vans,EV,2021,GWh,270.0
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,1900.0
Rest of the world,Historical,Electricity demand,Buses,EV,2022,GWh,680.0
Rest of the world,Historical,Electricity demand,Trucks,EV,2022,GWh,69.0
Rest of the world,Historical,Electricity demand,Vans,EV,2022,GWh,300.0
Rest of the world,Historical,Electricity demand,Cars,EV,2022,GWh,2000.0
Rest of the world,Projection-STEPS,Electricity demand,Buses,EV,2022,GWh,680.0
Rest of the world,Projection-STEPS,Electricity demand,Trucks,EV,2022,GWh,69.0
Rest of the world,Projection-STEPS,Electricity demand,Vans,EV,2022,GWh,300.0
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,2000.0
Rest of the world,Projection-APS,Electricity demand,Buses,EV,2022,GWh,680.0
Rest of the world,Projection-APS,Electricity demand,Trucks,EV,2022,GWh,69.0
Rest of the world,Projection-APS,Electricity demand,Vans,EV,2022,GWh,300.0
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2022,GWh,2000.0
Rest of the world,Projection-APS,Electricity demand,Buses,EV,2023,GWh,900.0
Rest of the world,Projection-APS,Electricity demand,Trucks,EV,2023,GWh,330.0
Rest of the world,Projection-APS,Electricity demand,Vans,EV,2023,GWh,1000.0
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2023,GWh,7900.0
Rest of the world,Historical,Electricity demand,Buses,EV,2023,GWh,890.0
Rest of the world,Historical,Electricity demand,Trucks,EV,2023,GWh,340.0
Rest of the world,Historical,Electricity demand,Vans,EV,2023,GWh,1000.0
Rest of the world,Historical,Electricity demand,Cars,EV,2023,GWh,7900.0
Rest of the world,Projection-STEPS,Electricity demand,Buses,EV,2023,GWh,890.0
Rest of the world,Projection-STEPS,Electricity demand,Trucks,EV,2023,GWh,340.0
Rest of the world,Projection-STEPS,Electricity demand,Vans,EV,2023,GWh,1000.0
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2023,GWh,7900.0
Rest of the world,Projection-STEPS,Electricity demand,Buses,EV,2025,GWh,3100.0
Rest of the world,Projection-STEPS,Electricity demand,Trucks,EV,2025,GWh,1200.0
Rest of the world,Projection-STEPS,Electricity demand,Vans,EV,2025,GWh,3200.0
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2025,GWh,20000.0
Rest of the world,Projection-APS,Electricity demand,Buses,EV,2025,GWh,4200.0
Rest of the world,Projection-APS,Electricity demand,Trucks,EV,2025,GWh,2000.0
Rest of the world,Projection-APS,Electricity demand,Vans,EV,2025,GWh,4200.0
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2025,GWh,21000.0
Rest of the world,Projection-APS,Electricity demand,Buses,EV,2030,GWh,29000.0
Rest of the world,Projection-APS,Electricity demand,Trucks,EV,2030,GWh,23000.0
Rest of the world,Projection-APS,Electricity demand,Vans,EV,2030,GWh,32000.0
Rest of the world,Projection-APS,Electricity demand,Cars,EV,2030,GWh,120000.0
Rest of the world,Projection-STEPS,Electricity demand,Buses,EV,2030,GWh,15000.0
Rest of the world,Projection-STEPS,Electricity demand,Trucks,EV,2030,GWh,14000.0
Rest of the world,Projection-STEPS,Electricity demand,Vans,EV,2030,GWh,13000.0
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2030,GWh,82000.0
Rest of the world,Projection-STEPS,Electricity demand,Buses,EV,2035,GWh,47000.0
Rest of the world,Projection-STEPS,Electricity demand,Trucks,EV,2035,GWh,42000.0
Rest of the world,Projection-STEPS,Electricity demand,Vans,EV,2035,GWh,32000.0
Rest of the world,Projection-STEPS,Electricity demand,Cars,EV,2035,GWh,200000.0
