region,category,parameter,mode,powertrain,year,unit,value
India,Historical,EV sales share,Cars,EV,2010,percent,0.020999999716878
India,Historical,EV sales share,Cars,EV,2011,percent,0.056000001728535
India,Historical,EV sales share,Cars,EV,2012,percent,0.00719999987632
India,Historical,EV sales share,Cars,EV,2013,percent,0.016000000759959
India,Historical,EV sales share,Cars,EV,2014,percent,0.037999998778105
India,Historical,EV sales share,Cars,EV,2015,percent,0.017000000923872
India,Historical,EV sales share,Buses,EV,2015,percent,0.109999999403954
India,Historical,EV sales share,Buses,EV,2016,percent,0.027000000700355
India,Historical,EV sales share,Vans,EV,2016,percent,0.056000001728535
India,Historical,EV sales share,Cars,EV,2016,percent,0.026000000536442
India,Historical,EV sales share,Cars,EV,2017,percent,0.030999999493361
India,Historical,EV sales share,Vans,EV,2017,percent,0.310000002384186
India,Historical,EV sales share,Buses,EV,2017,percent,0.023000000044704
India,Historical,EV sales share,Buses,EV,2018,percent,0.280000001192093
India,Historical,EV sales share,Vans,EV,2018,percent,0.28999999165535
India,Historical,EV sales share,Cars,EV,2018,percent,0.029999999329448
India,Historical,EV sales share,Cars,EV,2019,percent,0.024000000208616
India,Historical,EV sales share,Vans,EV,2019,percent,0.159999996423721
India,Historical,EV sales share,Buses,EV,2019,percent,0.689999997615814
India,Historical,EV sales share,Buses,EV,2020,percent,6.0
India,Historical,EV sales share,Vans,EV,2020,percent,0.230000004172325
India,Historical,EV sales share,Cars,EV,2020,percent,0.119999997317791
India,Projection-STEPS,EV sales share,Vans,EV,2020,percent,0.230000004172325
India,Projection-STEPS,EV sales share,Cars,EV,2020,percent,0.119999997317791
India,Projection-STEPS,EV sales share,Buses,EV,2020,percent,6.0
India,Projection-APS,EV sales share,Buses,EV,2020,percent,6.0
India,Projection-APS,EV sales share,Vans,EV,2020,percent,0.230000004172325
India,Projection-APS,EV sales share,Cars,EV,2020,percent,0.119999997317791
India,Projection-APS,EV sales share,Cars,EV,2021,percent,0.349999994039536
India,Projection-APS,EV sales share,Vans,EV,2021,percent,0.419999986886978
India,Projection-APS,EV sales share,Buses,EV,2021,percent,7.5
India,Projection-STEPS,EV sales share,Buses,EV,2021,percent,7.5
India,Projection-STEPS,EV sales share,Cars,EV,2021,percent,0.349999994039536
India,Projection-STEPS,EV sales share,Vans,EV,2021,percent,0.419999986886978
India,Historical,EV sales share,Cars,EV,2021,percent,0.349999994039536
India,Historical,EV sales share,Vans,EV,2021,percent,0.419999986886978
India,Historical,EV sales share,Buses,EV,2021,percent,7.5
India,Historical,EV sales share,Buses,EV,2022,percent,6.19999980926514
India,Historical,EV sales share,Vans,EV,2022,percent,0.097999997437
India,Historical,EV sales share,Cars,EV,2022,percent,1.20000004768372
India,Projection-STEPS,EV sales share,Vans,EV,2022,percent,0.097999997437
India,Projection-STEPS,EV sales share,Cars,EV,2022,percent,1.20000004768372
India,Projection-STEPS,EV sales share,Buses,EV,2022,percent,6.19999980926514
India,Projection-APS,EV sales share,Buses,EV,2022,percent,6.19999980926514
India,Projection-APS,EV sales share,Vans,EV,2022,percent,0.097999997437
India,Projection-APS,EV sales share,Cars,EV,2022,percent,1.20000004768372
India,Projection-APS,EV sales share,Cars,EV,2023,percent,2.0
India,Projection-APS,EV sales share,Vans,EV,2023,percent,0.061999998986721
India,Projection-APS,EV sales share,Buses,EV,2023,percent,6.80000019073486
India,Projection-STEPS,EV sales share,Buses,EV,2023,percent,6.80000019073486
India,Projection-STEPS,EV sales share,Cars,EV,2023,percent,2.0
India,Projection-STEPS,EV sales share,Vans,EV,2023,percent,0.061999998986721
India,Historical,EV sales share,Cars,EV,2023,percent,2.0
India,Historical,EV sales share,Vans,EV,2023,percent,0.061999998986721
India,Historical,EV sales share,Buses,EV,2023,percent,6.80000019073486
India,Projection-STEPS,EV sales share,Vans,EV,2025,percent,3.0
India,Projection-STEPS,EV sales share,Trucks,EV,2025,percent,0.180000007152557
India,Projection-STEPS,EV sales share,Cars,EV,2025,percent,7.0
India,Projection-STEPS,EV sales share,Buses,EV,2025,percent,10.0
India,Projection-APS,EV sales share,Buses,EV,2025,percent,13.0
India,Projection-APS,EV sales share,Trucks,EV,2025,percent,0.610000014305115
India,Projection-APS,EV sales share,Vans,EV,2025,percent,5.0
India,Projection-APS,EV sales share,Cars,EV,2025,percent,9.0
India,Projection-APS,EV sales share,Cars,EV,2030,percent,32.0
India,Projection-APS,EV sales share,Vans,EV,2030,percent,31.0
India,Projection-APS,EV sales share,Trucks,EV,2030,percent,2.0
India,Projection-APS,EV sales share,Buses,EV,2030,percent,34.0
India,Projection-STEPS,EV sales share,Buses,EV,2030,percent,34.0
India,Projection-STEPS,EV sales share,Cars,EV,2030,percent,18.0
India,Projection-STEPS,EV sales share,Trucks,EV,2030,percent,2.0
India,Projection-STEPS,EV sales share,Vans,EV,2030,percent,9.0
India,Projection-STEPS,EV sales share,Vans,EV,2035,percent,22.0
India,Projection-STEPS,EV sales share,Trucks,EV,2035,percent,3.0
India,Projection-STEPS,EV sales share,Cars,EV,2035,percent,25.0
India,Projection-STEPS,EV sales share,Buses,EV,2035,percent,60.0
India,Projection-APS,EV sales share,Buses,EV,2035,percent,60.0
India,Projection-APS,EV sales share,Trucks,EV,2035,percent,6.0
India,Projection-APS,EV sales share,Vans,EV,2035,percent,80.0
India,Projection-APS,EV sales share,Cars,EV,2035,percent,59.0
