region,category,parameter,mode,powertrain,year,unit,value
Poland,Historical,EV sales share,Vans,EV,2010,percent,0.007799999788404
Poland,Historical,EV sales share,Cars,EV,2010,percent,0.004800000227988
Poland,Historical,EV sales share,Cars,EV,2011,percent,0.014000000432134
Poland,Historical,EV sales share,Vans,EV,2011,percent,0.006599999964237
Poland,Historical,EV sales share,Vans,EV,2012,percent,0.041999999433756
Poland,Historical,EV sales share,Cars,EV,2012,percent,0.017000000923872
Poland,Historical,EV sales share,Cars,EV,2013,percent,0.013000000268221
Poland,Historical,EV sales share,Vans,EV,2013,percent,0.025000000372529
Poland,Historical,EV sales share,Vans,EV,2014,percent,0.01799999922514
Poland,Historical,EV sales share,Cars,EV,2014,percent,0.061999998986721
Poland,Historical,EV sales share,Cars,EV,2015,percent,0.061000000685454
Poland,Historical,EV sales share,Vans,EV,2015,percent,0.028000000864267
Poland,Historical,EV sales share,Vans,EV,2016,percent,0.027000000700355
Poland,Historical,EV sales share,Cars,EV,2016,percent,0.119999997317791
Poland,Historical,EV sales share,Cars,EV,2017,percent,0.219999998807907
Poland,Historical,EV sales share,Vans,EV,2017,percent,0.046999998390675
Poland,Historical,EV sales share,Buses,EV,2018,percent,1.70000004768372
Poland,Historical,EV sales share,Vans,EV,2018,percent,0.061000000685454
Poland,Historical,EV sales share,Cars,EV,2018,percent,0.259999990463257
Poland,Historical,EV sales share,Cars,EV,2019,percent,0.490000009536743
Poland,Historical,EV sales share,Vans,EV,2019,percent,0.189999997615814
Poland,Historical,EV sales share,Buses,EV,2019,percent,1.20000004768372
Poland,Historical,EV sales share,Buses,EV,2020,percent,40.0
Poland,Historical,EV sales share,Vans,EV,2020,percent,0.370000004768372
Poland,Historical,EV sales share,Cars,EV,2020,percent,1.89999997615814
Poland,Historical,EV sales share,Cars,EV,2021,percent,3.59999990463257
Poland,Historical,EV sales share,Vans,EV,2021,percent,1.10000002384186
Poland,Historical,EV sales share,Buses,EV,2021,percent,16.0
Poland,Historical,EV sales share,Buses,EV,2022,percent,16.0
Poland,Historical,EV sales share,Vans,EV,2022,percent,1.79999995231628
Poland,Historical,EV sales share,Cars,EV,2022,percent,6.0
Poland,Historical,EV sales share,Cars,EV,2023,percent,6.59999990463257
Poland,Historical,EV sales share,Vans,EV,2023,percent,3.79999995231628
Poland,Historical,EV sales share,Buses,EV,2023,percent,20.0
