region,category,parameter,mode,powertrain,year,unit,value
Europe,Historical,Electricity demand,Buses,EV,2010,GWh,240.0
Europe,Historical,Electricity demand,Trucks,EV,2010,GWh,9.10000038146973
Europe,Historical,Electricity demand,Vans,EV,2010,GWh,81.0
Europe,Historical,Electricity demand,Cars,EV,2010,GWh,300.0
Europe,Historical,Electricity demand,Buses,EV,2011,GWh,180.0
Europe,Historical,Electricity demand,Trucks,EV,2011,GWh,6.5
Europe,Historical,Electricity demand,Vans,EV,2011,GWh,79.0
Europe,Historical,Electricity demand,Cars,EV,2011,GWh,460.0
Europe,Historical,Electricity demand,Buses,EV,2012,GWh,280.0
Europe,Historical,Electricity demand,Trucks,EV,2012,GWh,4.69999980926514
Europe,Historical,Electricity demand,Vans,EV,2012,GWh,150.0
Europe,Historical,Electricity demand,Cars,EV,2012,GWh,290.0
Europe,Historical,Electricity demand,Buses,EV,2013,GWh,280.0
Europe,Historical,Electricity demand,Trucks,EV,2013,GWh,4.19999980926514
Europe,Historical,Electricity demand,Vans,EV,2013,GWh,170.0
Europe,Historical,Electricity demand,Cars,EV,2013,GWh,410.0
Europe,Historical,Electricity demand,Buses,EV,2014,GWh,290.0
Europe,Historical,Electricity demand,Trucks,EV,2014,GWh,6.69999980926514
Europe,Historical,Electricity demand,Vans,EV,2014,GWh,190.0
Europe,Historical,Electricity demand,Cars,EV,2014,GWh,530.0
Europe,Historical,Electricity demand,Buses,EV,2015,GWh,240.0
Europe,Historical,Electricity demand,Trucks,EV,2015,GWh,6.5
Europe,Historical,Electricity demand,Vans,EV,2015,GWh,220.0
Europe,Historical,Electricity demand,Cars,EV,2015,GWh,790.0
Europe,Historical,Electricity demand,Buses,EV,2016,GWh,240.0
Europe,Historical,Electricity demand,Trucks,EV,2016,GWh,12.0
Europe,Historical,Electricity demand,Vans,EV,2016,GWh,250.0
Europe,Historical,Electricity demand,Cars,EV,2016,GWh,1100.0
Europe,Historical,Electricity demand,Buses,EV,2017,GWh,240.0
Europe,Historical,Electricity demand,Trucks,EV,2017,GWh,13.0
Europe,Historical,Electricity demand,Vans,EV,2017,GWh,300.0
Europe,Historical,Electricity demand,Cars,EV,2017,GWh,1500.0
Europe,Historical,Electricity demand,Buses,EV,2018,GWh,230.0
Europe,Historical,Electricity demand,Trucks,EV,2018,GWh,21.0
Europe,Historical,Electricity demand,Vans,EV,2018,GWh,390.0
Europe,Historical,Electricity demand,Cars,EV,2018,GWh,2100.0
Europe,Historical,Electricity demand,Buses,EV,2019,GWh,310.0
Europe,Historical,Electricity demand,Trucks,EV,2019,GWh,41.0
Europe,Historical,Electricity demand,Vans,EV,2019,GWh,540.0
Europe,Historical,Electricity demand,Cars,EV,2019,GWh,3100.0
Europe,Historical,Electricity demand,Buses,EV,2020,GWh,370.0
Europe,Historical,Electricity demand,Trucks,EV,2020,GWh,64.0
Europe,Historical,Electricity demand,Vans,EV,2020,GWh,700.0
Europe,Historical,Electricity demand,Cars,EV,2020,GWh,4600.0
Europe,Projection-STEPS,Electricity demand,Buses,EV,2020,GWh,370.0
Europe,Projection-STEPS,Electricity demand,Trucks,EV,2020,GWh,64.0
Europe,Projection-STEPS,Electricity demand,Vans,EV,2020,GWh,700.0
Europe,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,4600.0
Europe,Projection-APS,Electricity demand,Buses,EV,2020,GWh,370.0
Europe,Projection-APS,Electricity demand,Trucks,EV,2020,GWh,64.0
Europe,Projection-APS,Electricity demand,Vans,EV,2020,GWh,700.0
Europe,Projection-APS,Electricity demand,Cars,EV,2020,GWh,4600.0
Europe,Projection-APS,Electricity demand,Buses,EV,2021,GWh,580.0
Europe,Projection-APS,Electricity demand,Trucks,EV,2021,GWh,130.0
Europe,Projection-APS,Electricity demand,Vans,EV,2021,GWh,1100.0
Europe,Projection-APS,Electricity demand,Cars,EV,2021,GWh,7800.0
Europe,Historical,Electricity demand,Buses,EV,2021,GWh,580.0
Europe,Historical,Electricity demand,Trucks,EV,2021,GWh,130.0
Europe,Historical,Electricity demand,Vans,EV,2021,GWh,1100.0
Europe,Historical,Electricity demand,Cars,EV,2021,GWh,7800.0
Europe,Projection-STEPS,Electricity demand,Buses,EV,2021,GWh,580.0
Europe,Projection-STEPS,Electricity demand,Trucks,EV,2021,GWh,130.0
Europe,Projection-STEPS,Electricity demand,Vans,EV,2021,GWh,1100.0
Europe,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,7800.0
Europe,Historical,Electricity demand,Buses,EV,2022,GWh,720.0
Europe,Historical,Electricity demand,Trucks,EV,2022,GWh,260.0
Europe,Historical,Electricity demand,Vans,EV,2022,GWh,1600.0
Europe,Historical,Electricity demand,Cars,EV,2022,GWh,11000.0
Europe,Projection-STEPS,Electricity demand,Buses,EV,2022,GWh,720.0
Europe,Projection-STEPS,Electricity demand,Trucks,EV,2022,GWh,260.0
Europe,Projection-STEPS,Electricity demand,Vans,EV,2022,GWh,1600.0
Europe,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,11000.0
Europe,Projection-APS,Electricity demand,Buses,EV,2022,GWh,720.0
Europe,Projection-APS,Electricity demand,Trucks,EV,2022,GWh,260.0
Europe,Projection-APS,Electricity demand,Vans,EV,2022,GWh,1600.0
Europe,Projection-APS,Electricity demand,Cars,EV,2022,GWh,11000.0
Europe,Projection-APS,Electricity demand,Buses,EV,2023,GWh,1500.0
Europe,Projection-APS,Electricity demand,Trucks,EV,2023,GWh,1700.0
Europe,Projection-APS,Electricity demand,Vans,EV,2023,GWh,4100.0
Europe,Projection-APS,Electricity demand,Cars,EV,2023,GWh,29000.0
Europe,Historical,Electricity demand,Buses,EV,2023,GWh,1500.0
Europe,Historical,Electricity demand,Trucks,EV,2023,GWh,1700.0
Europe,Historical,Electricity demand,Vans,EV,2023,GWh,4100.0
Europe,Historical,Electricity demand,Cars,EV,2023,GWh,29000.0
Europe,Projection-STEPS,Electricity demand,Buses,EV,2023,GWh,1500.0
Europe,Projection-STEPS,Electricity demand,Trucks,EV,2023,GWh,1700.0
Europe,Projection-STEPS,Electricity demand,Vans,EV,2023,GWh,4100.0
Europe,Projection-STEPS,Electricity demand,Cars,EV,2023,GWh,29000.0
Europe,Projection-STEPS,Electricity demand,Buses,EV,2025,GWh,3400.0
Europe,Projection-STEPS,Electricity demand,Trucks,EV,2025,GWh,4300.0
Europe,Projection-STEPS,Electricity demand,Vans,EV,2025,GWh,7800.0
Europe,Projection-STEPS,Electricity demand,Cars,EV,2025,GWh,56000.0
Europe,Projection-APS,Electricity demand,Vans,EV,2025,GWh,8000.0
Europe,Projection-APS,Electricity demand,Cars,EV,2025,GWh,55000.0
Europe,Projection-APS,Electricity demand,Buses,EV,2025,GWh,3700.0
Europe,Projection-APS,Electricity demand,Trucks,EV,2025,GWh,4200.0
