region,category,parameter,mode,powertrain,year,unit,value
Poland,Historical,EV stock,Buses,PHEV,2015,Vehicles,14.0
Poland,Historical,EV stock,Buses,PHEV,2016,Vehicles,34.0
Poland,Historical,EV stock,Buses,PHEV,2017,Vehicles,34.0
Poland,Historical,EV stock,Buses,PHEV,2018,Vehicles,38.0
Poland,Historical,EV stock,Vans,PHEV,2019,Vehicles,3.0
Poland,Historical,EV stock,Cars,PHEV,2019,Vehicles,3800.0
Poland,Historical,EV stock,Buses,PHEV,2019,Vehicles,38.0
Poland,Historical,EV stock,Buses,PHEV,2020,Vehicles,38.0
Poland,Historical,EV stock,Cars,PHEV,2020,Vehicles,8300.0
Poland,Historical,EV stock,Vans,PHEV,2020,Vehicles,8.0
Poland,Historical,EV stock,Vans,PHEV,2021,Vehicles,4.0
Poland,Historical,EV stock,Cars,PHEV,2021,Vehicles,19000.0
Poland,Historical,EV stock,Buses,PHEV,2021,Vehicles,38.0
Poland,Historical,EV stock,Buses,PHEV,2022,Vehicles,38.0
Poland,Historical,EV stock,Cars,PHEV,2022,Vehicles,30000.0
Poland,Historical,EV stock,Vans,PHEV,2022,Vehicles,5.0
Poland,Historical,EV stock,Vans,PHEV,2023,Vehicles,6.0
Poland,Historical,EV stock,Cars,PHEV,2023,Vehicles,47000.0
Poland,Historical,EV stock,Buses,PHEV,2023,Vehicles,44.0
Poland,Historical,EV stock,Cars,FCEV,2017,Vehicles,14.0
Poland,Historical,EV stock,Cars,FCEV,2018,Vehicles,28.0
Poland,Historical,EV stock,Cars,FCEV,2019,Vehicles,34.0
Poland,Historical,EV stock,Cars,FCEV,2020,Vehicles,28.0
Poland,Historical,EV stock,Cars,FCEV,2021,Vehicles,91.0
Poland,Historical,EV stock,Cars,FCEV,2022,Vehicles,130.0
Poland,Historical,EV stock,Cars,FCEV,2023,Vehicles,210.0
Poland,Historical,EV stock,Buses,FCEV,2023,Vehicles,34.0
Poland,Historical,EV stock,Cars,BEV,2015,Vehicles,2500.0
Poland,Historical,EV stock,Vans,BEV,2015,Vehicles,18.0
Poland,Historical,EV stock,Vans,BEV,2016,Vehicles,27.0
Poland,Historical,EV stock,Cars,BEV,2016,Vehicles,2600.0
Poland,Historical,EV stock,Cars,BEV,2017,Vehicles,3100.0
Poland,Historical,EV stock,Vans,BEV,2017,Vehicles,34.0
Poland,Historical,EV stock,Buses,BEV,2017,Vehicles,1.0
Poland,Historical,EV stock,Buses,BEV,2018,Vehicles,63.0
Poland,Historical,EV stock,Vans,BEV,2018,Vehicles,120.0
Poland,Historical,EV stock,Cars,BEV,2018,Vehicles,3700.0
Poland,Historical,EV stock,Cars,BEV,2019,Vehicles,4800.0
Poland,Historical,EV stock,Vans,BEV,2019,Vehicles,490.0
Poland,Historical,EV stock,Buses,BEV,2019,Vehicles,230.0
Poland,Historical,EV stock,Buses,BEV,2020,Vehicles,430.0
Poland,Historical,EV stock,Vans,BEV,2020,Vehicles,810.0
Poland,Historical,EV stock,Cars,BEV,2020,Vehicles,9400.0
Poland,Historical,EV stock,Cars,BEV,2021,Vehicles,18000.0
Poland,Historical,EV stock,Vans,BEV,2021,Vehicles,1500.0
Poland,Historical,EV stock,Buses,BEV,2021,Vehicles,600.0
Poland,Historical,EV stock,Buses,BEV,2022,Vehicles,820.0
Poland,Historical,EV stock,Vans,BEV,2022,Vehicles,3100.0
Poland,Historical,EV stock,Cars,BEV,2022,Vehicles,31000.0
Poland,Historical,EV stock,Cars,BEV,2023,Vehicles,52000.0
Poland,Historical,EV stock,Vans,BEV,2023,Vehicles,5800.0
Poland,Historical,EV stock,Buses,BEV,2023,Vehicles,1200.0
