region,category,parameter,mode,powertrain,year,unit,value
Slovakia,Historical,EV sales,Cars,PHEV,2019,Vehicles,200.0
Slovakia,Historical,EV sales,Cars,PHEV,2020,Vehicles,860.0
Slovakia,Historical,EV sales,Cars,PHEV,2021,Vehicles,1200.0
Slovakia,Historical,EV sales,Cars,PHEV,2022,Vehicles,1600.0
Slovakia,Historical,EV sales,Cars,PHEV,2023,Vehicles,3000.0
Slovakia,Historical,EV sales,Cars,BEV,2015,Vehicles,52.0
Slovakia,Historical,EV sales,Cars,BEV,2016,Vehicles,59.0
Slovakia,Historical,EV sales,Cars,BEV,2017,Vehicles,210.0
Slovakia,Historical,EV sales,Cars,BEV,2018,Vehicles,290.0
Slovakia,Historical,EV sales,Cars,BEV,2019,Vehicles,160.0
Slovakia,Historical,EV sales,Cars,BEV,2020,Vehicles,920.0
Slovakia,Historical,EV sales,Cars,BEV,2021,Vehicles,1100.0
Slovakia,Historical,EV sales,Cars,BEV,2022,Vehicles,1400.0
Slovakia,Historical,EV sales,Cars,BEV,2023,Vehicles,2300.0
