region,category,parameter,mode,powertrain,year,unit,value
Denmark,Historical,EV stock share,Cars,EV,2010,percent,0.003700000001118
Denmark,Historical,EV stock share,Trucks,EV,2010,percent,0.019999999552965
Denmark,Historical,EV stock share,Vans,EV,2010,percent,0.001399999950081
Denmark,Historical,EV stock share,Vans,EV,2011,percent,0.006800000090152
Denmark,Historical,EV stock share,Buses,EV,2011,percent,0.010999999940395
Denmark,Historical,EV stock share,Trucks,EV,2011,percent,0.023000000044704
Denmark,Historical,EV stock share,Cars,EV,2011,percent,0.023000000044704
Denmark,Historical,EV stock share,Cars,EV,2012,percent,0.056000001728535
Denmark,Historical,EV stock share,Trucks,EV,2012,percent,0.024000000208616
Denmark,Historical,EV stock share,Buses,EV,2012,percent,0.023000000044704
Denmark,Historical,EV stock share,Vans,EV,2012,percent,0.054999999701977
Denmark,Historical,EV stock share,Vans,EV,2013,percent,0.079999998211861
Denmark,Historical,EV stock share,Buses,EV,2013,percent,0.048000000417233
Denmark,Historical,EV stock share,Trucks,EV,2013,percent,0.027000000700355
Denmark,Historical,EV stock share,Cars,EV,2013,percent,0.068000003695488
Denmark,Historical,EV stock share,Cars,EV,2014,percent,0.129999995231628
Denmark,Historical,EV stock share,Vans,EV,2014,percent,0.092000000178814
Denmark,Historical,EV stock share,Trucks,EV,2014,percent,0.027000000700355
Denmark,Historical,EV stock share,Buses,EV,2014,percent,0.046999998390675
Denmark,Historical,EV stock share,Buses,EV,2015,percent,0.046999998390675
Denmark,Historical,EV stock share,Trucks,EV,2015,percent,0.027000000700355
Denmark,Historical,EV stock share,Vans,EV,2015,percent,0.170000001788139
Denmark,Historical,EV stock share,Cars,EV,2015,percent,0.349999994039536
Denmark,Historical,EV stock share,Cars,EV,2016,percent,0.400000005960465
Denmark,Historical,EV stock share,Vans,EV,2016,percent,0.200000002980232
Denmark,Historical,EV stock share,Trucks,EV,2016,percent,0.018999999389052
Denmark,Historical,EV stock share,Buses,EV,2016,percent,0.070000000298023
Denmark,Historical,EV stock share,Buses,EV,2017,percent,0.071000002324581
Denmark,Historical,EV stock share,Trucks,EV,2017,percent,0.017000000923872
Denmark,Historical,EV stock share,Vans,EV,2017,percent,0.180000007152557
Denmark,Historical,EV stock share,Cars,EV,2017,percent,0.419999986886978
Denmark,Historical,EV stock share,Cars,EV,2018,percent,0.589999973773956
Denmark,Historical,EV stock share,Vans,EV,2018,percent,0.230000004172325
Denmark,Historical,EV stock share,Trucks,EV,2018,percent,0.017000000923872
Denmark,Historical,EV stock share,Buses,EV,2018,percent,0.065999999642372
Denmark,Historical,EV stock share,Buses,EV,2019,percent,0.889999985694885
Denmark,Historical,EV stock share,Trucks,EV,2019,percent,0.027000000700355
Denmark,Historical,EV stock share,Vans,EV,2019,percent,0.310000002384186
Denmark,Historical,EV stock share,Cars,EV,2019,percent,0.959999978542328
Denmark,Historical,EV stock share,Cars,EV,2020,percent,2.29999995231628
Denmark,Historical,EV stock share,Vans,EV,2020,percent,0.469999998807907
Denmark,Historical,EV stock share,Trucks,EV,2020,percent,0.05799999833107
Denmark,Historical,EV stock share,Buses,EV,2020,percent,0.939999997615814
Denmark,Historical,EV stock share,Buses,EV,2021,percent,3.0
Denmark,Historical,EV stock share,Trucks,EV,2021,percent,0.109999999403954
Denmark,Historical,EV stock share,Vans,EV,2021,percent,0.920000016689301
Denmark,Historical,EV stock share,Cars,EV,2021,percent,5.19999980926514
Denmark,Historical,EV stock share,Cars,EV,2022,percent,7.80000019073486
Denmark,Historical,EV stock share,Vans,EV,2022,percent,1.5
Denmark,Historical,EV stock share,Trucks,EV,2022,percent,0.200000002980232
Denmark,Historical,EV stock share,Buses,EV,2022,percent,6.5
Denmark,Historical,EV stock share,Buses,EV,2023,percent,8.5
Denmark,Historical,EV stock share,Trucks,EV,2023,percent,0.980000019073486
Denmark,Historical,EV stock share,Vans,EV,2023,percent,2.40000009536743
Denmark,Historical,EV stock share,Cars,EV,2023,percent,11.0
