region,category,parameter,mode,powertrain,year,unit,value
Iceland,Historical,EV charging points,EV,Publicly available slow,2015,charging points,11.0
Iceland,Historical,EV charging points,EV,Publicly available slow,2016,charging points,11.0
Iceland,Historical,EV charging points,EV,Publicly available slow,2017,charging points,32.0
Iceland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,40.0
Iceland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,110.0
Iceland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,290.0
Iceland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,560.0
Iceland,Historical,EV charging points,EV,Publicly available slow,2022,charging points,850.0
Iceland,Historical,EV charging points,EV,Publicly available slow,2023,charging points,1400.0
Iceland,Historical,EV charging points,EV,Publicly available fast,2014,charging points,6.0
Iceland,Historical,EV charging points,EV,Publicly available fast,2015,charging points,11.0
Iceland,Historical,EV charging points,EV,Publicly available fast,2016,charging points,40.0
Iceland,Historical,EV charging points,EV,Publicly available fast,2017,charging points,36.0
Iceland,Historical,EV charging points,EV,Publicly available fast,2018,charging points,55.0
Iceland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,150.0
Iceland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,190.0
Iceland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120.0
Iceland,Historical,EV charging points,EV,Publicly available fast,2022,charging points,180.0
Iceland,Historical,EV charging points,EV,Publicly available fast,2023,charging points,160.0
