region,category,parameter,mode,powertrain,year,unit,value
Italy,Historical,EV sales share,Vans,EV,2010,percent,0.119999997317791
Italy,Historical,EV sales share,Cars,EV,2010,percent,0.002000000094995
Italy,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411
Italy,Historical,EV sales share,Vans,EV,2011,percent,0.0489999987185
Italy,Historical,EV sales share,Vans,EV,2012,percent,0.310000002384186
Italy,Historical,EV sales share,Cars,EV,2012,percent,0.032999999821186
Italy,Historical,EV sales share,Cars,EV,2013,percent,0.079999998211861
Italy,Historical,EV sales share,Vans,EV,2013,percent,0.200000002980232
Italy,Historical,EV sales share,Vans,EV,2014,percent,0.25
Italy,Historical,EV sales share,Cars,EV,2014,percent,0.100000001490116
Italy,Historical,EV sales share,Cars,EV,2015,percent,0.140000000596046
Italy,Historical,EV sales share,Vans,EV,2015,percent,0.349999994039536
Italy,Historical,EV sales share,Vans,EV,2016,percent,0.430000007152557
Italy,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464
Italy,Historical,EV sales share,Buses,EV,2016,percent,1.39999997615814
Italy,Historical,EV sales share,Buses,EV,2017,percent,0.910000026226044
Italy,Historical,EV sales share,Cars,EV,2017,percent,0.25
Italy,Historical,EV sales share,Vans,EV,2017,percent,0.280000001192093
Italy,Historical,EV sales share,Vans,EV,2018,percent,0.389999985694885
Italy,Historical,EV sales share,Cars,EV,2018,percent,0.509999990463257
Italy,Historical,EV sales share,Buses,EV,2018,percent,1.39999997615814
Italy,Historical,EV sales share,Buses,EV,2019,percent,1.60000002384186
Italy,Historical,EV sales share,Cars,EV,2019,percent,0.899999976158142
Italy,Historical,EV sales share,Vans,EV,2019,percent,0.610000014305115
Italy,Historical,EV sales share,Vans,EV,2020,percent,0.879999995231628
Italy,Historical,EV sales share,Cars,EV,2020,percent,4.30000019073486
Italy,Historical,EV sales share,Buses,EV,2020,percent,3.09999990463257
Italy,Historical,EV sales share,Buses,EV,2021,percent,5.19999980926514
Italy,Historical,EV sales share,Cars,EV,2021,percent,9.5
Italy,Historical,EV sales share,Vans,EV,2021,percent,1.89999997615814
Italy,Historical,EV sales share,Vans,EV,2022,percent,3.0
Italy,Historical,EV sales share,Cars,EV,2022,percent,8.60000038146973
Italy,Historical,EV sales share,Buses,EV,2022,percent,4.09999990463257
Italy,Historical,EV sales share,Buses,EV,2023,percent,8.0
Italy,Historical,EV sales share,Cars,EV,2023,percent,9.19999980926514
Italy,Historical,EV sales share,Vans,EV,2023,percent,4.19999980926514
