region,category,parameter,mode,powertrain,year,unit,value
Israel,Historical,EV stock share,Cars,EV,2010,percent,0.000319999991916
Israel,Historical,EV stock share,Cars,EV,2011,percent,0.004300000146031
Israel,Historical,EV stock share,Cars,EV,2012,percent,0.028999999165535
Israel,Historical,EV stock share,Cars,EV,2013,percent,0.048000000417233
Israel,Historical,EV stock share,Cars,EV,2014,percent,0.056000001728535
Israel,Historical,EV stock share,Cars,EV,2015,percent,0.054999999701977
Israel,Historical,EV stock share,Cars,EV,2016,percent,0.054000001400709
Israel,Historical,EV stock share,Buses,EV,2016,percent,0.016000000759959
Israel,Historical,EV stock share,Buses,EV,2017,percent,0.140000000596046
Israel,Historical,EV stock share,Cars,EV,2017,percent,0.109999999403954
Israel,Historical,EV stock share,Cars,EV,2018,percent,0.230000004172325
Israel,Historical,EV stock share,Buses,EV,2018,percent,0.230000004172325
Israel,Historical,EV stock share,Buses,EV,2019,percent,0.259999990463257
Israel,Historical,EV stock share,Cars,EV,2019,percent,0.370000004768372
Israel,Historical,EV stock share,Cars,EV,2020,percent,0.579999983310699
Israel,Historical,EV stock share,Buses,EV,2020,percent,0.319999992847443
Israel,Historical,EV stock share,Vans,EV,2020,percent,0.00109999999404
Israel,Historical,EV stock share,Vans,EV,2021,percent,0.014000000432134
Israel,Historical,EV stock share,Buses,EV,2021,percent,0.400000005960465
Israel,Historical,EV stock share,Cars,EV,2021,percent,1.29999995231628
Israel,Historical,EV stock share,Cars,EV,2022,percent,2.5
Israel,Historical,EV stock share,Buses,EV,2022,percent,1.60000002384186
Israel,Historical,EV stock share,Vans,EV,2022,percent,0.061999998986721
Israel,Historical,EV stock share,Vans,EV,2023,percent,0.170000001788139
Israel,Historical,EV stock share,Buses,EV,2023,percent,2.59999990463257
Israel,Historical,EV stock share,Cars,EV,2023,percent,4.19999980926514
