region,category,parameter,mode,powertrain,year,unit,value
Japan,Historical,EV sales,Cars,PHEV,2011,Vehicles,15.0
Japan,Historical,EV sales,Cars,PHEV,2012,Vehicles,11000.0
Japan,Historical,EV sales,Cars,PHEV,2013,Vehicles,14000.0
Japan,Historical,EV sales,Cars,PHEV,2014,Vehicles,16000.0
Japan,Historical,EV sales,Cars,PHEV,2015,Vehicles,14000.0
Japan,Historical,EV sales,Cars,PHEV,2016,Vehicles,9400.0
Japan,Historical,EV sales,Cars,PHEV,2017,Vehicles,36000.0
Japan,Historical,EV sales,Cars,PHEV,2018,Vehicles,23000.0
Japan,Historical,EV sales,Cars,PHEV,2019,Vehicles,18000.0
Japan,Historical,EV sales,Cars,PHEV,2020,Vehicles,15000.0
Japan,Historical,EV sales,Cars,PHEV,2021,Vehicles,23000.0
Japan,Historical,EV sales,Cars,PHEV,2022,Vehicles,38000.0
Japan,Historical,EV sales,Cars,PHEV,2023,Vehicles,52000.0
Japan,Historical,EV sales,Cars,FCEV,2010,Vehicles,2.0
Japan,Historical,EV sales,Cars,FCEV,2012,Vehicles,1.0
Japan,Historical,EV sales,Cars,FCEV,2013,Vehicles,4.0
Japan,Historical,EV sales,Cars,FCEV,2014,Vehicles,7.0
Japan,Historical,EV sales,Cars,FCEV,2015,Vehicles,390.0
Japan,Historical,EV sales,Cars,FCEV,2016,Vehicles,1100.0
Japan,Historical,EV sales,Cars,FCEV,2017,Vehicles,850.0
Japan,Historical,EV sales,Cars,FCEV,2018,Vehicles,610.0
Japan,Historical,EV sales,Cars,FCEV,2019,Vehicles,670.0
Japan,Historical,EV sales,Buses,FCEV,2020,Vehicles,100.0
Japan,Historical,EV sales,Cars,FCEV,2020,Vehicles,490.0
Japan,Historical,EV sales,Cars,FCEV,2021,Vehicles,2500.0
Japan,Historical,EV sales,Cars,FCEV,2022,Vehicles,990.0
Japan,Historical,EV sales,Cars,FCEV,2023,Vehicles,320.0
Japan,Historical,EV sales,Cars,BEV,2010,Vehicles,2400.0
Japan,Historical,EV sales,Cars,BEV,2011,Vehicles,13000.0
Japan,Historical,EV sales,Buses,BEV,2011,Vehicles,2.0
Japan,Historical,EV sales,Vans,BEV,2011,Vehicles,850.0
Japan,Historical,EV sales,Buses,BEV,2012,Vehicles,4.0
Japan,Historical,EV sales,Vans,BEV,2012,Vehicles,2500.0
Japan,Historical,EV sales,Cars,BEV,2012,Vehicles,13000.0
Japan,Historical,EV sales,Cars,BEV,2013,Vehicles,15000.0
Japan,Historical,EV sales,Vans,BEV,2013,Vehicles,2100.0
Japan,Historical,EV sales,Buses,BEV,2013,Vehicles,7.0
Japan,Historical,EV sales,Buses,BEV,2014,Vehicles,6.0
Japan,Historical,EV sales,Vans,BEV,2014,Vehicles,1000.0
Japan,Historical,EV sales,Cars,BEV,2014,Vehicles,16000.0
Japan,Historical,EV sales,Cars,BEV,2015,Vehicles,10000.0
Japan,Historical,EV sales,Vans,BEV,2015,Vehicles,830.0
Japan,Historical,EV sales,Buses,BEV,2015,Vehicles,2.0
Japan,Historical,EV sales,Buses,BEV,2016,Vehicles,8.0
Japan,Historical,EV sales,Vans,BEV,2016,Vehicles,320.0
Japan,Historical,EV sales,Cars,BEV,2016,Vehicles,15000.0
Japan,Historical,EV sales,Cars,BEV,2017,Vehicles,18000.0
Japan,Historical,EV sales,Vans,BEV,2017,Vehicles,320.0
Japan,Historical,EV sales,Buses,BEV,2017,Vehicles,10.0
Japan,Historical,EV sales,Buses,BEV,2018,Vehicles,10.0
Japan,Historical,EV sales,Vans,BEV,2018,Vehicles,280.0
Japan,Historical,EV sales,Trucks,BEV,2018,Vehicles,5.0
Japan,Historical,EV sales,Cars,BEV,2018,Vehicles,27000.0
Japan,Historical,EV sales,Cars,BEV,2019,Vehicles,21000.0
Japan,Historical,EV sales,Trucks,BEV,2019,Vehicles,50.0
Japan,Historical,EV sales,Vans,BEV,2019,Vehicles,520.0
Japan,Historical,EV sales,Buses,BEV,2019,Vehicles,8.0
Japan,Historical,EV sales,Buses,BEV,2020,Vehicles,10.0
Japan,Historical,EV sales,Vans,BEV,2020,Vehicles,1500.0
Japan,Historical,EV sales,Trucks,BEV,2020,Vehicles,35.0
Japan,Historical,EV sales,Cars,BEV,2020,Vehicles,15000.0
Japan,Historical,EV sales,Cars,BEV,2021,Vehicles,22000.0
Japan,Historical,EV sales,Trucks,BEV,2021,Vehicles,3.0
Japan,Historical,EV sales,Vans,BEV,2021,Vehicles,920.0
Japan,Historical,EV sales,Buses,BEV,2021,Vehicles,32.0
Japan,Historical,EV sales,Buses,BEV,2022,Vehicles,20.0
Japan,Historical,EV sales,Vans,BEV,2022,Vehicles,1600.0
Japan,Historical,EV sales,Trucks,BEV,2022,Vehicles,10.0
Japan,Historical,EV sales,Cars,BEV,2022,Vehicles,59000.0
Japan,Historical,EV sales,Cars,BEV,2023,Vehicles,88000.0
Japan,Historical,EV sales,Trucks,BEV,2023,Vehicles,50.0
Japan,Historical,EV sales,Vans,BEV,2023,Vehicles,2800.0
Japan,Historical,EV sales,Buses,BEV,2023,Vehicles,69.0
