region,category,parameter,mode,powertrain,year,unit,value
Sweden,Historical,EV sales,Cars,PHEV,2012,Vehicles,660.0
Sweden,Historical,EV sales,Cars,PHEV,2013,Vehicles,1100.0
Sweden,Historical,EV sales,Cars,PHEV,2014,Vehicles,3400.0
Sweden,Historical,EV sales,Cars,PHEV,2015,Vehicles,5700.0
Sweden,Historical,EV sales,Buses,PHEV,2015,Vehicles,5.0
Sweden,Historical,EV sales,Vans,PHEV,2015,Vehicles,7.0
Sweden,Historical,EV sales,Buses,PHEV,2016,Vehicles,17.0
Sweden,Historical,EV sales,Cars,PHEV,2016,Vehicles,10000.0
Sweden,Historical,EV sales,Cars,PHEV,2017,Vehicles,16000.0
Sweden,Historical,EV sales,Vans,PHEV,2018,Vehicles,9.0
Sweden,Historical,EV sales,Cars,PHEV,2018,Vehicles,22000.0
Sweden,Historical,EV sales,Cars,PHEV,2019,Vehicles,25000.0
Sweden,Historical,EV sales,Cars,PHEV,2020,Vehicles,66000.0
Sweden,Historical,EV sales,Cars,PHEV,2021,Vehicles,78000.0
Sweden,Historical,EV sales,Trucks,PHEV,2022,Vehicles,7.0
Sweden,Historical,EV sales,Cars,PHEV,2022,Vehicles,67000.0
Sweden,Historical,EV sales,Cars,PHEV,2023,Vehicles,61000.0
Sweden,Historical,EV sales,Vans,PHEV,2023,Vehicles,5.0
Sweden,Historical,EV sales,Cars,FCEV,2013,Vehicles,3.0
Sweden,Historical,EV sales,Cars,FCEV,2015,Vehicles,1.0
Sweden,Historical,EV sales,Cars,FCEV,2016,Vehicles,3.0
Sweden,Historical,EV sales,Cars,FCEV,2017,Vehicles,14.0
Sweden,Historical,EV sales,Cars,FCEV,2019,Vehicles,2.0
Sweden,Historical,EV sales,Cars,FCEV,2020,Vehicles,5.0
Sweden,Historical,EV sales,Cars,FCEV,2021,Vehicles,16.0
Sweden,Historical,EV sales,Buses,FCEV,2021,Vehicles,2.0
Sweden,Historical,EV sales,Cars,FCEV,2022,Vehicles,2.0
Sweden,Historical,EV sales,Cars,FCEV,2023,Vehicles,2.0
Sweden,Historical,EV sales,Buses,FCEV,2023,Vehicles,8.0
Sweden,Historical,EV sales,Cars,BEV,2010,Vehicles,4.0
Sweden,Historical,EV sales,Cars,BEV,2011,Vehicles,180.0
Sweden,Historical,EV sales,Vans,BEV,2011,Vehicles,9.0
Sweden,Historical,EV sales,Vans,BEV,2012,Vehicles,280.0
Sweden,Historical,EV sales,Cars,BEV,2012,Vehicles,270.0
Sweden,Historical,EV sales,Cars,BEV,2013,Vehicles,430.0
Sweden,Historical,EV sales,Vans,BEV,2013,Vehicles,210.0
Sweden,Historical,EV sales,Vans,BEV,2014,Vehicles,280.0
Sweden,Historical,EV sales,Cars,BEV,2014,Vehicles,1200.0
Sweden,Historical,EV sales,Buses,BEV,2015,Vehicles,9.0
Sweden,Historical,EV sales,Cars,BEV,2015,Vehicles,3000.0
Sweden,Historical,EV sales,Vans,BEV,2015,Vehicles,320.0
Sweden,Historical,EV sales,Vans,BEV,2016,Vehicles,45.0
Sweden,Historical,EV sales,Cars,BEV,2016,Vehicles,2900.0
Sweden,Historical,EV sales,Buses,BEV,2016,Vehicles,33.0
Sweden,Historical,EV sales,Buses,BEV,2017,Vehicles,12.0
Sweden,Historical,EV sales,Cars,BEV,2017,Vehicles,4400.0
Sweden,Historical,EV sales,Vans,BEV,2017,Vehicles,200.0
Sweden,Historical,EV sales,Vans,BEV,2018,Vehicles,760.0
Sweden,Historical,EV sales,Cars,BEV,2018,Vehicles,7100.0
Sweden,Historical,EV sales,Buses,BEV,2018,Vehicles,36.0
Sweden,Historical,EV sales,Trucks,BEV,2018,Vehicles,4.0
Sweden,Historical,EV sales,Trucks,BEV,2019,Vehicles,4.0
Sweden,Historical,EV sales,Buses,BEV,2019,Vehicles,98.0
Sweden,Historical,EV sales,Cars,BEV,2019,Vehicles,16000.0
Sweden,Historical,EV sales,Vans,BEV,2019,Vehicles,1400.0
Sweden,Historical,EV sales,Vans,BEV,2020,Vehicles,2100.0
Sweden,Historical,EV sales,Cars,BEV,2020,Vehicles,28000.0
Sweden,Historical,EV sales,Buses,BEV,2020,Vehicles,160.0
Sweden,Historical,EV sales,Trucks,BEV,2020,Vehicles,24.0
Sweden,Historical,EV sales,Trucks,BEV,2021,Vehicles,100.0
Sweden,Historical,EV sales,Buses,BEV,2021,Vehicles,180.0
Sweden,Historical,EV sales,Cars,BEV,2021,Vehicles,57000.0
Sweden,Historical,EV sales,Vans,BEV,2021,Vehicles,2600.0
Sweden,Historical,EV sales,Vans,BEV,2022,Vehicles,5000.0
Sweden,Historical,EV sales,Cars,BEV,2022,Vehicles,96000.0
Sweden,Historical,EV sales,Buses,BEV,2022,Vehicles,210.0
Sweden,Historical,EV sales,Trucks,BEV,2022,Vehicles,340.0
Sweden,Historical,EV sales,Trucks,BEV,2023,Vehicles,290.0
Sweden,Historical,EV sales,Buses,BEV,2023,Vehicles,310.0
Sweden,Historical,EV sales,Cars,BEV,2023,Vehicles,110000.0
Sweden,Historical,EV sales,Vans,BEV,2023,Vehicles,8700.0
