region,category,parameter,mode,powertrain,year,unit,value
Netherlands,Historical,EV stock share,Buses,EV,2010,percent,0.150000005960464
Netherlands,Historical,EV stock share,Vans,EV,2010,percent,0.009999999776483
Netherlands,Historical,EV stock share,Cars,EV,2010,percent,0.00359999993816
Netherlands,Historical,EV stock share,Trucks,EV,2010,percent,0.016000000759959
Netherlands,Historical,EV stock share,Trucks,EV,2011,percent,0.01799999922514
Netherlands,Historical,EV stock share,Cars,EV,2011,percent,0.014999999664724
Netherlands,Historical,EV stock share,Vans,EV,2011,percent,0.017000000923872
Netherlands,Historical,EV stock share,Buses,EV,2011,percent,0.219999998807907
Netherlands,Historical,EV stock share,Buses,EV,2012,percent,0.239999994635582
Netherlands,Historical,EV stock share,Vans,EV,2012,percent,0.054999999701977
Netherlands,Historical,EV stock share,Cars,EV,2012,percent,0.079000003635883
Netherlands,Historical,EV stock share,Trucks,EV,2012,percent,0.037000000476837
Netherlands,Historical,EV stock share,Trucks,EV,2013,percent,0.046000000089407
Netherlands,Historical,EV stock share,Cars,EV,2013,percent,0.360000014305115
Netherlands,Historical,EV stock share,Vans,EV,2013,percent,0.075000002980232
Netherlands,Historical,EV stock share,Buses,EV,2013,percent,0.430000007152557
Netherlands,Historical,EV stock share,Buses,EV,2014,percent,0.519999980926514
Netherlands,Historical,EV stock share,Vans,EV,2014,percent,0.140000000596046
Netherlands,Historical,EV stock share,Cars,EV,2014,percent,0.550000011920929
Netherlands,Historical,EV stock share,Trucks,EV,2014,percent,0.048000000417233
Netherlands,Historical,EV stock share,Trucks,EV,2015,percent,0.068000003695488
Netherlands,Historical,EV stock share,Cars,EV,2015,percent,1.10000002384186
Netherlands,Historical,EV stock share,Vans,EV,2015,percent,0.159999996423721
Netherlands,Historical,EV stock share,Buses,EV,2015,percent,1.10000002384186
Netherlands,Historical,EV stock share,Buses,EV,2016,percent,1.79999995231628
Netherlands,Historical,EV stock share,Vans,EV,2016,percent,0.170000001788139
Netherlands,Historical,EV stock share,Cars,EV,2016,percent,1.39999997615814
Netherlands,Historical,EV stock share,Trucks,EV,2016,percent,0.078000001609325
Netherlands,Historical,EV stock share,Trucks,EV,2017,percent,0.086999997496605
Netherlands,Historical,EV stock share,Cars,EV,2017,percent,1.39999997615814
Netherlands,Historical,EV stock share,Vans,EV,2017,percent,0.230000004172325
Netherlands,Historical,EV stock share,Buses,EV,2017,percent,2.70000004768372
Netherlands,Historical,EV stock share,Buses,EV,2018,percent,3.79999995231628
Netherlands,Historical,EV stock share,Vans,EV,2018,percent,0.319999992847443
Netherlands,Historical,EV stock share,Cars,EV,2018,percent,1.60000002384186
Netherlands,Historical,EV stock share,Trucks,EV,2018,percent,0.100000001490116
Netherlands,Historical,EV stock share,Trucks,EV,2019,percent,0.159999996423721
Netherlands,Historical,EV stock share,Cars,EV,2019,percent,2.29999995231628
Netherlands,Historical,EV stock share,Vans,EV,2019,percent,0.439999997615814
Netherlands,Historical,EV stock share,Buses,EV,2019,percent,8.39999961853027
Netherlands,Historical,EV stock share,Buses,EV,2020,percent,13.0
Netherlands,Historical,EV stock share,Vans,EV,2020,percent,0.589999973773956
Netherlands,Historical,EV stock share,Cars,EV,2020,percent,3.09999990463257
Netherlands,Historical,EV stock share,Trucks,EV,2020,percent,0.150000005960464
Netherlands,Historical,EV stock share,Trucks,EV,2021,percent,0.189999997615814
Netherlands,Historical,EV stock share,Cars,EV,2021,percent,4.30000019073486
Netherlands,Historical,EV stock share,Vans,EV,2021,percent,0.870000004768372
Netherlands,Historical,EV stock share,Buses,EV,2021,percent,15.0
Netherlands,Historical,EV stock share,Buses,EV,2022,percent,16.0
Netherlands,Historical,EV stock share,Vans,EV,2022,percent,1.29999995231628
Netherlands,Historical,EV stock share,Cars,EV,2022,percent,6.0
Netherlands,Historical,EV stock share,Trucks,EV,2022,percent,0.25
Netherlands,Historical,EV stock share,Trucks,EV,2023,percent,0.910000026226044
Netherlands,Historical,EV stock share,Cars,EV,2023,percent,8.30000019073486
Netherlands,Historical,EV stock share,Vans,EV,2023,percent,2.20000004768372
Netherlands,Historical,EV stock share,Buses,EV,2023,percent,18.0
