region,category,parameter,mode,powertrain,year,unit,value
Spain,Historical,EV sales,Cars,PHEV,2011,Vehicles,8.0
Spain,Historical,EV sales,Cars,PHEV,2012,Vehicles,110.0
Spain,Historical,EV sales,Cars,PHEV,2013,Vehicles,72.0
Spain,Historical,EV sales,Cars,PHEV,2014,Vehicles,330.0
Spain,Historical,EV sales,Cars,PHEV,2015,Vehicles,780.0
Spain,Historical,EV sales,Cars,PHEV,2016,Vehicles,1500.0
Spain,Historical,EV sales,Buses,PHEV,2017,Vehicles,5.0
Spain,Historical,EV sales,Cars,PHEV,2017,Vehicles,3500.0
Spain,Historical,EV sales,Cars,PHEV,2018,Vehicles,5600.0
Spain,Historical,EV sales,Buses,PHEV,2018,Vehicles,8.0
Spain,Historical,EV sales,Buses,PHEV,2019,Vehicles,6.0
Spain,Historical,EV sales,Cars,PHEV,2019,Vehicles,7400.0
Spain,Historical,EV sales,Cars,PHEV,2020,Vehicles,24000.0
Spain,Historical,EV sales,Buses,PHEV,2020,Vehicles,7.0
Spain,Historical,EV sales,Vans,PHEV,2021,Vehicles,46.0
Spain,Historical,EV sales,Buses,PHEV,2021,Vehicles,16.0
Spain,Historical,EV sales,Cars,PHEV,2021,Vehicles,43000.0
Spain,Historical,EV sales,Cars,PHEV,2022,Vehicles,49000.0
Spain,Historical,EV sales,Buses,PHEV,2022,Vehicles,1.0
Spain,Historical,EV sales,Vans,PHEV,2022,Vehicles,94.0
Spain,Historical,EV sales,Vans,PHEV,2023,Vehicles,5.0
Spain,Historical,EV sales,Buses,PHEV,2023,Vehicles,29.0
Spain,Historical,EV sales,Cars,PHEV,2023,Vehicles,65000.0
Spain,Historical,EV sales,Cars,FCEV,2018,Vehicles,1.0
Spain,Historical,EV sales,Cars,FCEV,2019,Vehicles,1.0
Spain,Historical,EV sales,Cars,FCEV,2020,Vehicles,7.0
Spain,Historical,EV sales,Cars,FCEV,2021,Vehicles,10.0
Spain,Historical,EV sales,Cars,FCEV,2022,Vehicles,4.0
Spain,Historical,EV sales,Buses,FCEV,2022,Vehicles,6.0
Spain,Historical,EV sales,Buses,FCEV,2023,Vehicles,13.0
Spain,Historical,EV sales,Cars,FCEV,2023,Vehicles,4.0
Spain,Historical,EV sales,Cars,BEV,2010,Vehicles,76.0
Spain,Historical,EV sales,Cars,BEV,2011,Vehicles,390.0
Spain,Historical,EV sales,Vans,BEV,2011,Vehicles,24.0
Spain,Historical,EV sales,Vans,BEV,2012,Vehicles,200.0
Spain,Historical,EV sales,Cars,BEV,2012,Vehicles,430.0
Spain,Historical,EV sales,Cars,BEV,2013,Vehicles,810.0
Spain,Historical,EV sales,Vans,BEV,2013,Vehicles,72.0
Spain,Historical,EV sales,Vans,BEV,2014,Vehicles,360.0
Spain,Historical,EV sales,Cars,BEV,2014,Vehicles,1400.0
Spain,Historical,EV sales,Buses,BEV,2014,Vehicles,11.0
Spain,Historical,EV sales,Buses,BEV,2015,Vehicles,2.0
Spain,Historical,EV sales,Cars,BEV,2015,Vehicles,1300.0
Spain,Historical,EV sales,Vans,BEV,2015,Vehicles,540.0
Spain,Historical,EV sales,Trucks,BEV,2016,Vehicles,13.0
Spain,Historical,EV sales,Vans,BEV,2016,Vehicles,720.0
Spain,Historical,EV sales,Cars,BEV,2016,Vehicles,2000.0
Spain,Historical,EV sales,Buses,BEV,2016,Vehicles,27.0
Spain,Historical,EV sales,Buses,BEV,2017,Vehicles,8.0
Spain,Historical,EV sales,Cars,BEV,2017,Vehicles,3900.0
Spain,Historical,EV sales,Vans,BEV,2017,Vehicles,840.0
Spain,Historical,EV sales,Trucks,BEV,2017,Vehicles,2.0
Spain,Historical,EV sales,Vans,BEV,2018,Vehicles,1800.0
Spain,Historical,EV sales,Cars,BEV,2018,Vehicles,6000.0
Spain,Historical,EV sales,Buses,BEV,2018,Vehicles,30.0
Spain,Historical,EV sales,Cars,BEV,2019,Vehicles,10000.0
Spain,Historical,EV sales,Vans,BEV,2019,Vehicles,1900.0
Spain,Historical,EV sales,Buses,BEV,2019,Vehicles,100.0
Spain,Historical,EV sales,Trucks,BEV,2019,Vehicles,7.0
Spain,Historical,EV sales,Trucks,BEV,2020,Vehicles,8.0
Spain,Historical,EV sales,Buses,BEV,2020,Vehicles,51.0
Spain,Historical,EV sales,Vans,BEV,2020,Vehicles,2000.0
Spain,Historical,EV sales,Cars,BEV,2020,Vehicles,18000.0
Spain,Historical,EV sales,Cars,BEV,2021,Vehicles,24000.0
Spain,Historical,EV sales,Vans,BEV,2021,Vehicles,2300.0
Spain,Historical,EV sales,Buses,BEV,2021,Vehicles,150.0
Spain,Historical,EV sales,Trucks,BEV,2021,Vehicles,23.0
Spain,Historical,EV sales,Trucks,BEV,2022,Vehicles,210.0
Spain,Historical,EV sales,Buses,BEV,2022,Vehicles,250.0
Spain,Historical,EV sales,Vans,BEV,2022,Vehicles,3500.0
Spain,Historical,EV sales,Cars,BEV,2022,Vehicles,33000.0
Spain,Historical,EV sales,Cars,BEV,2023,Vehicles,57000.0
Spain,Historical,EV sales,Vans,BEV,2023,Vehicles,10000.0
Spain,Historical,EV sales,Buses,BEV,2023,Vehicles,520.0
Spain,Historical,EV sales,Trucks,BEV,2023,Vehicles,440.0
