region,category,parameter,mode,powertrain,year,unit,value
Rest of the world,Historical,EV stock share,Buses,EV,2010,percent,0.002300000051036
Rest of the world,Historical,EV stock share,Buses,EV,2011,percent,0.001500000013039
Rest of the world,Historical,EV stock share,Cars,EV,2011,percent,0.000190000006114
Rest of the world,Historical,EV stock share,Cars,EV,2012,percent,0.000429999985499
Rest of the world,Historical,EV stock share,Buses,EV,2012,percent,0.001399999950081
Rest of the world,Historical,EV stock share,Cars,EV,2013,percent,0.00054999999702
Rest of the world,Historical,EV stock share,Cars,EV,2014,percent,0.00089999998454
Rest of the world,Historical,EV stock share,Cars,EV,2015,percent,0.00400000018999
Rest of the world,Historical,EV stock share,Cars,EV,2016,percent,0.004800000227988
Rest of the world,Historical,EV stock share,Cars,EV,2017,percent,0.006000000052154
Rest of the world,Historical,EV stock share,Buses,EV,2017,percent,0.000440000003437
Rest of the world,Historical,EV stock share,Buses,EV,2018,percent,0.002000000094995
Rest of the world,Historical,EV stock share,Cars,EV,2018,percent,0.008200000040233
Rest of the world,Historical,EV stock share,Cars,EV,2019,percent,0.013000000268221
Rest of the world,Historical,EV stock share,Buses,EV,2019,percent,0.00400000018999
Rest of the world,Projection-APS,EV stock share,Buses,EV,2020,percent,0.032999999821186
Rest of the world,Projection-APS,EV stock share,Trucks,EV,2020,percent,0.000750000006519
Rest of the world,Projection-APS,EV stock share,Vans,EV,2020,percent,0.037999998778105
Rest of the world,Projection-APS,EV stock share,Cars,EV,2020,percent,0.189999997615814
Rest of the world,Projection-STEPS,EV stock share,Buses,EV,2020,percent,0.032999999821186
Rest of the world,Projection-STEPS,EV stock share,Vans,EV,2020,percent,0.037999998778105
Rest of the world,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.189999997615814
Rest of the world,Projection-STEPS,EV stock share,Trucks,EV,2020,percent,0.000750000006519
Rest of the world,Historical,EV stock share,Buses,EV,2020,percent,0.007000000216067
Rest of the world,Historical,EV stock share,Cars,EV,2020,percent,0.020999999716878
Rest of the world,Historical,EV stock share,Cars,EV,2021,percent,0.035999998450279
Rest of the world,Historical,EV stock share,Buses,EV,2021,percent,0.010999999940395
Rest of the world,Projection-STEPS,EV stock share,Trucks,EV,2021,percent,0.002000000094995
Rest of the world,Projection-STEPS,EV stock share,Cars,EV,2021,percent,0.259999990463257
Rest of the world,Projection-STEPS,EV stock share,Vans,EV,2021,percent,0.079000003635883
Rest of the world,Projection-STEPS,EV stock share,Buses,EV,2021,percent,0.052000001072884
Rest of the world,Projection-APS,EV stock share,Cars,EV,2021,percent,0.259999990463257
Rest of the world,Projection-APS,EV stock share,Vans,EV,2021,percent,0.079000003635883
Rest of the world,Projection-APS,EV stock share,Trucks,EV,2021,percent,0.002000000094995
