region,category,parameter,mode,powertrain,year,unit,value
Korea,Historical,EV sales share,Buses,EV,2010,percent,0.007000000216067
Korea,Historical,EV sales share,Cars,EV,2010,percent,0.004999999888241
Korea,Historical,EV sales share,Cars,EV,2011,percent,0.023000000044704
Korea,Historical,EV sales share,Buses,EV,2011,percent,0.005400000140071
Korea,Historical,EV sales share,Buses,EV,2012,percent,0.00289999996312
Korea,Historical,EV sales share,Cars,EV,2012,percent,0.041000001132488
Korea,Historical,EV sales share,Cars,EV,2013,percent,0.0489999987185
Korea,Historical,EV sales share,Buses,EV,2013,percent,0.008100000210106
Korea,Historical,EV sales share,Buses,EV,2014,percent,0.003899999894202
Korea,Historical,EV sales share,Cars,EV,2014,percent,0.093000002205372
Korea,Historical,EV sales share,Cars,EV,2015,percent,0.219999998807907
Korea,Historical,EV sales share,Buses,EV,2015,percent,0.002700000070035
Korea,Historical,EV sales share,Vans,EV,2015,percent,0.010999999940395
Korea,Historical,EV sales share,Vans,EV,2016,percent,0.009399999864399
Korea,Historical,EV sales share,Buses,EV,2016,percent,0.041999999433756
Korea,Historical,EV sales share,Cars,EV,2016,percent,0.330000013113022
Korea,Historical,EV sales share,Cars,EV,2017,percent,0.949999988079071
Korea,Historical,EV sales share,Vans,EV,2018,percent,0.140000000596046
Korea,Historical,EV sales share,Buses,EV,2018,percent,0.035000000149012
Korea,Historical,EV sales share,Cars,EV,2018,percent,3.79999995231628
Korea,Historical,EV sales share,Cars,EV,2019,percent,2.29999995231628
Korea,Historical,EV sales share,Buses,EV,2019,percent,0.086000002920628
Korea,Historical,EV sales share,Vans,EV,2019,percent,0.730000019073486
Korea,Historical,EV sales share,Vans,EV,2020,percent,6.0
Korea,Historical,EV sales share,Buses,EV,2020,percent,0.479999989271164
Korea,Historical,EV sales share,Cars,EV,2020,percent,2.40000009536743
Korea,Historical,EV sales share,Cars,EV,2021,percent,5.80000019073486
Korea,Historical,EV sales share,Buses,EV,2021,percent,0.209999993443489
Korea,Historical,EV sales share,Vans,EV,2021,percent,12.0
Korea,Historical,EV sales share,Vans,EV,2022,percent,15.0
Korea,Historical,EV sales share,Buses,EV,2022,percent,0.25
Korea,Historical,EV sales share,Cars,EV,2022,percent,8.5
Korea,Historical,EV sales share,Cars,EV,2023,percent,7.90000009536743
Korea,Historical,EV sales share,Buses,EV,2023,percent,0.97000002861023
Korea,Historical,EV sales share,Vans,EV,2023,percent,18.0
