region,category,parameter,mode,powertrain,year,unit,value
Portugal,Historical,EV stock share,Cars,EV,2010,percent,0.014999999664724
Portugal,Historical,EV stock share,Cars,EV,2011,percent,0.018999999389052
Portugal,Historical,EV stock share,Cars,EV,2012,percent,0.023000000044704
Portugal,Historical,EV stock share,Cars,EV,2013,percent,0.027000000700355
Portugal,Historical,EV stock share,Cars,EV,2014,percent,0.028999999165535
Portugal,Historical,EV stock share,Cars,EV,2015,percent,0.052999999374151
Portugal,Historical,EV stock share,Cars,EV,2016,percent,0.093000002205372
Portugal,Historical,EV stock share,Cars,EV,2017,percent,0.189999997615814
Portugal,Historical,EV stock share,Buses,EV,2017,percent,0.159999996423721
Portugal,Historical,EV stock share,Vans,EV,2017,percent,0.006899999920279
Portugal,Historical,EV stock share,Vans,EV,2018,percent,0.028999999165535
Portugal,Historical,EV stock share,Buses,EV,2018,percent,0.230000004172325
Portugal,Historical,EV stock share,Cars,EV,2018,percent,0.360000014305115
Portugal,Historical,EV stock share,Cars,EV,2019,percent,0.620000004768372
Portugal,Historical,EV stock share,Buses,EV,2019,percent,0.409999996423721
Portugal,Historical,EV stock share,Vans,EV,2019,percent,0.048000000417233
Portugal,Historical,EV stock share,Vans,EV,2020,percent,0.170000001788139
Portugal,Historical,EV stock share,Buses,EV,2020,percent,0.490000009536743
Portugal,Historical,EV stock share,Cars,EV,2020,percent,1.10000002384186
Portugal,Historical,EV stock share,Cars,EV,2021,percent,1.70000004768372
Portugal,Historical,EV stock share,Buses,EV,2021,percent,0.810000002384186
Portugal,Historical,EV stock share,Vans,EV,2021,percent,0.200000002980232
Portugal,Historical,EV stock share,Vans,EV,2022,percent,0.300000011920929
Portugal,Historical,EV stock share,Buses,EV,2022,percent,1.70000004768372
Portugal,Historical,EV stock share,Cars,EV,2022,percent,2.5
Portugal,Historical,EV stock share,Cars,EV,2023,percent,3.90000009536743
Portugal,Historical,EV stock share,Buses,EV,2023,percent,3.59999990463257
Portugal,Historical,EV stock share,Vans,EV,2023,percent,0.469999998807907
