region,category,parameter,mode,powertrain,year,unit,value
Rest of the world,Historical,EV stock,Cars,PHEV,2012,Vehicles,68.0
Rest of the world,Historical,EV stock,Cars,PHEV,2013,Vehicles,88.0
Rest of the world,Historical,EV stock,Cars,PHEV,2014,Vehicles,490.0
Rest of the world,Historical,EV stock,Cars,PHEV,2015,Vehicles,1400.0
Rest of the world,Historical,EV stock,Cars,PHEV,2016,Vehicles,2100.0
Rest of the world,Historical,EV stock,Cars,PHEV,2017,Vehicles,2600.0
Rest of the world,Historical,EV stock,Buses,PHEV,2018,Vehicles,40.0
Rest of the world,Historical,EV stock,Cars,PHEV,2018,Vehicles,4900.0
Rest of the world,Historical,EV stock,Cars,PHEV,2019,Vehicles,7600.0
Rest of the world,Historical,EV stock,Buses,PHEV,2019,Vehicles,39.0
Rest of the world,Historical,EV stock,Buses,PHEV,2020,Vehicles,42.0
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,330000.0
Rest of the world,Projection-STEPS,EV stock,Buses,PHEV,2020,Vehicles,44.0
Rest of the world,Projection-STEPS,EV stock,Vans,PHEV,2020,Vehicles,62.0
Rest of the world,Projection-APS,EV stock,Buses,PHEV,2020,Vehicles,44.0
Rest of the world,Projection-APS,EV stock,Vans,PHEV,2020,Vehicles,62.0
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,330000.0
Rest of the world,Historical,EV stock,Cars,PHEV,2020,Vehicles,11000.0
Rest of the world,Historical,EV stock,Cars,PHEV,2021,Vehicles,16000.0
Rest of the world,Projection-APS,EV stock,Trucks,PHEV,2021,Vehicles,13.0
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,440000.0
Rest of the world,Projection-APS,EV stock,Vans,PHEV,2021,Vehicles,86.0
Rest of the world,Projection-APS,EV stock,Buses,PHEV,2021,Vehicles,46.0
Rest of the world,Projection-STEPS,EV stock,Vans,PHEV,2021,Vehicles,86.0
Rest of the world,Projection-STEPS,EV stock,Buses,PHEV,2021,Vehicles,46.0
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,440000.0
Rest of the world,Projection-STEPS,EV stock,Trucks,PHEV,2021,Vehicles,13.0
Rest of the world,Historical,EV stock,Buses,PHEV,2021,Vehicles,43.0
Rest of the world,Historical,EV stock,Buses,PHEV,2022,Vehicles,47.0
Rest of the world,Projection-STEPS,EV stock,Trucks,PHEV,2022,Vehicles,13.0
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,550000.0
Rest of the world,Projection-STEPS,EV stock,Buses,PHEV,2022,Vehicles,50.0
Rest of the world,Projection-STEPS,EV stock,Vans,PHEV,2022,Vehicles,140.0
Rest of the world,Projection-APS,EV stock,Buses,PHEV,2022,Vehicles,50.0
Rest of the world,Projection-APS,EV stock,Vans,PHEV,2022,Vehicles,140.0
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,550000.0
Rest of the world,Projection-APS,EV stock,Trucks,PHEV,2022,Vehicles,13.0
Rest of the world,Historical,EV stock,Cars,PHEV,2022,Vehicles,24000.0
Rest of the world,Historical,EV stock,Cars,PHEV,2023,Vehicles,49000.0
Rest of the world,Projection-APS,EV stock,Trucks,PHEV,2023,Vehicles,13.0
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,740000.0
Rest of the world,Projection-APS,EV stock,Vans,PHEV,2023,Vehicles,150.0
Rest of the world,Projection-APS,EV stock,Buses,PHEV,2023,Vehicles,49.0
Rest of the world,Projection-STEPS,EV stock,Vans,PHEV,2023,Vehicles,150.0
Rest of the world,Projection-STEPS,EV stock,Buses,PHEV,2023,Vehicles,49.0
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2023,Vehicles,740000.0
Rest of the world,Projection-STEPS,EV stock,Trucks,PHEV,2023,Vehicles,13.0
Rest of the world,Historical,EV stock,Buses,PHEV,2023,Vehicles,46.0
Rest of the world,Projection-APS,EV stock,Buses,PHEV,2025,Vehicles,14000.0
Rest of the world,Projection-APS,EV stock,Trucks,PHEV,2025,Vehicles,5500.0
Rest of the world,Projection-APS,EV stock,Vans,PHEV,2025,Vehicles,64000.0
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,1500000.0
Rest of the world,Projection-STEPS,EV stock,Buses,PHEV,2025,Vehicles,15000.0
Rest of the world,Projection-STEPS,EV stock,Trucks,PHEV,2025,Vehicles,88.0
Rest of the world,Projection-STEPS,EV stock,Vans,PHEV,2025,Vehicles,27000.0
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,1400000.0
Rest of the world,Projection-STEPS,EV stock,Buses,PHEV,2030,Vehicles,110000.0
Rest of the world,Projection-STEPS,EV stock,Trucks,PHEV,2030,Vehicles,38000.0
Rest of the world,Projection-STEPS,EV stock,Vans,PHEV,2030,Vehicles,100000.0
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,4100000.0
Rest of the world,Projection-APS,EV stock,Buses,PHEV,2030,Vehicles,89000.0
Rest of the world,Projection-APS,EV stock,Trucks,PHEV,2030,Vehicles,65000.0
Rest of the world,Projection-APS,EV stock,Vans,PHEV,2030,Vehicles,540000.0
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2030,Vehicles,6100000.0
Rest of the world,Projection-APS,EV stock,Buses,PHEV,2035,Vehicles,250000.0
Rest of the world,Projection-APS,EV stock,Trucks,PHEV,2035,Vehicles,150000.0
Rest of the world,Projection-APS,EV stock,Vans,PHEV,2035,Vehicles,1300000.0
Rest of the world,Projection-APS,EV stock,Cars,PHEV,2035,Vehicles,15000000.0
Rest of the world,Projection-STEPS,EV stock,Buses,PHEV,2035,Vehicles,360000.0
Rest of the world,Projection-STEPS,EV stock,Trucks,PHEV,2035,Vehicles,190000.0
Rest of the world,Projection-STEPS,EV stock,Vans,PHEV,2035,Vehicles,260000.0
Rest of the world,Projection-STEPS,EV stock,Cars,PHEV,2035,Vehicles,8300000.0
Rest of the world,Projection-APS,EV stock,Buses,FCEV,2020,Vehicles,520.0
Rest of the world,Projection-STEPS,EV stock,Cars,FCEV,2020,Vehicles,14000.0
Rest of the world,Projection-STEPS,EV stock,Buses,FCEV,2020,Vehicles,520.0
Rest of the world,Projection-STEPS,EV stock,Vans,FCEV,2020,Vehicles,16.0
Rest of the world,Projection-APS,EV stock,Vans,FCEV,2020,Vehicles,16.0
Rest of the world,Projection-APS,EV stock,Cars,FCEV,2020,Vehicles,14000.0
Rest of the world,Historical,EV stock,Cars,FCEV,2020,Vehicles,4.0
Rest of the world,Historical,EV stock,Cars,FCEV,2021,Vehicles,4.0
Rest of the world,Projection-APS,EV stock,Trucks,FCEV,2021,Vehicles,5.0
