region,category,parameter,mode,powertrain,year,unit,value
New Zealand,Historical,EV stock share,Buses,EV,2010,percent,0.28999999165535
New Zealand,Historical,EV stock share,Cars,EV,2010,percent,0.000479999987874
New Zealand,Historical,EV stock share,Cars,EV,2011,percent,0.000989999971353
New Zealand,Historical,EV stock share,Buses,EV,2011,percent,0.300000011920929
New Zealand,Historical,EV stock share,Buses,EV,2012,percent,0.300000011920929
New Zealand,Historical,EV stock share,Cars,EV,2012,percent,0.001900000032038
New Zealand,Historical,EV stock share,Cars,EV,2013,percent,0.003100000089034
New Zealand,Historical,EV stock share,Buses,EV,2013,percent,0.300000011920929
New Zealand,Historical,EV stock share,Buses,EV,2014,percent,0.28999999165535
New Zealand,Historical,EV stock share,Cars,EV,2014,percent,0.014000000432134
New Zealand,Historical,EV stock share,Cars,EV,2015,percent,0.029999999329448
New Zealand,Historical,EV stock share,Buses,EV,2015,percent,0.280000001192093
New Zealand,Historical,EV stock share,Buses,EV,2016,percent,0.270000010728836
New Zealand,Historical,EV stock share,Cars,EV,2016,percent,0.079999998211861
New Zealand,Historical,EV stock share,Cars,EV,2017,percent,0.189999997615814
New Zealand,Historical,EV stock share,Buses,EV,2017,percent,0.25
New Zealand,Historical,EV stock share,Buses,EV,2018,percent,0.280000001192093
New Zealand,Historical,EV stock share,Cars,EV,2018,percent,0.370000004768372
New Zealand,Historical,EV stock share,Vans,EV,2019,percent,0.129999995231628
New Zealand,Historical,EV stock share,Buses,EV,2019,percent,0.349999994039536
New Zealand,Historical,EV stock share,Cars,EV,2019,percent,0.569999992847443
New Zealand,Historical,EV stock share,Cars,EV,2020,percent,0.72000002861023
New Zealand,Historical,EV stock share,Buses,EV,2020,percent,0.389999985694885
New Zealand,Historical,EV stock share,Vans,EV,2020,percent,0.129999995231628
New Zealand,Historical,EV stock share,Vans,EV,2021,percent,0.150000005960464
New Zealand,Historical,EV stock share,Buses,EV,2021,percent,0.540000021457672
New Zealand,Historical,EV stock share,Cars,EV,2021,percent,1.10000002384186
New Zealand,Historical,EV stock share,Cars,EV,2022,percent,1.89999997615814
New Zealand,Historical,EV stock share,Buses,EV,2022,percent,0.800000011920929
New Zealand,Historical,EV stock share,Vans,EV,2022,percent,0.209999993443489
New Zealand,Historical,EV stock share,Vans,EV,2023,percent,0.259999990463257
New Zealand,Historical,EV stock share,Buses,EV,2023,percent,1.0
New Zealand,Historical,EV stock share,Cars,EV,2023,percent,2.79999995231628
