region,category,parameter,mode,powertrain,year,unit,value
Finland,Historical,EV stock share,Cars,EV,2011,percent,0.002000000094995
Finland,Historical,EV stock share,Cars,EV,2012,percent,0.008600000292063
Finland,Historical,EV stock share,Cars,EV,2013,percent,0.017000000923872
Finland,Historical,EV stock share,Cars,EV,2014,percent,0.034000001847744
Finland,Historical,EV stock share,Cars,EV,2015,percent,0.05799999833107
Finland,Historical,EV stock share,Cars,EV,2016,percent,0.119999997317791
Finland,Historical,EV stock share,Buses,EV,2016,percent,0.239999994635582
Finland,Historical,EV stock share,Buses,EV,2017,percent,0.409999996423721
Finland,Historical,EV stock share,Cars,EV,2017,percent,0.259999990463257
Finland,Historical,EV stock share,Vans,EV,2017,percent,0.06700000166893
Finland,Historical,EV stock share,Vans,EV,2018,percent,0.081000000238419
Finland,Historical,EV stock share,Cars,EV,2018,percent,0.560000002384186
Finland,Historical,EV stock share,Buses,EV,2018,percent,0.379999995231628
Finland,Historical,EV stock share,Buses,EV,2019,percent,1.10000002384186
Finland,Historical,EV stock share,Vans,EV,2019,percent,0.109999999403954
Finland,Historical,EV stock share,Cars,EV,2019,percent,1.10000002384186
Finland,Historical,EV stock share,Trucks,EV,2019,percent,0.002300000051036
Finland,Historical,EV stock share,Trucks,EV,2020,percent,0.008100000210106
Finland,Historical,EV stock share,Cars,EV,2020,percent,2.0
Finland,Historical,EV stock share,Vans,EV,2020,percent,0.170000001788139
Finland,Historical,EV stock share,Buses,EV,2020,percent,0.779999971389771
Finland,Historical,EV stock share,Buses,EV,2021,percent,2.40000009536743
Finland,Historical,EV stock share,Vans,EV,2021,percent,0.300000011920929
Finland,Historical,EV stock share,Cars,EV,2021,percent,3.59999990463257
Finland,Historical,EV stock share,Trucks,EV,2021,percent,0.009999999776483
Finland,Historical,EV stock share,Trucks,EV,2022,percent,0.028999999165535
Finland,Historical,EV stock share,Cars,EV,2022,percent,5.40000009536743
Finland,Historical,EV stock share,Vans,EV,2022,percent,0.569999992847443
Finland,Historical,EV stock share,Buses,EV,2022,percent,4.90000009536743
Finland,Historical,EV stock share,Buses,EV,2023,percent,5.80000019073486
Finland,Historical,EV stock share,Vans,EV,2023,percent,1.10000002384186
Finland,Historical,EV stock share,Cars,EV,2023,percent,8.10000038146973
Finland,Historical,EV stock share,Trucks,EV,2023,percent,0.119999997317791
