region,category,parameter,mode,powertrain,year,unit,value
Spain,Historical,EV stock share,Cars,EV,2010,percent,0.000339999998687
Spain,Historical,EV stock share,Cars,EV,2011,percent,0.002099999925122
Spain,Historical,EV stock share,Cars,EV,2012,percent,0.004499999806285
Spain,Historical,EV stock share,Cars,EV,2013,percent,0.008600000292063
Spain,Historical,EV stock share,Cars,EV,2014,percent,0.016000000759959
Spain,Historical,EV stock share,Cars,EV,2015,percent,0.026000000536442
Spain,Historical,EV stock share,Vans,EV,2015,percent,0.024000000208616
Spain,Historical,EV stock share,Vans,EV,2016,percent,0.061000000685454
Spain,Historical,EV stock share,Cars,EV,2016,percent,0.03999999910593
Spain,Historical,EV stock share,Buses,EV,2017,percent,0.230000004172325
Spain,Historical,EV stock share,Cars,EV,2017,percent,0.071000002324581
Spain,Historical,EV stock share,Vans,EV,2017,percent,0.083999998867512
Spain,Historical,EV stock share,Vans,EV,2018,percent,0.129999995231628
Spain,Historical,EV stock share,Cars,EV,2018,percent,0.119999997317791
Spain,Historical,EV stock share,Buses,EV,2018,percent,0.28999999165535
Spain,Historical,EV stock share,Buses,EV,2019,percent,0.46000000834465
Spain,Historical,EV stock share,Cars,EV,2019,percent,0.189999997615814
Spain,Historical,EV stock share,Vans,EV,2019,percent,0.170000001788139
Spain,Historical,EV stock share,Trucks,EV,2019,percent,0.000850000011269
Spain,Historical,EV stock share,Trucks,EV,2020,percent,0.002199999988079
Spain,Historical,EV stock share,Vans,EV,2020,percent,0.209999993443489
Spain,Historical,EV stock share,Cars,EV,2020,percent,0.360000014305115
Spain,Historical,EV stock share,Buses,EV,2020,percent,0.490000009536743
Spain,Historical,EV stock share,Buses,EV,2021,percent,0.730000019073486
Spain,Historical,EV stock share,Cars,EV,2021,percent,0.620000004768372
Spain,Historical,EV stock share,Vans,EV,2021,percent,0.270000010728836
Spain,Historical,EV stock share,Trucks,EV,2021,percent,0.005100000184029
Spain,Historical,EV stock share,Trucks,EV,2022,percent,0.035999998450279
Spain,Historical,EV stock share,Vans,EV,2022,percent,0.370000004768372
Spain,Historical,EV stock share,Cars,EV,2022,percent,0.939999997615814
Spain,Historical,EV stock share,Buses,EV,2022,percent,1.10000002384186
Spain,Historical,EV stock share,Buses,EV,2023,percent,1.79999995231628
Spain,Historical,EV stock share,Cars,EV,2023,percent,1.5
Spain,Historical,EV stock share,Vans,EV,2023,percent,0.680000007152557
Spain,Historical,EV stock share,Trucks,EV,2023,percent,0.129999995231628
