region,category,parameter,mode,powertrain,year,unit,value
USA,Historical,EV sales,Cars,PHEV,2011,Vehicles,8000.0
USA,Historical,EV sales,Cars,PHEV,2012,Vehicles,39000.0
USA,Historical,EV sales,Cars,PHEV,2013,Vehicles,49000.0
USA,Historical,EV sales,Cars,PHEV,2014,Vehicles,55000.0
USA,Historical,EV sales,Buses,PHEV,2015,Vehicles,550.0
USA,Historical,EV sales,Cars,PHEV,2015,Vehicles,43000.0
USA,Historical,EV sales,Cars,PHEV,2016,Vehicles,73000.0
USA,Historical,EV sales,Cars,PHEV,2017,Vehicles,94000.0
USA,Historical,EV sales,Cars,PHEV,2018,Vehicles,120000.0
USA,Historical,EV sales,Cars,PHEV,2019,Vehicles,85000.0
USA,Historical,EV sales,Cars,PHEV,2020,Vehicles,64000.0
USA,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,64000.0
USA,Projection-APS,EV sales,Cars,PHEV,2020,Vehicles,64000.0
USA,Projection-APS,EV sales,Cars,PHEV,2021,Vehicles,160000.0
USA,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,160000.0
USA,Historical,EV sales,Cars,PHEV,2021,Vehicles,160000.0
USA,Historical,EV sales,Cars,PHEV,2022,Vehicles,190000.0
USA,Projection-STEPS,EV sales,Cars,PHEV,2022,Vehicles,190000.0
USA,Projection-APS,EV sales,Cars,PHEV,2022,Vehicles,190000.0
USA,Projection-APS,EV sales,Cars,PHEV,2023,Vehicles,290000.0
USA,Projection-STEPS,EV sales,Cars,PHEV,2023,Vehicles,290000.0
USA,Historical,EV sales,Cars,PHEV,2023,Vehicles,290000.0
USA,Projection-APS,EV sales,Buses,PHEV,2025,Vehicles,2100.0
USA,Projection-APS,EV sales,Trucks,PHEV,2025,Vehicles,8100.0
USA,Projection-APS,EV sales,Vans,PHEV,2025,Vehicles,11000.0
USA,Projection-APS,EV sales,Cars,PHEV,2025,Vehicles,470000.0
USA,Projection-STEPS,EV sales,Buses,PHEV,2025,Vehicles,2200.0
USA,Projection-STEPS,EV sales,Trucks,PHEV,2025,Vehicles,240.0
USA,Projection-STEPS,EV sales,Vans,PHEV,2025,Vehicles,4300.0
USA,Projection-STEPS,EV sales,Cars,PHEV,2025,Vehicles,560000.0
USA,Projection-STEPS,EV sales,Buses,PHEV,2030,Vehicles,5000.0
USA,Projection-STEPS,EV sales,Trucks,PHEV,2030,Vehicles,6700.0
USA,Projection-STEPS,EV sales,Vans,PHEV,2030,Vehicles,17000.0
USA,Projection-APS,EV sales,Buses,PHEV,2030,Vehicles,5900.0
USA,Projection-APS,EV sales,Trucks,PHEV,2030,Vehicles,17000.0
USA,Projection-APS,EV sales,Vans,PHEV,2030,Vehicles,37000.0
USA,Projection-APS,EV sales,Cars,PHEV,2030,Vehicles,1400000.0
USA,Projection-STEPS,EV sales,Cars,PHEV,2030,Vehicles,1600000.0
USA,Projection-STEPS,EV sales,Buses,PHEV,2035,Vehicles,1700.0
USA,Projection-STEPS,EV sales,Trucks,PHEV,2035,Vehicles,12000.0
USA,Projection-STEPS,EV sales,Vans,PHEV,2035,Vehicles,36000.0
USA,Projection-STEPS,EV sales,Cars,PHEV,2035,Vehicles,1900000.0
USA,Projection-APS,EV sales,Buses,PHEV,2035,Vehicles,7700.0
USA,Projection-APS,EV sales,Trucks,PHEV,2035,Vehicles,14000.0
USA,Projection-APS,EV sales,Cars,PHEV,2035,Vehicles,1600000.0
USA,Historical,EV sales,Cars,FCEV,2014,Vehicles,55.0
USA,Historical,EV sales,Cars,FCEV,2015,Vehicles,100.0
USA,Historical,EV sales,Cars,FCEV,2016,Vehicles,1100.0
USA,Historical,EV sales,Cars,FCEV,2017,Vehicles,2300.0
USA,Historical,EV sales,Cars,FCEV,2018,Vehicles,2700.0
USA,Historical,EV sales,Cars,FCEV,2019,Vehicles,2000.0
USA,Historical,EV sales,Cars,FCEV,2020,Vehicles,1200.0
USA,Projection-STEPS,EV sales,Buses,FCEV,2020,Vehicles,22.0
USA,Projection-STEPS,EV sales,Cars,FCEV,2020,Vehicles,1200.0
USA,Projection-APS,EV sales,Buses,FCEV,2020,Vehicles,22.0
USA,Projection-APS,EV sales,Cars,FCEV,2020,Vehicles,1200.0
USA,Historical,EV sales,Buses,FCEV,2020,Vehicles,22.0
USA,Historical,EV sales,Buses,FCEV,2021,Vehicles,15.0
USA,Projection-APS,EV sales,Cars,FCEV,2021,Vehicles,3100.0
USA,Projection-APS,EV sales,Buses,FCEV,2021,Vehicles,15.0
USA,Projection-STEPS,EV sales,Cars,FCEV,2021,Vehicles,3100.0
USA,Projection-STEPS,EV sales,Buses,FCEV,2021,Vehicles,15.0
USA,Historical,EV sales,Cars,FCEV,2021,Vehicles,3100.0
USA,Historical,EV sales,Cars,FCEV,2022,Vehicles,2700.0
USA,Projection-STEPS,EV sales,Buses,FCEV,2022,Vehicles,140.0
USA,Projection-STEPS,EV sales,Cars,FCEV,2022,Vehicles,2700.0
USA,Projection-APS,EV sales,Buses,FCEV,2022,Vehicles,140.0
USA,Projection-APS,EV sales,Cars,FCEV,2022,Vehicles,2700.0
USA,Historical,EV sales,Buses,FCEV,2022,Vehicles,140.0
USA,Projection-APS,EV sales,Cars,FCEV,2023,Vehicles,3000.0
USA,Projection-STEPS,EV sales,Cars,FCEV,2023,Vehicles,3000.0
USA,Historical,EV sales,Cars,FCEV,2023,Vehicles,3000.0
USA,Projection-APS,EV sales,Buses,FCEV,2025,Vehicles,840.0
USA,Projection-APS,EV sales,Trucks,FCEV,2025,Vehicles,3800.0
USA,Projection-APS,EV sales,Vans,FCEV,2025,Vehicles,9100.0
USA,Projection-APS,EV sales,Cars,FCEV,2025,Vehicles,3800.0
USA,Projection-STEPS,EV sales,Buses,FCEV,2025,Vehicles,840.0
USA,Projection-STEPS,EV sales,Trucks,FCEV,2025,Vehicles,2300.0
USA,Projection-STEPS,EV sales,Vans,FCEV,2025,Vehicles,9000.0
USA,Projection-STEPS,EV sales,Cars,FCEV,2025,Vehicles,3800.0
USA,Projection-STEPS,EV sales,Buses,FCEV,2030,Vehicles,3100.0
USA,Projection-STEPS,EV sales,Trucks,FCEV,2030,Vehicles,14000.0
USA,Projection-STEPS,EV sales,Vans,FCEV,2030,Vehicles,23000.0
USA,Projection-APS,EV sales,Buses,FCEV,2030,Vehicles,3400.0
USA,Projection-APS,EV sales,Trucks,FCEV,2030,Vehicles,22000.0
USA,Projection-APS,EV sales,Vans,FCEV,2030,Vehicles,29000.0
USA,Projection-APS,EV sales,Cars,FCEV,2030,Vehicles,8600.0
USA,Projection-STEPS,EV sales,Cars,FCEV,2030,Vehicles,8700.0
USA,Projection-STEPS,EV sales,Buses,FCEV,2035,Vehicles,6000.0
USA,Projection-STEPS,EV sales,Trucks,FCEV,2035,Vehicles,28000.0
USA,Projection-STEPS,EV sales,Vans,FCEV,2035,Vehicles,41000.0
USA,Projection-STEPS,EV sales,Cars,FCEV,2035,Vehicles,21000.0
USA,Projection-APS,EV sales,Buses,FCEV,2035,Vehicles,7500.0
USA,Projection-APS,EV sales,Trucks,FCEV,2035,Vehicles,67000.0
USA,Projection-APS,EV sales,Vans,FCEV,2035,Vehicles,60000.0
USA,Projection-APS,EV sales,Cars,FCEV,2035,Vehicles,21000.0
USA,Historical,EV sales,Cars,BEV,2010,Vehicles,1200.0
USA,Historical,EV sales,Cars,BEV,2011,Vehicles,9800.0
