region,category,parameter,mode,powertrain,year,unit,value
World,Historical,Oil displacement Mbd,Buses,EV,2010,Milion barrels per day,0.000339999998687
World,Historical,Oil displacement Mbd,Trucks,EV,2010,Milion barrels per day,1.80000006366754e-05
World,Historical,Oil displacement Mbd,Vans,EV,2010,Milion barrels per day,0.000169999999343
World,Historical,Oil displacement Mbd,Cars,EV,2010,Milion barrels per day,0.000380000012228
World,Historical,Oil displacement Mbd,Buses,EV,2011,Milion barrels per day,0.000410000007832
World,Historical,Oil displacement Mbd,Trucks,EV,2011,Milion barrels per day,5.99999984842725e-05
World,Historical,Oil displacement Mbd,Vans,EV,2011,Milion barrels per day,0.000319999991916
World,Historical,Oil displacement Mbd,Cars,EV,2011,Milion barrels per day,0.001399999950081
World,Historical,Oil displacement Mbd,Buses,EV,2012,Milion barrels per day,0.000560000014957
World,Historical,Oil displacement Mbd,Trucks,EV,2012,Milion barrels per day,5.80000014451798e-05
World,Historical,Oil displacement Mbd,Vans,EV,2012,Milion barrels per day,0.000829999975394
World,Historical,Oil displacement Mbd,Cars,EV,2012,Milion barrels per day,0.003100000089034
World,Historical,Oil displacement Mbd,Buses,EV,2013,Milion barrels per day,0.000790000020061
World,Historical,Oil displacement Mbd,Trucks,EV,2013,Milion barrels per day,6.29999994998798e-05
World,Historical,Oil displacement Mbd,Vans,EV,2013,Milion barrels per day,0.001300000003539
World,Historical,Oil displacement Mbd,Cars,EV,2013,Milion barrels per day,0.007400000002235
World,Historical,Oil displacement Mbd,Buses,EV,2014,Milion barrels per day,0.001300000003539
World,Historical,Oil displacement Mbd,Trucks,EV,2014,Milion barrels per day,6.6000000515487e-05
World,Historical,Oil displacement Mbd,Vans,EV,2014,Milion barrels per day,0.00179999996908
World,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,0.014000000432134
World,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,0.021999999880791
World,Historical,Oil displacement Mbd,Buses,EV,2015,Milion barrels per day,0.005900000222027
World,Historical,Oil displacement Mbd,Trucks,EV,2015,Milion barrels per day,0.002099999925122
World,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,0.002700000070035
World,Historical,Oil displacement Mbd,Buses,EV,2016,Milion barrels per day,0.012000000104308
World,Historical,Oil displacement Mbd,Trucks,EV,2016,Milion barrels per day,0.007000000216067
World,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,0.003400000045076
World,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,0.032000001519919
World,Historical,Oil displacement Mbd,Buses,EV,2017,Milion barrels per day,0.023000000044704
World,Historical,Oil displacement Mbd,Trucks,EV,2017,Milion barrels per day,0.012000000104308
World,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,0.006599999964237
World,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,0.048000000417233
World,Historical,Oil displacement Mbd,Buses,EV,2018,Milion barrels per day,0.032000001519919
World,Historical,Oil displacement Mbd,Trucks,EV,2018,Milion barrels per day,0.016000000759959
World,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,0.00719999987632
World,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,0.079000003635883
World,Historical,Oil displacement Mbd,Buses,EV,2019,Milion barrels per day,0.034000001847744
World,Historical,Oil displacement Mbd,Trucks,EV,2019,Milion barrels per day,0.014999999664724
World,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,0.008500000461936
World,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,0.109999999403954
World,Projection-APS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.034000001847744
World,Projection-APS,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,0.014000000432134
World,Projection-APS,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.009899999946356
World,Projection-APS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.140000000596046
World,Historical,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.034000001847744
World,Historical,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,0.014000000432134
World,Historical,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.009899999946356
World,Historical,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.140000000596046
World,Projection-STEPS,Oil displacement Mbd,Buses,EV,2020,Milion barrels per day,0.034000001847744
World,Projection-STEPS,Oil displacement Mbd,Trucks,EV,2020,Milion barrels per day,0.014000000432134
World,Projection-STEPS,Oil displacement Mbd,Vans,EV,2020,Milion barrels per day,0.009899999946356
World,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.140000000596046
