region,category,parameter,mode,powertrain,year,unit,value
New Zealand,Historical,EV sales,Cars,PHEV,2011,Vehicles,2.0
New Zealand,Historical,EV sales,Cars,PHEV,2012,Vehicles,5.0
New Zealand,Historical,EV sales,Cars,PHEV,2013,Vehicles,6.0
New Zealand,Historical,EV sales,Cars,PHEV,2014,Vehicles,210.0
New Zealand,Historical,EV sales,Cars,PHEV,2015,Vehicles,200.0
New Zealand,Historical,EV sales,Cars,PHEV,2016,Vehicles,340.0
New Zealand,Historical,EV sales,Cars,PHEV,2017,Vehicles,540.0
New Zealand,Historical,EV sales,Cars,PHEV,2018,Vehicles,1200.0
New Zealand,Historical,EV sales,Cars,PHEV,2019,Vehicles,1600.0
New Zealand,Historical,EV sales,Vans,PHEV,2020,Vehicles,1.0
New Zealand,Historical,EV sales,Cars,PHEV,2020,Vehicles,1500.0
New Zealand,Historical,EV sales,Cars,PHEV,2021,Vehicles,3500.0
New Zealand,Historical,EV sales,Buses,PHEV,2021,Vehicles,1.0
New Zealand,Historical,EV sales,Vans,PHEV,2021,Vehicles,22.0
New Zealand,Historical,EV sales,Vans,PHEV,2022,Vehicles,50.0
New Zealand,Historical,EV sales,Cars,PHEV,2022,Vehicles,9200.0
New Zealand,Historical,EV sales,Cars,PHEV,2023,Vehicles,12000.0
New Zealand,Historical,EV sales,Vans,PHEV,2023,Vehicles,15.0
New Zealand,Historical,EV sales,Cars,FCEV,2019,Vehicles,2.0
New Zealand,Historical,EV sales,Cars,FCEV,2020,Vehicles,3.0
New Zealand,Historical,EV sales,Cars,FCEV,2021,Vehicles,1.0
New Zealand,Historical,EV sales,Cars,FCEV,2022,Vehicles,10.0
New Zealand,Historical,EV sales,Cars,FCEV,2023,Vehicles,4.0
New Zealand,Historical,EV sales,Cars,BEV,2010,Vehicles,10.0
New Zealand,Historical,EV sales,Cars,BEV,2011,Vehicles,13.0
New Zealand,Historical,EV sales,Buses,BEV,2011,Vehicles,2.0
New Zealand,Historical,EV sales,Buses,BEV,2012,Vehicles,1.0
New Zealand,Historical,EV sales,Cars,BEV,2012,Vehicles,22.0
New Zealand,Historical,EV sales,Cars,BEV,2013,Vehicles,30.0
New Zealand,Historical,EV sales,Cars,BEV,2014,Vehicles,110.0
New Zealand,Historical,EV sales,Cars,BEV,2015,Vehicles,300.0
New Zealand,Historical,EV sales,Cars,BEV,2016,Vehicles,1200.0
New Zealand,Historical,EV sales,Cars,BEV,2017,Vehicles,2900.0
New Zealand,Historical,EV sales,Buses,BEV,2017,Vehicles,1.0
New Zealand,Historical,EV sales,Buses,BEV,2018,Vehicles,11.0
New Zealand,Historical,EV sales,Cars,BEV,2018,Vehicles,4400.0
New Zealand,Historical,EV sales,Cars,BEV,2019,Vehicles,5300.0
New Zealand,Historical,EV sales,Vans,BEV,2019,Vehicles,70.0
New Zealand,Historical,EV sales,Buses,BEV,2019,Vehicles,13.0
New Zealand,Historical,EV sales,Buses,BEV,2020,Vehicles,17.0
New Zealand,Historical,EV sales,Vans,BEV,2020,Vehicles,78.0
New Zealand,Historical,EV sales,Cars,BEV,2020,Vehicles,3900.0
New Zealand,Historical,EV sales,Cars,BEV,2021,Vehicles,6800.0
New Zealand,Historical,EV sales,Vans,BEV,2021,Vehicles,140.0
New Zealand,Historical,EV sales,Buses,BEV,2021,Vehicles,75.0
New Zealand,Historical,EV sales,Buses,BEV,2022,Vehicles,110.0
New Zealand,Historical,EV sales,Vans,BEV,2022,Vehicles,420.0
New Zealand,Historical,EV sales,Cars,BEV,2022,Vehicles,19000.0
New Zealand,Historical,EV sales,Cars,BEV,2023,Vehicles,26000.0
New Zealand,Historical,EV sales,Vans,BEV,2023,Vehicles,500.0
New Zealand,Historical,EV sales,Buses,BEV,2023,Vehicles,100.0
