region,category,parameter,mode,powertrain,year,unit,value
Japan,Historical,EV stock share,Cars,EV,2010,percent,0.006099999882281
Japan,Historical,EV stock share,Cars,EV,2011,percent,0.028000000864267
Japan,Historical,EV stock share,Vans,EV,2011,percent,0.006099999882281
Japan,Historical,EV stock share,Buses,EV,2011,percent,0.00089000002481
Japan,Historical,EV stock share,Buses,EV,2012,percent,0.002700000070035
Japan,Historical,EV stock share,Vans,EV,2012,percent,0.024000000208616
Japan,Historical,EV stock share,Cars,EV,2012,percent,0.068999998271465
Japan,Historical,EV stock share,Cars,EV,2013,percent,0.119999997317791
Japan,Historical,EV stock share,Vans,EV,2013,percent,0.03999999910593
Japan,Historical,EV stock share,Buses,EV,2013,percent,0.005799999926239
Japan,Historical,EV stock share,Buses,EV,2014,percent,0.008399999700487
Japan,Historical,EV stock share,Vans,EV,2014,percent,0.048000000417233
Japan,Historical,EV stock share,Cars,EV,2014,percent,0.189999997615814
Japan,Historical,EV stock share,Cars,EV,2015,percent,0.219999998807907
Japan,Historical,EV stock share,Vans,EV,2015,percent,0.054000001400709
Japan,Historical,EV stock share,Buses,EV,2015,percent,0.009200000204146
Japan,Historical,EV stock share,Buses,EV,2016,percent,0.012000000104308
Japan,Historical,EV stock share,Vans,EV,2016,percent,0.057000000029802
Japan,Historical,EV stock share,Cars,EV,2016,percent,0.25
Japan,Historical,EV stock share,Cars,EV,2017,percent,0.310000002384186
Japan,Historical,EV stock share,Vans,EV,2017,percent,0.059999998658896
Japan,Historical,EV stock share,Buses,EV,2017,percent,0.012000000104308
Japan,Historical,EV stock share,Cars,EV,2018,percent,0.360000014305115
Japan,Historical,EV stock share,Trucks,EV,2018,percent,0.000440000003437
Japan,Historical,EV stock share,Buses,EV,2018,percent,0.017000000923872
Japan,Historical,EV stock share,Vans,EV,2018,percent,0.061999998986721
Japan,Historical,EV stock share,Vans,EV,2019,percent,0.06700000166893
Japan,Historical,EV stock share,Buses,EV,2019,percent,0.019999999552965
Japan,Historical,EV stock share,Trucks,EV,2019,percent,0.0046999999322
Japan,Historical,EV stock share,Cars,EV,2019,percent,0.409999996423721
Japan,Historical,EV stock share,Cars,EV,2020,percent,0.449999988079071
Japan,Historical,EV stock share,Trucks,EV,2020,percent,0.0046999999322
Japan,Historical,EV stock share,Buses,EV,2020,percent,0.025000000372529
Japan,Historical,EV stock share,Vans,EV,2020,percent,0.078000001609325
Japan,Historical,EV stock share,Vans,EV,2021,percent,0.08500000089407
Japan,Historical,EV stock share,Buses,EV,2021,percent,0.026000000536442
Japan,Historical,EV stock share,Trucks,EV,2021,percent,0.004600000102073
Japan,Historical,EV stock share,Cars,EV,2021,percent,0.509999990463257
Japan,Historical,EV stock share,Cars,EV,2022,percent,0.639999985694885
Japan,Historical,EV stock share,Trucks,EV,2022,percent,0.004800000227988
Japan,Historical,EV stock share,Buses,EV,2022,percent,0.037000000476837
Japan,Historical,EV stock share,Vans,EV,2022,percent,0.310000002384186
Japan,Historical,EV stock share,Vans,EV,2023,percent,0.129999995231628
Japan,Historical,EV stock share,Buses,EV,2023,percent,0.087999999523163
Japan,Historical,EV stock share,Trucks,EV,2023,percent,0.013000000268221
Japan,Historical,EV stock share,Cars,EV,2023,percent,0.839999973773956
