region,category,parameter,mode,powertrain,year,unit,value
Iceland,Historical,EV sales,Cars,PHEV,2012,Vehicles,9.0
Iceland,Historical,EV sales,Cars,PHEV,2013,Vehicles,23.0
Iceland,Historical,EV sales,Cars,PHEV,2014,Vehicles,29.0
Iceland,Historical,EV sales,Cars,PHEV,2015,Vehicles,170.0
Iceland,Historical,EV sales,Cars,PHEV,2016,Vehicles,780.0
Iceland,Historical,EV sales,Cars,PHEV,2017,Vehicles,2200.0
Iceland,Historical,EV sales,Cars,PHEV,2018,Vehicles,2900.0
Iceland,Historical,EV sales,Cars,PHEV,2019,Vehicles,2000.0
Iceland,Historical,EV sales,Cars,PHEV,2020,Vehicles,2400.0
Iceland,Historical,EV sales,Cars,PHEV,2021,Vehicles,4900.0
Iceland,Historical,EV sales,Cars,PHEV,2022,Vehicles,5100.0
Iceland,Historical,EV sales,Cars,PHEV,2023,Vehicles,2400.0
Iceland,Historical,EV sales,Cars,FCEV,2010,Vehicles,11.0
Iceland,Historical,EV sales,Cars,FCEV,2018,Vehicles,16.0
Iceland,Historical,EV sales,Cars,FCEV,2019,Vehicles,7.0
Iceland,Historical,EV sales,Cars,FCEV,2020,Vehicles,1.0
Iceland,Historical,EV sales,Cars,FCEV,2021,Vehicles,3.0
Iceland,Historical,EV sales,Cars,FCEV,2023,Vehicles,1.0
Iceland,Historical,EV sales,Cars,BEV,2012,Vehicles,17.0
Iceland,Historical,EV sales,Cars,BEV,2013,Vehicles,80.0
Iceland,Historical,EV sales,Cars,BEV,2014,Vehicles,200.0
Iceland,Historical,EV sales,Cars,BEV,2015,Vehicles,390.0
Iceland,Historical,EV sales,Cars,BEV,2016,Vehicles,380.0
Iceland,Historical,EV sales,Cars,BEV,2017,Vehicles,840.0
Iceland,Historical,EV sales,Cars,BEV,2018,Vehicles,780.0
Iceland,Historical,EV sales,Cars,BEV,2019,Vehicles,1100.0
Iceland,Historical,EV sales,Cars,BEV,2020,Vehicles,2500.0
Iceland,Historical,EV sales,Cars,BEV,2021,Vehicles,4200.0
Iceland,Historical,EV sales,Cars,BEV,2022,Vehicles,6900.0
Iceland,Historical,EV sales,Cars,BEV,2023,Vehicles,10000.0
