region,category,parameter,mode,powertrain,year,unit,value
Germany,Historical,EV sales,Cars,PHEV,2011,Vehicles,240.0
Germany,Historical,EV sales,Cars,PHEV,2012,Vehicles,1200.0
Germany,Historical,EV sales,Cars,PHEV,2013,Vehicles,1600.0
Germany,Historical,EV sales,Vans,PHEV,2013,Vehicles,2.0
Germany,Historical,EV sales,Cars,PHEV,2014,Vehicles,4400.0
Germany,Historical,EV sales,Cars,PHEV,2015,Vehicles,11000.0
Germany,Historical,EV sales,Vans,PHEV,2015,Vehicles,2.0
Germany,Historical,EV sales,Buses,PHEV,2016,Vehicles,120.0
Germany,Historical,EV sales,Cars,PHEV,2016,Vehicles,13000.0
Germany,Historical,EV sales,Cars,PHEV,2017,Vehicles,29000.0
Germany,Historical,EV sales,Cars,PHEV,2018,Vehicles,31000.0
Germany,Historical,EV sales,Cars,PHEV,2019,Vehicles,45000.0
Germany,Historical,EV sales,Vans,PHEV,2020,Vehicles,180.0
Germany,Historical,EV sales,Cars,PHEV,2020,Vehicles,200000.0
Germany,Historical,EV sales,Cars,PHEV,2021,Vehicles,330000.0
Germany,Historical,EV sales,Vans,PHEV,2021,Vehicles,310.0
Germany,Historical,EV sales,Buses,PHEV,2021,Vehicles,5.0
Germany,Historical,EV sales,Buses,PHEV,2022,Vehicles,15.0
Germany,Historical,EV sales,Vans,PHEV,2022,Vehicles,770.0
Germany,Historical,EV sales,Cars,PHEV,2022,Vehicles,360000.0
Germany,Historical,EV sales,Trucks,PHEV,2023,Vehicles,4.0
Germany,Historical,EV sales,Cars,PHEV,2023,Vehicles,180000.0
Germany,Historical,EV sales,Vans,PHEV,2023,Vehicles,360.0
Germany,Historical,EV sales,Buses,PHEV,2023,Vehicles,5.0
Germany,Historical,EV sales,Vans,FCEV,2010,Vehicles,2.0
Germany,Historical,EV sales,Cars,FCEV,2010,Vehicles,16.0
Germany,Historical,EV sales,Cars,FCEV,2011,Vehicles,38.0
Germany,Historical,EV sales,Cars,FCEV,2012,Vehicles,29.0
Germany,Historical,EV sales,Cars,FCEV,2013,Vehicles,23.0
Germany,Historical,EV sales,Cars,FCEV,2014,Vehicles,8.0
Germany,Historical,EV sales,Cars,FCEV,2015,Vehicles,63.0
Germany,Historical,EV sales,Buses,FCEV,2016,Vehicles,16.0
Germany,Historical,EV sales,Cars,FCEV,2017,Vehicles,82.0
Germany,Historical,EV sales,Buses,FCEV,2017,Vehicles,8.0
Germany,Historical,EV sales,Cars,FCEV,2018,Vehicles,110.0
Germany,Historical,EV sales,Cars,FCEV,2019,Vehicles,200.0
Germany,Historical,EV sales,Buses,FCEV,2020,Vehicles,38.0
Germany,Historical,EV sales,Cars,FCEV,2020,Vehicles,200.0
Germany,Historical,EV sales,Cars,FCEV,2021,Vehicles,460.0
Germany,Historical,EV sales,Vans,FCEV,2021,Vehicles,5.0
Germany,Historical,EV sales,Buses,FCEV,2021,Vehicles,33.0
Germany,Historical,EV sales,Buses,FCEV,2022,Vehicles,21.0
Germany,Historical,EV sales,Cars,FCEV,2022,Vehicles,840.0
Germany,Historical,EV sales,Trucks,FCEV,2023,Vehicles,8.0
Germany,Historical,EV sales,Cars,FCEV,2023,Vehicles,260.0
Germany,Historical,EV sales,Vans,FCEV,2023,Vehicles,48.0
Germany,Historical,EV sales,Buses,FCEV,2023,Vehicles,43.0
Germany,Historical,EV sales,Vans,BEV,2010,Vehicles,170.0
Germany,Historical,EV sales,Cars,BEV,2010,Vehicles,140.0
Germany,Historical,EV sales,Cars,BEV,2011,Vehicles,1400.0
Germany,Historical,EV sales,Vans,BEV,2011,Vehicles,280.0
Germany,Historical,EV sales,Vans,BEV,2012,Vehicles,950.0
Germany,Historical,EV sales,Cars,BEV,2012,Vehicles,2200.0
Germany,Historical,EV sales,Cars,BEV,2013,Vehicles,5200.0
Germany,Historical,EV sales,Vans,BEV,2013,Vehicles,600.0
Germany,Historical,EV sales,Vans,BEV,2014,Vehicles,720.0
Germany,Historical,EV sales,Cars,BEV,2014,Vehicles,9100.0
Germany,Historical,EV sales,Cars,BEV,2015,Vehicles,12000.0
Germany,Historical,EV sales,Vans,BEV,2015,Vehicles,1000.0
Germany,Historical,EV sales,Vans,BEV,2016,Vehicles,2400.0
Germany,Historical,EV sales,Buses,BEV,2016,Vehicles,110.0
Germany,Historical,EV sales,Cars,BEV,2016,Vehicles,11000.0
Germany,Historical,EV sales,Cars,BEV,2017,Vehicles,25000.0
Germany,Historical,EV sales,Buses,BEV,2017,Vehicles,29.0
Germany,Historical,EV sales,Vans,BEV,2017,Vehicles,4500.0
Germany,Historical,EV sales,Vans,BEV,2018,Vehicles,6000.0
Germany,Historical,EV sales,Buses,BEV,2018,Vehicles,43.0
Germany,Historical,EV sales,Cars,BEV,2018,Vehicles,36000.0
Germany,Historical,EV sales,Trucks,BEV,2018,Vehicles,280.0
Germany,Historical,EV sales,Trucks,BEV,2019,Vehicles,620.0
Germany,Historical,EV sales,Cars,BEV,2019,Vehicles,63000.0
Germany,Historical,EV sales,Buses,BEV,2019,Vehicles,190.0
Germany,Historical,EV sales,Vans,BEV,2019,Vehicles,6700.0
Germany,Historical,EV sales,Vans,BEV,2020,Vehicles,8800.0
Germany,Historical,EV sales,Buses,BEV,2020,Vehicles,390.0
Germany,Historical,EV sales,Cars,BEV,2020,Vehicles,190000.0
Germany,Historical,EV sales,Trucks,BEV,2020,Vehicles,860.0
Germany,Historical,EV sales,Trucks,BEV,2021,Vehicles,1000.0
Germany,Historical,EV sales,Cars,BEV,2021,Vehicles,360000.0
Germany,Historical,EV sales,Buses,BEV,2021,Vehicles,610.0
Germany,Historical,EV sales,Vans,BEV,2021,Vehicles,13000.0
Germany,Historical,EV sales,Vans,BEV,2022,Vehicles,18000.0
Germany,Historical,EV sales,Buses,BEV,2022,Vehicles,630.0
Germany,Historical,EV sales,Cars,BEV,2022,Vehicles,470000.0
Germany,Historical,EV sales,Trucks,BEV,2022,Vehicles,1100.0
Germany,Historical,EV sales,Trucks,BEV,2023,Vehicles,2200.0
Germany,Historical,EV sales,Cars,BEV,2023,Vehicles,520000.0
Germany,Historical,EV sales,Buses,BEV,2023,Vehicles,840.0
Germany,Historical,EV sales,Vans,BEV,2023,Vehicles,25000.0
