region,category,parameter,mode,powertrain,year,unit,value
Germany,Historical,EV stock share,Vans,EV,2010,percent,0.012000000104308
Germany,Historical,EV stock share,Cars,EV,2010,percent,0.000579999992624
Germany,Historical,EV stock share,Cars,EV,2011,percent,0.004399999976158
Germany,Historical,EV stock share,Vans,EV,2011,percent,0.024000000208616
Germany,Historical,EV stock share,Vans,EV,2012,percent,0.06700000166893
Germany,Historical,EV stock share,Cars,EV,2012,percent,0.012000000104308
Germany,Historical,EV stock share,Cars,EV,2013,percent,0.028000000864267
Germany,Historical,EV stock share,Vans,EV,2013,percent,0.093000002205372
Germany,Historical,EV stock share,Vans,EV,2014,percent,0.119999997317791
Germany,Historical,EV stock share,Cars,EV,2014,percent,0.056000001728535
Germany,Historical,EV stock share,Cars,EV,2015,percent,0.097000002861023
Germany,Historical,EV stock share,Vans,EV,2015,percent,0.159999996423721
Germany,Historical,EV stock share,Buses,EV,2016,percent,0.28999999165535
Germany,Historical,EV stock share,Vans,EV,2016,percent,0.25
Germany,Historical,EV stock share,Cars,EV,2016,percent,0.140000000596046
Germany,Historical,EV stock share,Cars,EV,2017,percent,0.219999998807907
Germany,Historical,EV stock share,Vans,EV,2017,percent,0.439999997615814
Germany,Historical,EV stock share,Buses,EV,2017,percent,0.330000013113022
Germany,Historical,EV stock share,Buses,EV,2018,percent,0.349999994039536
Germany,Historical,EV stock share,Vans,EV,2018,percent,0.610000014305115
Germany,Historical,EV stock share,Cars,EV,2018,percent,0.349999994039536
Germany,Historical,EV stock share,Trucks,EV,2018,percent,0.029999999329448
Germany,Historical,EV stock share,Cars,EV,2019,percent,0.5
Germany,Historical,EV stock share,Vans,EV,2019,percent,0.769999980926514
Germany,Historical,EV stock share,Buses,EV,2019,percent,0.639999985694885
Germany,Historical,EV stock share,Buses,EV,2020,percent,1.20000004768372
Germany,Historical,EV stock share,Vans,EV,2020,percent,0.839999973773956
Germany,Historical,EV stock share,Cars,EV,2020,percent,1.29999995231628
Germany,Historical,EV stock share,Cars,EV,2021,percent,2.59999990463257
Germany,Historical,EV stock share,Trucks,EV,2021,percent,0.079999998211861
Germany,Historical,EV stock share,Vans,EV,2021,percent,1.29999995231628
Germany,Historical,EV stock share,Buses,EV,2021,percent,1.79999995231628
Germany,Historical,EV stock share,Buses,EV,2022,percent,2.29999995231628
Germany,Historical,EV stock share,Vans,EV,2022,percent,1.70000004768372
Germany,Historical,EV stock share,Trucks,EV,2022,percent,0.094999998807907
Germany,Historical,EV stock share,Cars,EV,2022,percent,3.90000009536743
Germany,Historical,EV stock share,Cars,EV,2023,percent,5.40000009536743
Germany,Historical,EV stock share,Trucks,EV,2023,percent,0.649999976158142
Germany,Historical,EV stock share,Vans,EV,2023,percent,2.79999995231628
Germany,Historical,EV stock share,Buses,EV,2023,percent,3.79999995231628
