region,category,parameter,mode,powertrain,year,unit,value
Europe,Historical,EV charging points,EV,Publicly available slow,2010,charging points,3200.0
Europe,Historical,EV charging points,EV,Publicly available slow,2011,charging points,6100.0
Europe,Historical,EV charging points,EV,Publicly available slow,2012,charging points,16000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2013,charging points,25000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2014,charging points,37000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2015,charging points,59000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2016,charging points,94000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2017,charging points,110000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2018,charging points,130000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2019,charging points,170000.0
Europe,Projection-APS,EV charging points,EV,Publicly available slow,2020,charging points,220000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2020,charging points,220000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2020,charging points,220000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2021,charging points,310000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2021,charging points,310000.0
Europe,Projection-APS,EV charging points,EV,Publicly available slow,2021,charging points,310000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2022,charging points,440000.0
Europe,Projection-APS,EV charging points,EV,Publicly available slow,2022,charging points,440000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2022,charging points,440000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2023,charging points,590000.0
Europe,Projection-APS,EV charging points,EV,Publicly available slow,2023,charging points,590000.0
Europe,Historical,EV charging points,EV,Publicly available slow,2023,charging points,590000.0
Europe,Projection-APS,EV charging points,EV,Publicly available slow,2025,charging points,880000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2025,charging points,880000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2030,charging points,1400000.0
Europe,Projection-APS,EV charging points,EV,Publicly available slow,2030,charging points,1400000.0
Europe,Projection-APS,EV charging points,EV,Publicly available slow,2035,charging points,2200000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available slow,2035,charging points,2200000.0
Europe,Historical,EV charging points,EV,Publicly available fast,2011,charging points,24.0
Europe,Historical,EV charging points,EV,Publicly available fast,2012,charging points,160.0
Europe,Historical,EV charging points,EV,Publicly available fast,2013,charging points,780.0
Europe,Historical,EV charging points,EV,Publicly available fast,2014,charging points,1400.0
Europe,Historical,EV charging points,EV,Publicly available fast,2015,charging points,3800.0
Europe,Historical,EV charging points,EV,Publicly available fast,2016,charging points,5700.0
Europe,Historical,EV charging points,EV,Publicly available fast,2017,charging points,9300.0
Europe,Historical,EV charging points,EV,Publicly available fast,2018,charging points,13000.0
Europe,Historical,EV charging points,EV,Publicly available fast,2019,charging points,20000.0
Europe,Projection-APS,EV charging points,EV,Publicly available fast,2020,charging points,30000.0
Europe,Historical,EV charging points,EV,Publicly available fast,2020,charging points,30000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2020,charging points,30000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2021,charging points,43000.0
Europe,Historical,EV charging points,EV,Publicly available fast,2021,charging points,43000.0
Europe,Projection-APS,EV charging points,EV,Publicly available fast,2021,charging points,43000.0
Europe,Projection-APS,EV charging points,EV,Publicly available fast,2022,charging points,68000.0
Europe,Historical,EV charging points,EV,Publicly available fast,2022,charging points,68000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2022,charging points,68000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2023,charging points,110000.0
Europe,Projection-APS,EV charging points,EV,Publicly available fast,2023,charging points,110000.0
Europe,Historical,EV charging points,EV,Publicly available fast,2023,charging points,110000.0
Europe,Projection-APS,EV charging points,EV,Publicly available fast,2025,charging points,180000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2025,charging points,180000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2030,charging points,350000.0
Europe,Projection-APS,EV charging points,EV,Publicly available fast,2030,charging points,350000.0
Europe,Projection-APS,EV charging points,EV,Publicly available fast,2035,charging points,560000.0
Europe,Projection-STEPS,EV charging points,EV,Publicly available fast,2035,charging points,540000.0
