region,category,parameter,mode,powertrain,year,unit,value
France,Historical,EV sales,Cars,PHEV,2010,Vehicles,82.0
France,Historical,EV sales,Cars,PHEV,2011,Vehicles,56.0
France,Historical,EV sales,Cars,PHEV,2012,Vehicles,660.0
France,Historical,EV sales,Cars,PHEV,2013,Vehicles,850.0
France,Historical,EV sales,Cars,PHEV,2014,Vehicles,2100.0
France,Historical,EV sales,Vans,PHEV,2015,Vehicles,10.0
France,Historical,EV sales,Cars,PHEV,2015,Vehicles,5800.0
France,Historical,EV sales,Cars,PHEV,2016,Vehicles,7600.0
France,Historical,EV sales,Buses,PHEV,2016,Vehicles,1.0
France,Historical,EV sales,Cars,PHEV,2017,Vehicles,12000.0
France,Historical,EV sales,Cars,PHEV,2018,Vehicles,15000.0
France,Historical,EV sales,Vans,PHEV,2019,Vehicles,4.0
France,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000.0
France,Historical,EV sales,Cars,PHEV,2020,Vehicles,75000.0
France,Historical,EV sales,Trucks,PHEV,2021,Vehicles,10.0
France,Historical,EV sales,Vans,PHEV,2021,Vehicles,800.0
France,Historical,EV sales,Cars,PHEV,2021,Vehicles,140000.0
France,Historical,EV sales,Cars,PHEV,2022,Vehicles,130000.0
France,Historical,EV sales,Vans,PHEV,2022,Vehicles,520.0
France,Historical,EV sales,Buses,PHEV,2022,Vehicles,2.0
France,Historical,EV sales,Vans,PHEV,2023,Vehicles,220.0
France,Historical,EV sales,Cars,PHEV,2023,Vehicles,160000.0
France,Historical,EV sales,Vans,FCEV,2013,Vehicles,1.0
France,Historical,EV sales,Cars,FCEV,2013,Vehicles,1.0
France,Historical,EV sales,Cars,FCEV,2014,Vehicles,1.0
France,Historical,EV sales,Vans,FCEV,2014,Vehicles,4.0
France,Historical,EV sales,Vans,FCEV,2015,Vehicles,53.0
France,Historical,EV sales,Cars,FCEV,2015,Vehicles,10.0
France,Historical,EV sales,Cars,FCEV,2016,Vehicles,34.0
France,Historical,EV sales,Vans,FCEV,2016,Vehicles,99.0
France,Historical,EV sales,Vans,FCEV,2017,Vehicles,25.0
France,Historical,EV sales,Cars,FCEV,2017,Vehicles,46.0
France,Historical,EV sales,Cars,FCEV,2018,Vehicles,10.0
France,Historical,EV sales,Vans,FCEV,2018,Vehicles,92.0
France,Historical,EV sales,Cars,FCEV,2019,Vehicles,60.0
France,Historical,EV sales,Cars,FCEV,2020,Vehicles,210.0
France,Historical,EV sales,Buses,FCEV,2021,Vehicles,1.0
France,Historical,EV sales,Vans,FCEV,2021,Vehicles,20.0
France,Historical,EV sales,Cars,FCEV,2021,Vehicles,14.0
France,Historical,EV sales,Cars,FCEV,2022,Vehicles,200.0
France,Historical,EV sales,Buses,FCEV,2023,Vehicles,22.0
France,Historical,EV sales,Cars,FCEV,2023,Vehicles,310.0
France,Historical,EV sales,Trucks,FCEV,2023,Vehicles,1.0
France,Historical,EV sales,Buses,BEV,2010,Vehicles,16.0
France,Historical,EV sales,Trucks,BEV,2010,Vehicles,21.0
France,Historical,EV sales,Cars,BEV,2010,Vehicles,190.0
France,Historical,EV sales,Vans,BEV,2010,Vehicles,800.0
France,Historical,EV sales,Vans,BEV,2011,Vehicles,1700.0
France,Historical,EV sales,Cars,BEV,2011,Vehicles,2600.0
France,Historical,EV sales,Trucks,BEV,2011,Vehicles,8.0
France,Historical,EV sales,Buses,BEV,2011,Vehicles,21.0
France,Historical,EV sales,Buses,BEV,2012,Vehicles,25.0
France,Historical,EV sales,Trucks,BEV,2012,Vehicles,6.0
France,Historical,EV sales,Cars,BEV,2012,Vehicles,5700.0
France,Historical,EV sales,Vans,BEV,2012,Vehicles,3600.0
France,Historical,EV sales,Vans,BEV,2013,Vehicles,5100.0
France,Historical,EV sales,Cars,BEV,2013,Vehicles,8900.0
France,Historical,EV sales,Trucks,BEV,2013,Vehicles,7.0
France,Historical,EV sales,Buses,BEV,2013,Vehicles,24.0
France,Historical,EV sales,Buses,BEV,2014,Vehicles,40.0
France,Historical,EV sales,Trucks,BEV,2014,Vehicles,12.0
France,Historical,EV sales,Cars,BEV,2014,Vehicles,11000.0
France,Historical,EV sales,Vans,BEV,2014,Vehicles,4500.0
France,Historical,EV sales,Vans,BEV,2015,Vehicles,4900.0
France,Historical,EV sales,Cars,BEV,2015,Vehicles,18000.0
France,Historical,EV sales,Trucks,BEV,2015,Vehicles,1.0
France,Historical,EV sales,Buses,BEV,2015,Vehicles,51.0
France,Historical,EV sales,Buses,BEV,2016,Vehicles,74.0
France,Historical,EV sales,Trucks,BEV,2016,Vehicles,6.0
France,Historical,EV sales,Cars,BEV,2016,Vehicles,23000.0
France,Historical,EV sales,Vans,BEV,2016,Vehicles,5500.0
France,Historical,EV sales,Vans,BEV,2017,Vehicles,6000.0
France,Historical,EV sales,Cars,BEV,2017,Vehicles,26000.0
France,Historical,EV sales,Trucks,BEV,2017,Vehicles,16.0
France,Historical,EV sales,Buses,BEV,2017,Vehicles,17.0
France,Historical,EV sales,Buses,BEV,2018,Vehicles,95.0
France,Historical,EV sales,Trucks,BEV,2018,Vehicles,26.0
France,Historical,EV sales,Cars,BEV,2018,Vehicles,33000.0
France,Historical,EV sales,Vans,BEV,2018,Vehicles,8200.0
France,Historical,EV sales,Vans,BEV,2019,Vehicles,8100.0
