region,category,parameter,mode,powertrain,year,unit,value
Finland,Historical,EV sales share,Cars,EV,2011,percent,0.025000000372529
Finland,Historical,EV sales share,Cars,EV,2012,percent,0.170000001788139
Finland,Historical,EV sales share,Cars,EV,2013,percent,0.209999993443489
Finland,Historical,EV sales share,Cars,EV,2014,percent,0.409999996423721
Finland,Historical,EV sales share,Cars,EV,2015,percent,0.600000023841858
Finland,Historical,EV sales share,Cars,EV,2016,percent,1.20000004768372
Finland,Historical,EV sales share,Vans,EV,2017,percent,0.319999992847443
Finland,Historical,EV sales share,Cars,EV,2017,percent,2.59999990463257
Finland,Historical,EV sales share,Trucks,EV,2017,percent,0.050000000745058
Finland,Historical,EV sales share,Buses,EV,2017,percent,0.389999985694885
Finland,Historical,EV sales share,Buses,EV,2018,percent,0.200000002980232
Finland,Historical,EV sales share,Cars,EV,2018,percent,4.69999980926514
Finland,Historical,EV sales share,Vans,EV,2018,percent,0.349999994039536
Finland,Historical,EV sales share,Vans,EV,2019,percent,0.409999996423721
Finland,Historical,EV sales share,Cars,EV,2019,percent,6.90000009536743
Finland,Historical,EV sales share,Trucks,EV,2019,percent,0.043000001460314
Finland,Historical,EV sales share,Buses,EV,2019,percent,6.80000019073486
Finland,Historical,EV sales share,Buses,EV,2020,percent,8.80000019073486
Finland,Historical,EV sales share,Trucks,EV,2020,percent,0.129999995231628
Finland,Historical,EV sales share,Cars,EV,2020,percent,18.0
Finland,Historical,EV sales share,Vans,EV,2020,percent,1.60000002384186
Finland,Historical,EV sales share,Vans,EV,2021,percent,2.79999995231628
Finland,Historical,EV sales share,Cars,EV,2021,percent,31.0
Finland,Historical,EV sales share,Trucks,EV,2021,percent,0.07599999755621
Finland,Historical,EV sales share,Buses,EV,2021,percent,49.0
Finland,Historical,EV sales share,Buses,EV,2022,percent,66.0
Finland,Historical,EV sales share,Trucks,EV,2022,percent,0.569999992847443
Finland,Historical,EV sales share,Cars,EV,2022,percent,38.0
Finland,Historical,EV sales share,Vans,EV,2022,percent,6.40000009536743
Finland,Historical,EV sales share,Vans,EV,2023,percent,15.0
Finland,Historical,EV sales share,Cars,EV,2023,percent,54.0
Finland,Historical,EV sales share,Trucks,EV,2023,percent,1.89999997615814
Finland,Historical,EV sales share,Buses,EV,2023,percent,43.0
