region,category,parameter,mode,powertrain,year,unit,value
Sweden,Historical,EV stock share,Cars,EV,2010,percent,9.20000020414591e-05
Sweden,Historical,EV stock share,Cars,EV,2011,percent,0.004100000020117
Sweden,Historical,EV stock share,Vans,EV,2011,percent,0.001900000032038
Sweden,Historical,EV stock share,Vans,EV,2012,percent,0.07599999755621
Sweden,Historical,EV stock share,Buses,EV,2012,percent,0.048000000417233
Sweden,Historical,EV stock share,Cars,EV,2012,percent,0.028000000864267
Sweden,Historical,EV stock share,Cars,EV,2013,percent,0.05799999833107
Sweden,Historical,EV stock share,Buses,EV,2013,percent,0.061000000685454
Sweden,Historical,EV stock share,Vans,EV,2013,percent,0.109999999403954
Sweden,Historical,EV stock share,Vans,EV,2014,percent,0.159999996423721
Sweden,Historical,EV stock share,Buses,EV,2014,percent,0.083999998867512
Sweden,Historical,EV stock share,Cars,EV,2014,percent,0.150000005960464
Sweden,Historical,EV stock share,Cars,EV,2015,percent,0.310000002384186
Sweden,Historical,EV stock share,Buses,EV,2015,percent,0.189999997615814
Sweden,Historical,EV stock share,Vans,EV,2015,percent,0.239999994635582
Sweden,Historical,EV stock share,Vans,EV,2016,percent,0.28999999165535
Sweden,Historical,EV stock share,Buses,EV,2016,percent,0.5
Sweden,Historical,EV stock share,Cars,EV,2016,percent,0.550000011920929
Sweden,Historical,EV stock share,Cars,EV,2017,percent,0.889999985694885
Sweden,Historical,EV stock share,Trucks,EV,2017,percent,0.001200000056997
Sweden,Historical,EV stock share,Buses,EV,2017,percent,0.649999976158142
Sweden,Historical,EV stock share,Vans,EV,2017,percent,0.349999994039536
Sweden,Historical,EV stock share,Vans,EV,2018,percent,0.469999998807907
Sweden,Historical,EV stock share,Buses,EV,2018,percent,1.39999997615814
Sweden,Historical,EV stock share,Trucks,EV,2018,percent,0.004900000058115
Sweden,Historical,EV stock share,Cars,EV,2018,percent,1.29999995231628
Sweden,Historical,EV stock share,Cars,EV,2019,percent,2.0
Sweden,Historical,EV stock share,Trucks,EV,2019,percent,0.013000000268221
Sweden,Historical,EV stock share,Buses,EV,2019,percent,2.09999990463257
Sweden,Historical,EV stock share,Vans,EV,2019,percent,0.680000007152557
Sweden,Historical,EV stock share,Vans,EV,2020,percent,1.10000002384186
Sweden,Historical,EV stock share,Buses,EV,2020,percent,3.70000004768372
Sweden,Historical,EV stock share,Trucks,EV,2020,percent,0.071000002324581
Sweden,Historical,EV stock share,Cars,EV,2020,percent,3.59999990463257
Sweden,Historical,EV stock share,Cars,EV,2021,percent,6.0
Sweden,Historical,EV stock share,Trucks,EV,2021,percent,0.170000001788139
Sweden,Historical,EV stock share,Buses,EV,2021,percent,5.19999980926514
Sweden,Historical,EV stock share,Vans,EV,2021,percent,1.39999997615814
Sweden,Historical,EV stock share,Vans,EV,2022,percent,2.29999995231628
Sweden,Historical,EV stock share,Buses,EV,2022,percent,8.5
Sweden,Historical,EV stock share,Trucks,EV,2022,percent,0.360000014305115
Sweden,Historical,EV stock share,Cars,EV,2022,percent,8.69999980926514
Sweden,Historical,EV stock share,Cars,EV,2023,percent,11.0
Sweden,Historical,EV stock share,Trucks,EV,2023,percent,0.839999973773956
Sweden,Historical,EV stock share,Buses,EV,2023,percent,10.0
Sweden,Historical,EV stock share,Vans,EV,2023,percent,3.5
