region,category,parameter,mode,powertrain,year,unit,value
Norway,Historical,EV stock share,Cars,EV,2010,percent,0.119999997317791
Norway,Historical,EV stock share,Cars,EV,2011,percent,0.170000001788139
Norway,Historical,EV stock share,Vans,EV,2011,percent,0.000220000001718
Norway,Historical,EV stock share,Vans,EV,2012,percent,0.00109999999404
Norway,Historical,EV stock share,Cars,EV,2012,percent,0.360000014305115
Norway,Historical,EV stock share,Cars,EV,2013,percent,0.639999985694885
Norway,Historical,EV stock share,Vans,EV,2013,percent,0.001000000047497
Norway,Historical,EV stock share,Vans,EV,2014,percent,0.119999997317791
Norway,Historical,EV stock share,Cars,EV,2014,percent,1.39999997615814
Norway,Historical,EV stock share,Cars,EV,2015,percent,2.70000004768372
Norway,Historical,EV stock share,Vans,EV,2015,percent,0.259999990463257
Norway,Historical,EV stock share,Vans,EV,2016,percent,0.389999985694885
Norway,Historical,EV stock share,Buses,EV,2016,percent,0.100000001490116
Norway,Historical,EV stock share,Cars,EV,2016,percent,4.30000019073486
Norway,Historical,EV stock share,Cars,EV,2017,percent,6.40000009536743
Norway,Historical,EV stock share,Trucks,EV,2017,percent,0.002400000113994
Norway,Historical,EV stock share,Buses,EV,2017,percent,0.239999994635582
Norway,Historical,EV stock share,Vans,EV,2017,percent,0.569999992847443
Norway,Historical,EV stock share,Vans,EV,2018,percent,0.899999976158142
Norway,Historical,EV stock share,Buses,EV,2018,percent,0.330000013113022
Norway,Historical,EV stock share,Trucks,EV,2018,percent,0.002400000113994
Norway,Historical,EV stock share,Cars,EV,2018,percent,8.89999961853027
Norway,Historical,EV stock share,Cars,EV,2019,percent,12.0
Norway,Historical,EV stock share,Trucks,EV,2019,percent,0.002300000051036
Norway,Historical,EV stock share,Buses,EV,2019,percent,1.5
Norway,Historical,EV stock share,Vans,EV,2019,percent,1.29999995231628
Norway,Historical,EV stock share,Vans,EV,2020,percent,1.79999995231628
Norway,Historical,EV stock share,Buses,EV,2020,percent,3.40000009536743
Norway,Historical,EV stock share,Trucks,EV,2020,percent,0.021999999880791
Norway,Historical,EV stock share,Cars,EV,2020,percent,17.0
Norway,Historical,EV stock share,Cars,EV,2021,percent,21.0
Norway,Historical,EV stock share,Trucks,EV,2021,percent,0.109999999403954
Norway,Historical,EV stock share,Buses,EV,2021,percent,4.19999980926514
Norway,Historical,EV stock share,Vans,EV,2021,percent,2.20000004768372
Norway,Historical,EV stock share,Vans,EV,2022,percent,4.09999990463257
Norway,Historical,EV stock share,Buses,EV,2022,percent,6.59999990463257
Norway,Historical,EV stock share,Trucks,EV,2022,percent,0.259999990463257
Norway,Historical,EV stock share,Cars,EV,2022,percent,26.0
Norway,Historical,EV stock share,Cars,EV,2023,percent,29.0
Norway,Historical,EV stock share,Trucks,EV,2023,percent,1.39999997615814
Norway,Historical,EV stock share,Buses,EV,2023,percent,9.89999961853027
Norway,Historical,EV stock share,Vans,EV,2023,percent,5.80000019073486
