region,category,parameter,mode,powertrain,year,unit,value
United Kingdom,Historical,EV stock share,Trucks,EV,2010,percent,0.189999997615814
United Kingdom,Historical,EV stock share,Cars,EV,2010,percent,0.005299999844283
United Kingdom,Historical,EV stock share,Vans,EV,2010,percent,0.109999999403954
United Kingdom,Historical,EV stock share,Buses,EV,2010,percent,0.071999996900559
United Kingdom,Historical,EV stock share,Buses,EV,2011,percent,0.079999998211861
United Kingdom,Historical,EV stock share,Vans,EV,2011,percent,0.098999999463558
United Kingdom,Historical,EV stock share,Cars,EV,2011,percent,0.00899999961257
United Kingdom,Historical,EV stock share,Trucks,EV,2011,percent,0.150000005960464
United Kingdom,Historical,EV stock share,Trucks,EV,2012,percent,0.129999995231628
United Kingdom,Historical,EV stock share,Cars,EV,2012,percent,0.017000000923872
United Kingdom,Historical,EV stock share,Vans,EV,2012,percent,0.100000001490116
United Kingdom,Historical,EV stock share,Buses,EV,2012,percent,0.090999998152256
United Kingdom,Historical,EV stock share,Buses,EV,2013,percent,0.109999999403954
United Kingdom,Historical,EV stock share,Vans,EV,2013,percent,0.097000002861023
United Kingdom,Historical,EV stock share,Cars,EV,2013,percent,0.027000000700355
United Kingdom,Historical,EV stock share,Trucks,EV,2013,percent,0.100000001490116
United Kingdom,Historical,EV stock share,Trucks,EV,2014,percent,0.087999999523163
United Kingdom,Historical,EV stock share,Cars,EV,2014,percent,0.071999996900559
United Kingdom,Historical,EV stock share,Vans,EV,2014,percent,0.109999999403954
United Kingdom,Historical,EV stock share,Buses,EV,2014,percent,0.150000005960464
United Kingdom,Historical,EV stock share,Buses,EV,2015,percent,0.170000001788139
United Kingdom,Historical,EV stock share,Vans,EV,2015,percent,0.119999997317791
United Kingdom,Historical,EV stock share,Cars,EV,2015,percent,0.159999996423721
United Kingdom,Historical,EV stock share,Trucks,EV,2015,percent,0.070000000298023
United Kingdom,Historical,EV stock share,Trucks,EV,2016,percent,0.065999999642372
United Kingdom,Historical,EV stock share,Cars,EV,2016,percent,0.270000010728836
United Kingdom,Historical,EV stock share,Vans,EV,2016,percent,0.129999995231628
United Kingdom,Historical,EV stock share,Buses,EV,2016,percent,0.349999994039536
United Kingdom,Historical,EV stock share,Buses,EV,2017,percent,0.409999996423721
United Kingdom,Historical,EV stock share,Vans,EV,2017,percent,0.150000005960464
United Kingdom,Historical,EV stock share,Cars,EV,2017,percent,0.400000005960465
United Kingdom,Historical,EV stock share,Trucks,EV,2017,percent,0.05799999833107
United Kingdom,Historical,EV stock share,Trucks,EV,2018,percent,0.054000001400709
United Kingdom,Historical,EV stock share,Cars,EV,2018,percent,0.569999992847443
United Kingdom,Historical,EV stock share,Vans,EV,2018,percent,0.180000007152557
United Kingdom,Historical,EV stock share,Buses,EV,2018,percent,0.560000002384186
United Kingdom,Historical,EV stock share,Buses,EV,2019,percent,0.660000026226044
United Kingdom,Historical,EV stock share,Vans,EV,2019,percent,0.239999994635582
United Kingdom,Historical,EV stock share,Cars,EV,2019,percent,0.759999990463257
United Kingdom,Historical,EV stock share,Trucks,EV,2019,percent,0.054999999701977
United Kingdom,Historical,EV stock share,Trucks,EV,2020,percent,0.043999999761582
United Kingdom,Historical,EV stock share,Cars,EV,2020,percent,1.29999995231628
United Kingdom,Historical,EV stock share,Vans,EV,2020,percent,0.319999992847443
United Kingdom,Historical,EV stock share,Buses,EV,2020,percent,0.959999978542328
United Kingdom,Historical,EV stock share,Buses,EV,2021,percent,2.0
United Kingdom,Historical,EV stock share,Vans,EV,2021,percent,0.560000002384186
United Kingdom,Historical,EV stock share,Cars,EV,2021,percent,2.09999990463257
United Kingdom,Historical,EV stock share,Trucks,EV,2021,percent,0.061000000685454
United Kingdom,Historical,EV stock share,Trucks,EV,2022,percent,0.129999995231628
United Kingdom,Historical,EV stock share,Cars,EV,2022,percent,2.90000009536743
United Kingdom,Historical,EV stock share,Vans,EV,2022,percent,0.779999971389771
United Kingdom,Historical,EV stock share,Buses,EV,2022,percent,2.70000004768372
United Kingdom,Historical,EV stock share,Buses,EV,2023,percent,4.5
United Kingdom,Historical,EV stock share,Vans,EV,2023,percent,1.29999995231628
United Kingdom,Historical,EV stock share,Cars,EV,2023,percent,5.0
United Kingdom,Historical,EV stock share,Trucks,EV,2023,percent,0.310000002384186
