region,category,parameter,mode,powertrain,year,unit,value
Europe,Historical,EV stock,Vans,PHEV,2010,Vehicles,210.0
Europe,Historical,EV stock,Cars,PHEV,2010,Vehicles,63.0
Europe,Historical,EV stock,Cars,PHEV,2011,Vehicles,510.0
Europe,Historical,EV stock,Vans,PHEV,2011,Vehicles,260.0
Europe,Historical,EV stock,Vans,PHEV,2012,Vehicles,310.0
Europe,Historical,EV stock,Cars,PHEV,2012,Vehicles,9700.0
Europe,Historical,EV stock,Cars,PHEV,2013,Vehicles,36000.0
Europe,Historical,EV stock,Vans,PHEV,2013,Vehicles,370.0
Europe,Historical,EV stock,Buses,PHEV,2014,Vehicles,32.0
Europe,Historical,EV stock,Vans,PHEV,2014,Vehicles,450.0
Europe,Historical,EV stock,Cars,PHEV,2014,Vehicles,70000.0
Europe,Historical,EV stock,Trucks,PHEV,2015,Vehicles,36.0
Europe,Historical,EV stock,Cars,PHEV,2015,Vehicles,170000.0
Europe,Historical,EV stock,Vans,PHEV,2015,Vehicles,840.0
Europe,Historical,EV stock,Buses,PHEV,2015,Vehicles,120.0
Europe,Historical,EV stock,Buses,PHEV,2016,Vehicles,460.0
Europe,Historical,EV stock,Vans,PHEV,2016,Vehicles,1400.0
Europe,Historical,EV stock,Cars,PHEV,2016,Vehicles,290000.0
Europe,Historical,EV stock,Trucks,PHEV,2016,Vehicles,39.0
Europe,Historical,EV stock,Trucks,PHEV,2017,Vehicles,52.0
Europe,Historical,EV stock,Cars,PHEV,2017,Vehicles,450000.0
Europe,Historical,EV stock,Vans,PHEV,2017,Vehicles,2000.0
Europe,Historical,EV stock,Buses,PHEV,2017,Vehicles,590.0
Europe,Historical,EV stock,Buses,PHEV,2018,Vehicles,770.0
Europe,Historical,EV stock,Vans,PHEV,2018,Vehicles,3100.0
Europe,Historical,EV stock,Cars,PHEV,2018,Vehicles,630000.0
Europe,Historical,EV stock,Trucks,PHEV,2018,Vehicles,66.0
Europe,Historical,EV stock,Trucks,PHEV,2019,Vehicles,57.0
Europe,Historical,EV stock,Cars,PHEV,2019,Vehicles,800000.0
Europe,Historical,EV stock,Vans,PHEV,2019,Vehicles,5200.0
Europe,Historical,EV stock,Buses,PHEV,2019,Vehicles,1000.0
Europe,Historical,EV stock,Buses,PHEV,2020,Vehicles,1100.0
Europe,Historical,EV stock,Vans,PHEV,2020,Vehicles,7300.0
Europe,Historical,EV stock,Cars,PHEV,2020,Vehicles,1400000.0
Europe,Historical,EV stock,Trucks,PHEV,2020,Vehicles,52.0
Europe,Projection-STEPS,EV stock,Vans,PHEV,2020,Vehicles,7300.0
Europe,Projection-STEPS,EV stock,Buses,PHEV,2020,Vehicles,1100.0
Europe,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,1400000.0
Europe,Projection-STEPS,EV stock,Trucks,PHEV,2020,Vehicles,52.0
Europe,Projection-APS,EV stock,Vans,PHEV,2020,Vehicles,7300.0
Europe,Projection-APS,EV stock,Trucks,PHEV,2020,Vehicles,52.0
Europe,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,1400000.0
Europe,Projection-APS,EV stock,Buses,PHEV,2020,Vehicles,1100.0
Europe,Projection-APS,EV stock,Buses,PHEV,2021,Vehicles,1300.0
Europe,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,2500000.0
Europe,Projection-APS,EV stock,Trucks,PHEV,2021,Vehicles,50.0
Europe,Projection-APS,EV stock,Vans,PHEV,2021,Vehicles,6900.0
Europe,Projection-STEPS,EV stock,Trucks,PHEV,2021,Vehicles,50.0
Europe,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,2500000.0
Europe,Projection-STEPS,EV stock,Buses,PHEV,2021,Vehicles,1300.0
Europe,Projection-STEPS,EV stock,Vans,PHEV,2021,Vehicles,6900.0
Europe,Historical,EV stock,Trucks,PHEV,2021,Vehicles,50.0
Europe,Historical,EV stock,Cars,PHEV,2021,Vehicles,2500000.0
Europe,Historical,EV stock,Vans,PHEV,2021,Vehicles,6900.0
Europe,Historical,EV stock,Buses,PHEV,2021,Vehicles,1300.0
Europe,Historical,EV stock,Buses,PHEV,2022,Vehicles,1300.0
Europe,Historical,EV stock,Vans,PHEV,2022,Vehicles,9000.0
Europe,Historical,EV stock,Cars,PHEV,2022,Vehicles,3400000.0
Europe,Historical,EV stock,Trucks,PHEV,2022,Vehicles,69.0
Europe,Projection-STEPS,EV stock,Vans,PHEV,2022,Vehicles,9000.0
Europe,Projection-STEPS,EV stock,Buses,PHEV,2022,Vehicles,1300.0
Europe,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,3400000.0
Europe,Projection-STEPS,EV stock,Trucks,PHEV,2022,Vehicles,69.0
Europe,Projection-APS,EV stock,Vans,PHEV,2022,Vehicles,9000.0
Europe,Projection-APS,EV stock,Trucks,PHEV,2022,Vehicles,69.0
Europe,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,3400000.0
Europe,Projection-APS,EV stock,Buses,PHEV,2022,Vehicles,1300.0
Europe,Projection-APS,EV stock,Buses,PHEV,2023,Vehicles,1200.0
Europe,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,4500000.0
Europe,Projection-APS,EV stock,Trucks,PHEV,2023,Vehicles,100.0
Europe,Projection-APS,EV stock,Vans,PHEV,2023,Vehicles,12000.0
Europe,Projection-STEPS,EV stock,Trucks,PHEV,2023,Vehicles,100.0
Europe,Projection-STEPS,EV stock,Cars,PHEV,2023,Vehicles,4500000.0
Europe,Projection-STEPS,EV stock,Buses,PHEV,2023,Vehicles,1200.0
Europe,Projection-STEPS,EV stock,Vans,PHEV,2023,Vehicles,12000.0
Europe,Historical,EV stock,Trucks,PHEV,2023,Vehicles,100.0
Europe,Historical,EV stock,Cars,PHEV,2023,Vehicles,4500000.0
Europe,Historical,EV stock,Vans,PHEV,2023,Vehicles,12000.0
Europe,Historical,EV stock,Buses,PHEV,2023,Vehicles,1200.0
Europe,Projection-APS,EV stock,Buses,PHEV,2025,Vehicles,3900.0
Europe,Projection-APS,EV stock,Trucks,PHEV,2025,Vehicles,2100.0
Europe,Projection-APS,EV stock,Vans,PHEV,2025,Vehicles,41000.0
Europe,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,6800000.0
Europe,Projection-STEPS,EV stock,Buses,PHEV,2025,Vehicles,3400.0
Europe,Projection-STEPS,EV stock,Trucks,PHEV,2025,Vehicles,1000.0
Europe,Projection-STEPS,EV stock,Vans,PHEV,2025,Vehicles,38000.0
Europe,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,7200000.0
Europe,Projection-STEPS,EV stock,Buses,PHEV,2030,Vehicles,13000.0
Europe,Projection-STEPS,EV stock,Trucks,PHEV,2030,Vehicles,25000.0
Europe,Projection-STEPS,EV stock,Vans,PHEV,2030,Vehicles,200000.0
Europe,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,16000000.0
Europe,Projection-APS,EV stock,Buses,PHEV,2030,Vehicles,26000.0
Europe,Projection-APS,EV stock,Trucks,PHEV,2030,Vehicles,29000.0
Europe,Projection-APS,EV stock,Vans,PHEV,2030,Vehicles,240000.0
Europe,Projection-APS,EV stock,Cars,PHEV,2030,Vehicles,14000000.0
Europe,Projection-APS,EV stock,Buses,PHEV,2035,Vehicles,56000.0
Europe,Projection-APS,EV stock,Trucks,PHEV,2035,Vehicles,75000.0
Europe,Projection-APS,EV stock,Vans,PHEV,2035,Vehicles,530000.0
Europe,Projection-APS,EV stock,Cars,PHEV,2035,Vehicles,20000000.0
Europe,Projection-STEPS,EV stock,Buses,PHEV,2035,Vehicles,33000.0
Europe,Projection-STEPS,EV stock,Trucks,PHEV,2035,Vehicles,82000.0
Europe,Projection-STEPS,EV stock,Vans,PHEV,2035,Vehicles,440000.0
Europe,Projection-STEPS,EV stock,Cars,PHEV,2035,Vehicles,26000000.0
Europe,Historical,EV stock,Buses,FCEV,2010,Vehicles,6.0
Europe,Historical,EV stock,Vans,FCEV,2010,Vehicles,6.0
Europe,Historical,EV stock,Cars,FCEV,2010,Vehicles,40.0
Europe,Historical,EV stock,Cars,FCEV,2011,Vehicles,78.0
Europe,Historical,EV stock,Vans,FCEV,2011,Vehicles,6.0
Europe,Historical,EV stock,Vans,FCEV,2012,Vehicles,7.0
Europe,Historical,EV stock,Cars,FCEV,2012,Vehicles,110.0
Europe,Historical,EV stock,Cars,FCEV,2013,Vehicles,130.0
Europe,Historical,EV stock,Vans,FCEV,2013,Vehicles,7.0
Europe,Historical,EV stock,Buses,FCEV,2014,Vehicles,1.0
Europe,Historical,EV stock,Vans,FCEV,2014,Vehicles,8.0
Europe,Historical,EV stock,Cars,FCEV,2014,Vehicles,150.0
Europe,Historical,EV stock,Trucks,FCEV,2015,Vehicles,5.0
Europe,Historical,EV stock,Cars,FCEV,2015,Vehicles,340.0
Europe,Historical,EV stock,Vans,FCEV,2015,Vehicles,65.0
Europe,Historical,EV stock,Buses,FCEV,2015,Vehicles,14.0
Europe,Historical,EV stock,Buses,FCEV,2016,Vehicles,31.0
Europe,Historical,EV stock,Vans,FCEV,2016,Vehicles,160.0
Europe,Historical,EV stock,Cars,FCEV,2016,Vehicles,540.0
Europe,Historical,EV stock,Trucks,FCEV,2016,Vehicles,2.0
Europe,Historical,EV stock,Trucks,FCEV,2017,Vehicles,2.0
Europe,Historical,EV stock,Cars,FCEV,2017,Vehicles,890.0
Europe,Historical,EV stock,Vans,FCEV,2017,Vehicles,190.0
Europe,Historical,EV stock,Buses,FCEV,2017,Vehicles,30.0
Europe,Historical,EV stock,Buses,FCEV,2018,Vehicles,50.0
Europe,Historical,EV stock,Vans,FCEV,2018,Vehicles,280.0
Europe,Historical,EV stock,Cars,FCEV,2018,Vehicles,1000.0
Europe,Historical,EV stock,Trucks,FCEV,2018,Vehicles,2.0
Europe,Historical,EV stock,Trucks,FCEV,2019,Vehicles,4.0
Europe,Historical,EV stock,Cars,FCEV,2019,Vehicles,1700.0
Europe,Historical,EV stock,Vans,FCEV,2019,Vehicles,280.0
Europe,Historical,EV stock,Buses,FCEV,2019,Vehicles,85.0
Europe,Historical,EV stock,Buses,FCEV,2020,Vehicles,120.0
Europe,Historical,EV stock,Vans,FCEV,2020,Vehicles,300.0
Europe,Historical,EV stock,Cars,FCEV,2020,Vehicles,2400.0
Europe,Historical,EV stock,Trucks,FCEV,2020,Vehicles,8.0
Europe,Projection-STEPS,EV stock,Vans,FCEV,2020,Vehicles,300.0
Europe,Projection-STEPS,EV stock,Buses,FCEV,2020,Vehicles,120.0
Europe,Projection-STEPS,EV stock,Cars,FCEV,2020,Vehicles,2400.0
Europe,Projection-STEPS,EV stock,Trucks,FCEV,2020,Vehicles,8.0
Europe,Projection-APS,EV stock,Vans,FCEV,2020,Vehicles,300.0
Europe,Projection-APS,EV stock,Cars,FCEV,2020,Vehicles,2400.0
Europe,Projection-APS,EV stock,Trucks,FCEV,2020,Vehicles,8.0
Europe,Projection-APS,EV stock,Buses,FCEV,2020,Vehicles,120.0
Europe,Projection-APS,EV stock,Buses,FCEV,2021,Vehicles,190.0
Europe,Projection-APS,EV stock,Trucks,FCEV,2021,Vehicles,14.0
Europe,Projection-APS,EV stock,Cars,FCEV,2021,Vehicles,3400.0
Europe,Projection-APS,EV stock,Vans,FCEV,2021,Vehicles,330.0
Europe,Projection-STEPS,EV stock,Trucks,FCEV,2021,Vehicles,14.0
Europe,Projection-STEPS,EV stock,Cars,FCEV,2021,Vehicles,3400.0
Europe,Projection-STEPS,EV stock,Buses,FCEV,2021,Vehicles,190.0
Europe,Projection-STEPS,EV stock,Vans,FCEV,2021,Vehicles,330.0
Europe,Historical,EV stock,Trucks,FCEV,2021,Vehicles,14.0
