region,category,parameter,mode,powertrain,year,unit,value
China,Historical,"Oil displacement, million lge",Buses,EV,2010,"Oil displacement, million lge",14.0
China,Historical,"Oil displacement, million lge",Vans,EV,2010,"Oil displacement, million lge",0.620000004768372
China,Historical,"Oil displacement, million lge",Cars,EV,2010,"Oil displacement, million lge",1.70000004768372
China,Historical,"Oil displacement, million lge",Buses,EV,2011,"Oil displacement, million lge",15.0
China,Historical,"Oil displacement, million lge",Vans,EV,2011,"Oil displacement, million lge",0.810000002384186
China,Historical,"Oil displacement, million lge",Cars,EV,2011,"Oil displacement, million lge",6.69999980926514
China,Historical,"Oil displacement, million lge",Buses,EV,2012,"Oil displacement, million lge",24.0
China,Historical,"Oil displacement, million lge",Vans,EV,2012,"Oil displacement, million lge",1.79999995231628
China,Historical,"Oil displacement, million lge",Cars,EV,2012,"Oil displacement, million lge",16.0
China,Historical,"Oil displacement, million lge",Buses,EV,2013,"Oil displacement, million lge",37.0
China,Historical,"Oil displacement, million lge",Vans,EV,2013,"Oil displacement, million lge",2.79999995231628
China,Historical,"Oil displacement, million lge",Cars,EV,2013,"Oil displacement, million lge",33.0
China,Historical,"Oil displacement, million lge",Buses,EV,2014,"Oil displacement, million lge",63.0
China,Historical,"Oil displacement, million lge",Vans,EV,2014,"Oil displacement, million lge",3.20000004768372
China,Historical,"Oil displacement, million lge",Cars,EV,2014,"Oil displacement, million lge",81.0
China,Historical,"Oil displacement, million lge",Buses,EV,2015,"Oil displacement, million lge",330.0
China,Historical,"Oil displacement, million lge",Trucks,EV,2015,"Oil displacement, million lge",120.0
China,Historical,"Oil displacement, million lge",Vans,EV,2015,"Oil displacement, million lge",27.0
China,Historical,"Oil displacement, million lge",Cars,EV,2015,"Oil displacement, million lge",240.0
China,Historical,"Oil displacement, million lge",Buses,EV,2016,"Oil displacement, million lge",670.0
China,Historical,"Oil displacement, million lge",Trucks,EV,2016,"Oil displacement, million lge",410.0
China,Historical,"Oil displacement, million lge",Vans,EV,2016,"Oil displacement, million lge",38.0
China,Historical,"Oil displacement, million lge",Cars,EV,2016,"Oil displacement, million lge",490.0
China,Historical,"Oil displacement, million lge",Buses,EV,2017,"Oil displacement, million lge",1300.0
China,Historical,"Oil displacement, million lge",Trucks,EV,2017,"Oil displacement, million lge",730.0
China,Historical,"Oil displacement, million lge",Vans,EV,2017,"Oil displacement, million lge",190.0
China,Historical,"Oil displacement, million lge",Cars,EV,2017,"Oil displacement, million lge",920.0
China,Historical,"Oil displacement, million lge",Buses,EV,2018,"Oil displacement, million lge",1900.0
China,Historical,"Oil displacement, million lge",Trucks,EV,2018,"Oil displacement, million lge",950.0
China,Historical,"Oil displacement, million lge",Vans,EV,2018,"Oil displacement, million lge",170.0
China,Historical,"Oil displacement, million lge",Cars,EV,2018,"Oil displacement, million lge",1800.0
China,Historical,"Oil displacement, million lge",Buses,EV,2019,"Oil displacement, million lge",1900.0
China,Historical,"Oil displacement, million lge",Trucks,EV,2019,"Oil displacement, million lge",880.0
China,Historical,"Oil displacement, million lge",Vans,EV,2019,"Oil displacement, million lge",190.0
China,Historical,"Oil displacement, million lge",Cars,EV,2019,"Oil displacement, million lge",2600.0
China,Projection-APS,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",1900.0
China,Projection-APS,"Oil displacement, million lge",Trucks,EV,2020,"Oil displacement, million lge",810.0
China,Projection-APS,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",180.0
China,Projection-APS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",3000.0
China,Historical,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",1900.0
China,Historical,"Oil displacement, million lge",Trucks,EV,2020,"Oil displacement, million lge",810.0
China,Historical,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",180.0
China,Historical,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",3000.0
China,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2020,"Oil displacement, million lge",1900.0
China,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2020,"Oil displacement, million lge",810.0
China,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2020,"Oil displacement, million lge",180.0
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",3000.0
China,Historical,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",1900.0
China,Projection-APS,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",1900.0
China,Projection-APS,"Oil displacement, million lge",Trucks,EV,2021,"Oil displacement, million lge",840.0
China,Projection-APS,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",250.0
China,Projection-APS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",5800.0
China,Historical,"Oil displacement, million lge",Trucks,EV,2021,"Oil displacement, million lge",840.0
China,Historical,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",250.0
China,Historical,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",5800.0
China,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2021,"Oil displacement, million lge",1900.0
China,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2021,"Oil displacement, million lge",840.0
China,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2021,"Oil displacement, million lge",250.0
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",5800.0
China,Historical,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",1600.0
China,Historical,"Oil displacement, million lge",Trucks,EV,2022,"Oil displacement, million lge",1000.0
China,Historical,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",390.0
China,Historical,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",9600.0
China,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",1600.0
China,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2022,"Oil displacement, million lge",1000.0
China,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",390.0
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",9600.0
China,Projection-APS,"Oil displacement, million lge",Buses,EV,2022,"Oil displacement, million lge",1600.0
China,Projection-APS,"Oil displacement, million lge",Trucks,EV,2022,"Oil displacement, million lge",1000.0
China,Projection-APS,"Oil displacement, million lge",Vans,EV,2022,"Oil displacement, million lge",390.0
China,Projection-APS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",9600.0
China,Projection-APS,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",1700.0
China,Projection-APS,"Oil displacement, million lge",Trucks,EV,2023,"Oil displacement, million lge",1300.0
China,Projection-APS,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",590.0
China,Projection-APS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",19000.0
China,Historical,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",1700.0
China,Historical,"Oil displacement, million lge",Trucks,EV,2023,"Oil displacement, million lge",1300.0
China,Historical,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",590.0
China,Historical,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",19000.0
China,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2023,"Oil displacement, million lge",1700.0
China,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2023,"Oil displacement, million lge",1300.0
China,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2023,"Oil displacement, million lge",590.0
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2023,"Oil displacement, million lge",19000.0
China,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2025,"Oil displacement, million lge",3000.0
China,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2025,"Oil displacement, million lge",2500.0
China,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2025,"Oil displacement, million lge",1200.0
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",36000.0
China,Projection-APS,"Oil displacement, million lge",Buses,EV,2025,"Oil displacement, million lge",3000.0
China,Projection-APS,"Oil displacement, million lge",Trucks,EV,2025,"Oil displacement, million lge",2400.0
China,Projection-APS,"Oil displacement, million lge",Vans,EV,2025,"Oil displacement, million lge",1100.0
China,Projection-APS,"Oil displacement, million lge",Cars,EV,2025,"Oil displacement, million lge",36000.0
China,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2030,"Oil displacement, million lge",4500.0
China,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2030,"Oil displacement, million lge",11000.0
China,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2030,"Oil displacement, million lge",3500.0
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",92000.0
China,Projection-APS,"Oil displacement, million lge",Buses,EV,2030,"Oil displacement, million lge",4400.0
China,Projection-APS,"Oil displacement, million lge",Trucks,EV,2030,"Oil displacement, million lge",12000.0
China,Projection-APS,"Oil displacement, million lge",Vans,EV,2030,"Oil displacement, million lge",3000.0
China,Projection-APS,"Oil displacement, million lge",Cars,EV,2030,"Oil displacement, million lge",86000.0
China,Projection-APS,"Oil displacement, million lge",Buses,EV,2035,"Oil displacement, million lge",5000.0
China,Projection-APS,"Oil displacement, million lge",Trucks,EV,2035,"Oil displacement, million lge",31000.0
China,Projection-APS,"Oil displacement, million lge",Vans,EV,2035,"Oil displacement, million lge",4900.0
China,Projection-APS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",140000.0
China,Projection-STEPS,"Oil displacement, million lge",Buses,EV,2035,"Oil displacement, million lge",5200.0
China,Projection-STEPS,"Oil displacement, million lge",Trucks,EV,2035,"Oil displacement, million lge",28000.0
China,Projection-STEPS,"Oil displacement, million lge",Vans,EV,2035,"Oil displacement, million lge",6800.0
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2035,"Oil displacement, million lge",150000.0
