region,category,parameter,mode,powertrain,year,unit,value
Israel,Historical,EV sales,Cars,PHEV,2012,Vehicles,1.0
Israel,Historical,EV sales,Cars,PHEV,2013,Vehicles,17.0
Israel,Historical,EV sales,Cars,PHEV,2014,Vehicles,52.0
Israel,Historical,EV sales,Cars,PHEV,2015,Vehicles,65.0
Israel,Historical,EV sales,Cars,PHEV,2016,Vehicles,63.0
Israel,Historical,EV sales,Cars,PHEV,2017,Vehicles,1500.0
Israel,Historical,EV sales,Cars,PHEV,2018,Vehicles,3600.0
Israel,Historical,EV sales,Cars,PHEV,2019,Vehicles,3900.0
Israel,Historical,EV sales,Cars,PHEV,2020,Vehicles,5400.0
Israel,Historical,EV sales,Cars,PHEV,2021,Vehicles,13000.0
Israel,Historical,EV sales,Vans,PHEV,2021,Vehicles,2.0
Israel,Historical,EV sales,Vans,PHEV,2022,Vehicles,18.0
Israel,Historical,EV sales,Cars,PHEV,2022,Vehicles,16000.0
Israel,Historical,EV sales,Cars,PHEV,2023,Vehicles,16000.0
Israel,Historical,EV sales,Cars,BEV,2011,Vehicles,3.0
Israel,Historical,EV sales,Cars,BEV,2012,Vehicles,600.0
Israel,Historical,EV sales,Buses,BEV,2013,Vehicles,0.001000000047497
Israel,Historical,EV sales,Cars,BEV,2013,Vehicles,460.0
Israel,Historical,EV sales,Cars,BEV,2014,Vehicles,6.0
Israel,Historical,EV sales,Cars,BEV,2015,Vehicles,3.0
Israel,Historical,EV sales,Cars,BEV,2016,Vehicles,5.0
Israel,Historical,EV sales,Buses,BEV,2016,Vehicles,5.0
Israel,Historical,EV sales,Buses,BEV,2017,Vehicles,40.0
Israel,Historical,EV sales,Cars,BEV,2017,Vehicles,130.0
Israel,Historical,EV sales,Cars,BEV,2018,Vehicles,130.0
Israel,Historical,EV sales,Buses,BEV,2018,Vehicles,23.0
Israel,Historical,EV sales,Buses,BEV,2019,Vehicles,16.0
Israel,Historical,EV sales,Cars,BEV,2019,Vehicles,850.0
Israel,Historical,EV sales,Cars,BEV,2020,Vehicles,1500.0
Israel,Historical,EV sales,Vans,BEV,2020,Vehicles,45.0
Israel,Historical,EV sales,Buses,BEV,2020,Vehicles,24.0
Israel,Historical,EV sales,Buses,BEV,2021,Vehicles,33.0
Israel,Historical,EV sales,Vans,BEV,2021,Vehicles,76.0
Israel,Historical,EV sales,Cars,BEV,2021,Vehicles,11000.0
Israel,Historical,EV sales,Cars,BEV,2022,Vehicles,27000.0
Israel,Historical,EV sales,Vans,BEV,2022,Vehicles,87.0
Israel,Historical,EV sales,Buses,BEV,2022,Vehicles,480.0
Israel,Historical,EV sales,Buses,BEV,2023,Vehicles,450.0
Israel,Historical,EV sales,Vans,BEV,2023,Vehicles,90.0
Israel,Historical,EV sales,Cars,BEV,2023,Vehicles,49000.0
