region,category,parameter,mode,powertrain,year,unit,value
Sweden,Historical,EV sales share,Cars,EV,2010,percent,0.001300000003539
Sweden,Historical,EV sales share,Cars,EV,2011,percent,0.054000001400709
Sweden,Historical,EV sales share,Vans,EV,2011,percent,0.018999999389052
Sweden,Historical,EV sales share,Vans,EV,2012,percent,0.699999988079071
Sweden,Historical,EV sales share,Cars,EV,2012,percent,0.310000002384186
Sweden,Historical,EV sales share,Cars,EV,2013,percent,0.529999971389771
Sweden,Historical,EV sales share,Vans,EV,2013,percent,0.550000011920929
Sweden,Historical,EV sales share,Vans,EV,2014,percent,0.660000026226044
Sweden,Historical,EV sales share,Cars,EV,2014,percent,1.39999997615814
Sweden,Historical,EV sales share,Cars,EV,2015,percent,2.40000009536743
Sweden,Historical,EV sales share,Buses,EV,2015,percent,1.10000002384186
Sweden,Historical,EV sales share,Vans,EV,2015,percent,0.72000002861023
Sweden,Historical,EV sales share,Vans,EV,2016,percent,0.083999998867512
Sweden,Historical,EV sales share,Buses,EV,2016,percent,3.79999995231628
Sweden,Historical,EV sales share,Cars,EV,2016,percent,3.40000009536743
Sweden,Historical,EV sales share,Cars,EV,2017,percent,5.09999990463257
Sweden,Historical,EV sales share,Buses,EV,2017,percent,0.910000026226044
Sweden,Historical,EV sales share,Vans,EV,2017,percent,0.340000003576279
Sweden,Historical,EV sales share,Vans,EV,2018,percent,1.29999995231628
Sweden,Historical,EV sales share,Buses,EV,2018,percent,4.09999990463257
Sweden,Historical,EV sales share,Cars,EV,2018,percent,7.59999990463257
Sweden,Historical,EV sales share,Trucks,EV,2018,percent,0.046000000089407
Sweden,Historical,EV sales share,Trucks,EV,2019,percent,0.043000001460314
Sweden,Historical,EV sales share,Cars,EV,2019,percent,11.0
Sweden,Historical,EV sales share,Buses,EV,2019,percent,7.40000009536743
Sweden,Historical,EV sales share,Vans,EV,2019,percent,2.5
Sweden,Historical,EV sales share,Vans,EV,2020,percent,6.09999990463257
Sweden,Historical,EV sales share,Buses,EV,2020,percent,9.89999961853027
Sweden,Historical,EV sales share,Cars,EV,2020,percent,32.0
Sweden,Historical,EV sales share,Trucks,EV,2020,percent,0.349999994039536
Sweden,Historical,EV sales share,Trucks,EV,2021,percent,1.29999995231628
Sweden,Historical,EV sales share,Cars,EV,2021,percent,43.0
Sweden,Historical,EV sales share,Buses,EV,2021,percent,25.0
Sweden,Historical,EV sales share,Vans,EV,2021,percent,6.80000019073486
Sweden,Historical,EV sales share,Vans,EV,2022,percent,13.0
Sweden,Historical,EV sales share,Buses,EV,2022,percent,17.0
Sweden,Historical,EV sales share,Cars,EV,2022,percent,54.0
Sweden,Historical,EV sales share,Trucks,EV,2022,percent,4.30000019073486
Sweden,Historical,EV sales share,Trucks,EV,2023,percent,3.40000009536743
Sweden,Historical,EV sales share,Cars,EV,2023,percent,60.0
Sweden,Historical,EV sales share,Buses,EV,2023,percent,25.0
Sweden,Historical,EV sales share,Vans,EV,2023,percent,19.0
