region,category,parameter,mode,powertrain,year,unit,value
India,Historical,EV stock,Cars,PHEV,2019,Vehicles,7.0
India,Historical,EV stock,Cars,PHEV,2020,Vehicles,50.0
India,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,50.0
India,Projection-APS,EV stock,Cars,PHEV,2020,Vehicles,50.0
India,Projection-APS,EV stock,Cars,PHEV,2021,Vehicles,100.0
India,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,100.0
India,Historical,EV stock,Cars,PHEV,2021,Vehicles,100.0
India,Historical,EV stock,Cars,PHEV,2022,Vehicles,120.0
India,Projection-STEPS,EV stock,Cars,PHEV,2022,Vehicles,120.0
India,Projection-APS,EV stock,Cars,PHEV,2022,Vehicles,120.0
India,Projection-APS,EV stock,Cars,PHEV,2023,Vehicles,390.0
India,Projection-STEPS,EV stock,Cars,PHEV,2023,Vehicles,390.0
India,Historical,EV stock,Cars,PHEV,2023,Vehicles,390.0
India,Projection-APS,EV stock,Buses,PHEV,2025,Vehicles,18.0
India,Projection-APS,EV stock,Trucks,PHEV,2025,Vehicles,870.0
India,Projection-APS,EV stock,Vans,PHEV,2025,Vehicles,1700.0
India,Projection-APS,EV stock,Cars,PHEV,2025,Vehicles,10000.0
India,Projection-STEPS,EV stock,Buses,PHEV,2025,Vehicles,43.0
India,Projection-STEPS,EV stock,Trucks,PHEV,2025,Vehicles,21.0
India,Projection-STEPS,EV stock,Vans,PHEV,2025,Vehicles,740.0
India,Projection-STEPS,EV stock,Cars,PHEV,2025,Vehicles,4200.0
India,Projection-STEPS,EV stock,Buses,PHEV,2030,Vehicles,310.0
India,Projection-STEPS,EV stock,Trucks,PHEV,2030,Vehicles,11000.0
India,Projection-STEPS,EV stock,Vans,PHEV,2030,Vehicles,9100.0
India,Projection-STEPS,EV stock,Cars,PHEV,2030,Vehicles,32000.0
India,Projection-APS,EV stock,Buses,PHEV,2030,Vehicles,37.0
India,Projection-APS,EV stock,Trucks,PHEV,2030,Vehicles,11000.0
India,Projection-APS,EV stock,Vans,PHEV,2030,Vehicles,35000.0
India,Projection-APS,EV stock,Cars,PHEV,2030,Vehicles,97000.0
India,Projection-APS,EV stock,Buses,PHEV,2035,Vehicles,860.0
India,Projection-APS,EV stock,Trucks,PHEV,2035,Vehicles,35000.0
India,Projection-APS,EV stock,Vans,PHEV,2035,Vehicles,150000.0
India,Projection-APS,EV stock,Cars,PHEV,2035,Vehicles,140000.0
India,Projection-STEPS,EV stock,Buses,PHEV,2035,Vehicles,900.0
India,Projection-STEPS,EV stock,Trucks,PHEV,2035,Vehicles,39000.0
India,Projection-STEPS,EV stock,Vans,PHEV,2035,Vehicles,36000.0
India,Projection-STEPS,EV stock,Cars,PHEV,2035,Vehicles,72000.0
India,Projection-APS,EV stock,Cars,FCEV,2021,Vehicles,1.0
India,Projection-STEPS,EV stock,Cars,FCEV,2021,Vehicles,1.0
India,Historical,EV stock,Cars,FCEV,2021,Vehicles,1.0
India,Historical,EV stock,Cars,FCEV,2022,Vehicles,3.0
India,Projection-STEPS,EV stock,Cars,FCEV,2022,Vehicles,3.0
India,Projection-APS,EV stock,Cars,FCEV,2022,Vehicles,3.0
India,Projection-APS,EV stock,Cars,FCEV,2023,Vehicles,3.0
India,Projection-STEPS,EV stock,Cars,FCEV,2023,Vehicles,3.0
India,Projection-STEPS,EV stock,Buses,FCEV,2023,Vehicles,100.0
India,Projection-APS,EV stock,Buses,FCEV,2023,Vehicles,100.0
India,Historical,EV stock,Buses,FCEV,2023,Vehicles,100.0
India,Historical,EV stock,Cars,FCEV,2023,Vehicles,3.0
India,Projection-APS,EV stock,Buses,FCEV,2025,Vehicles,940.0
India,Projection-APS,EV stock,Trucks,FCEV,2025,Vehicles,170.0
India,Projection-APS,EV stock,Vans,FCEV,2025,Vehicles,110.0
India,Projection-APS,EV stock,Cars,FCEV,2025,Vehicles,44.0
India,Projection-STEPS,EV stock,Buses,FCEV,2025,Vehicles,810.0
India,Projection-STEPS,EV stock,Trucks,FCEV,2025,Vehicles,7.5
India,Projection-STEPS,EV stock,Vans,FCEV,2025,Vehicles,91.0
India,Projection-STEPS,EV stock,Buses,FCEV,2030,Vehicles,7700.0
India,Projection-STEPS,EV stock,Trucks,FCEV,2030,Vehicles,2500.0
India,Projection-STEPS,EV stock,Vans,FCEV,2030,Vehicles,890.0
India,Projection-APS,EV stock,Buses,FCEV,2030,Vehicles,8000.0
India,Projection-APS,EV stock,Trucks,FCEV,2030,Vehicles,3500.0
India,Projection-APS,EV stock,Vans,FCEV,2030,Vehicles,2100.0
India,Projection-APS,EV stock,Cars,FCEV,2030,Vehicles,1800.0
India,Projection-APS,EV stock,Buses,FCEV,2035,Vehicles,27000.0
India,Projection-APS,EV stock,Trucks,FCEV,2035,Vehicles,27000.0
India,Projection-APS,EV stock,Vans,FCEV,2035,Vehicles,20000.0
India,Projection-APS,EV stock,Cars,FCEV,2035,Vehicles,20000.0
India,Projection-STEPS,EV stock,Buses,FCEV,2035,Vehicles,27000.0
India,Projection-STEPS,EV stock,Trucks,FCEV,2035,Vehicles,23000.0
India,Projection-STEPS,EV stock,Vans,FCEV,2035,Vehicles,5300.0
India,Historical,EV stock,Cars,BEV,2010,Vehicles,880.0
India,Historical,EV stock,Cars,BEV,2011,Vehicles,1300.0
India,Historical,EV stock,Cars,BEV,2012,Vehicles,2800.0
India,Historical,EV stock,Cars,BEV,2013,Vehicles,2900.0
India,Historical,EV stock,Cars,BEV,2014,Vehicles,3400.0
India,Historical,EV stock,Cars,BEV,2015,Vehicles,4400.0
India,Historical,EV stock,Buses,BEV,2015,Vehicles,100.0
India,Historical,EV stock,Buses,BEV,2016,Vehicles,100.0
India,Historical,EV stock,Cars,BEV,2016,Vehicles,4800.0
India,Historical,EV stock,Vans,BEV,2016,Vehicles,180.0
India,Historical,EV stock,Vans,BEV,2017,Vehicles,1400.0
India,Historical,EV stock,Cars,BEV,2017,Vehicles,7000.0
India,Historical,EV stock,Buses,BEV,2017,Vehicles,100.0
India,Historical,EV stock,Buses,BEV,2018,Vehicles,100.0
